row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,There are no bad children...only difficult behaviours! All children misbehave but these tips can help.,,,,,,,,,,,,,,,7a727f77-24df-48a1-968b-910eacdd8f99,,execute_actions,1660;
2,split_by_value,1,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,90d8bec0-3eb6-443e-837e-3673bbe13f26,,split_by_expression,1540;160
3,split_by_value,2,yes,@parent.results.fromwelcome,has_any_word,Yes,,@fields.age_group_for_tips,,,,,,,,,,,,,,,d2a167de-2ae0-4b52-91a5-75518136df63,,split_by_contact_field,1460;360
4,save_value,3,baby,@fields.age_group_for_tips,has_any_word,Baby,chosen difficult age,baby,,,,,,,,,,,,,,,719186c6-6c66-4ca0-a6e2-d01fd3988c91,,execute_actions,40;440
5,save_value,3,teen,@fields.age_group_for_tips,has_any_word,Teen,chosen difficult age,teen,,,,,,,,,,,,,,,7781c8ee-e7ab-4d58-ae43-2faaaf6b0e9a,,execute_actions,2230;560
6,save_value,3,,,,,chosen difficult age,young child,,,,,,,,,,,,,,,4985068d-4000-48b7-a8ec-77576de793b4,,execute_actions,1680;580
7,send_message,2,,,,,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,,,,,0f79d79f-f025-42c8-9f31-82a5b6f419a9,,execute_actions,2270;200
8,wait_for_response,7,,,,,Result 13,,,,,,,,,,,,,,,,ce60a796-6755-4fc1-bf4a-48996fb56122,,wait_for_response,1820;340
9,go_to,8,baby,,has_any_word,Baby,,4,,,,,,,,,,,,,,,,,,
10,go_to,8,young child,,has_any_word,Young,,6,,,,,,,,,,,,,,,,,,
11,go_to,8,teen teenager,,has_any_word,Teen,,5,,,,,,,,,,,,,,,,,,
12,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,015b4698-1660-4f9c-9ca7-2d2bbf461e6f,,execute_actions,2800;220
13,go_to,12,,,,,,7,,,,,,,,,,,,,,,,,,
14,send_message,4,,,,,,"Please select the age of your child:
A. Under 1 month
B. 1-2 months
C. 3-5 months
D. 6-9 months
E. 10 -14 months
F. 15-18 months
G. 19-23 months",,,,,,,,,,,,,,,e8466ed2-d3f9-4760-bdc5-cb0a6b339d42,,execute_actions,20;620
15,wait_for_response,14,,,,,AGE BABY,,,,,,,,,,,,,,,,88c5b599-e904-4b4d-a404-aa2cfc418981,,wait_for_response,660;920
16,send_message,15,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,66329979-31d0-4174-9cec-c0eb5afeaf4d,,execute_actions,1050;620
17,go_to,16,,,,,,14,,,,,,,,,,,,,,,,,,
18,send_message,5,,,,,,Which behaviour is most like the one you want support for?,Refuses to obey,Gets angry often,"Rudeness, disrespectful behaviour",Irritable or frequent mood changes,Does not follow rules,Stubbornness,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,,,,,f1b57a27-70e1-4b65-b641-6f7a6478b4ae,,execute_actions,2310;780
19,wait_for_response,18,,,,,bahav_teen,,,,,,,,,,,,,,,,27fb5d09-c86c-44e2-ba63-adaa472739e7,,wait_for_response,2370;1100
20,send_message,19,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,6e404bc6-2f2e-4f4c-9adc-6279ac993212,,execute_actions,2980;1100
21,go_to,20,,,,,,18,,,,,,,,,,,,,,,,,,
22,send_message,6,,,,,,Which behaviour is most like the one you want support for?,Refuses to obey,Temper tantrums,Disrespectful behaviour,Whining,"Hyperactivity, can’t sit still",Hitting others,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,,,,,5ddeaf31-69dd-4291-9e81-d2d3cc85357a,,execute_actions,1720;740
23,wait_for_response,22,,,,,behav_child,,,,,,,,,,,,,,,,2f63974f-8a13-4def-80be-76baf210eef8,,wait_for_response,1720;1100
24,send_message,23,"Hyperactivity,still",,has_any_word,activities,,"It can be exhausting when your children have too much energy or can't focus on one thing. Sometimes, your children need opportunities to be very active and run around to help them be calm afterwards. ",,,,,,,,,,,,,,,f703f0c2-9457-4694-9ecb-d97a33bc87ed,,execute_actions,1050;3200
25,send_message,23,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,ddd2cd44-4a82-401c-aa2e-167f6d9134fa,,execute_actions,1840;1500
26,go_to,25,,,,,,22,,,,,,,,,,,,,,,,,,
