row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Supporting children with disabilities,,,,,,,,,,,,,,,d40e8d8d-14ff-4d29-ae7d-7b7e8228c67a,,execute_actions,340;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,630eca93-4891-468d-b8ea-2c6cec7873f6,,split_by_subflow,340;140
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,3e34e7b0-99eb-4cf7-81fe-5f46caa7414c,,split_by_contact_field,260;380
4,send_message,3,,,,,,"All children, including those living with disabilities, need love, respect and time especially at difficult times.",,,,,,,,,,,,,,,f18d806d-773c-4a77-8f6d-9f98dc5a17b1,,execute_actions,1670;160
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,013ef2ed-abd7-4b59-a28e-1d0d59c9a04b,,split_by_contact_field,120;560
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you support children living with disabilities.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/eng/Children_With_Disabilities.m4v,,eca645f4-0ab9-4586-8124-8eaa66caf8be,,execute_actions,;660
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Here's an audio message to help you support children living with disabilities.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/eng/Children_With_Disabilities.mp3,,,75bbcc76-92f4-43d5-8a01-ba23c81aec4a,,execute_actions,220;780
8,wait_for_response,6;7,,,,,Result 4,,,,,,,,,,,,,,,,ab2bbd88-b392-4216-b9d6-3ea696e45a30,120,wait_for_response,;920
9,start_new_flow,5;8;8,;;No Response,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,34f75e73-3e35-47fa-80dc-2007d7772baf,,split_by_subflow,440;1040
10,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,,,,,c7ec6ed6-b063-4412-a1ce-3054bee16903,,execute_actions,1690;320
11,wait_for_response,10,,,,,know_more,,,,,,,,,,,,,,,,3cb7946e-d7bd-4014-9449-82f166bced0e,,wait_for_response,420;500
12,go_to,11,yes y,,has_any_word,Yes,,5,,,,,,,,,,,,,,,,,,
13,send_message,11,no n,,has_any_word,No,,"That's okay! You can always type ""Help"" if you want to learn more about how to support children living with disabilities.",,,,,,,,,,,,,,,a05c6114-e2d9-4e18-a0a1-4a074d765558,,execute_actions,2080;800
