row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,caff7230-2476-4659-ba7a-331aba84d893,,split_by_expression,1955;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Have you tried sharing a book with your child recently?,Yes,No,,,,,,,,,,,,,07e500dd-1162-4708-976a-184ff2f33060,,execute_actions,1830;200
3,send_message,1,,,,,,Hi! Have you tried sharing a book with your child recently?,Yes,No,,,,,,,,,,,,,41555f2f-a3d7-4355-a2d2-a636d21cfae2,,execute_actions,2080;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,df832e87-fb02-45a2-a0f2-8e662795069b,,wait_for_response,2080;340
5,save_value,4,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,e2efd142-6cfc-40bd-b97b-6e2dba6cf1e9,,execute_actions,370;340
6,save_value,4,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,b91e78c2-3c21-4274-b4ad-bbeb130641f5,,execute_actions,1810;700
7,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,8f993a28-c4de-4dd8-9e09-42cce6357edd,,execute_actions,4020;360
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,8f993a28-c4de-4dd8-9e09-42cce6357edd,,execute_actions,4020;360
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,0c3d3bd7-a44b-4ccf-a8bb-207e876bfe0d,,split_by_expression,225;440
11,send_message,10,,@fields.user_name,has_text,user_name,,Well done @fields.user_name! Book sharing is a great learning tool for your children! How was your experience?,Great,Neutral,Bad,,,,,,,,,,,,d3589c30-7a50-49bd-988e-05d9e6eb0995,,execute_actions,100;640
12,send_message,10,,,,,,Well done! Book sharing is a great learning tool for your children! How was your experience?,Great,Neutral,Bad,,,,,,,,,,,,7c7abaf4-20d3-49cf-ade2-fc52c8fe0f31,,execute_actions,350;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,83c3972c-8f2e-4f89-940a-82151dc60e35,,wait_for_response,80;880
14,send_message,13,great,,has_any_word,Great,,That is great!,,,,,,,,,,,,,,,b0b3ff6a-f5cf-47a9-971e-e1248892b5a0,,execute_actions,;1040
15,send_message,13,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,dbf35d8c-441f-42b9-b88b-9c36cbf31771,,execute_actions,880;1000
16,go_to,15,,,,,,10,,,,,,,,,,,,,,,,,,
17,split_by_value,13;13;6,neutral;bad;,,has_any_word;has_any_word;,Neutral;Bad;,,@fields.child_nickname,,,,,,,,,,,,,,,275cf707-1207-4c06-8205-44a3bb2ad2c9,,split_by_expression,3465;1100
18,split_by_group,17,,@fields.child_nickname,has_text,child_nickname,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,f97d9eb3-18ab-4602-81df-956da0c98a17,,split_by_expression,3215;1300
19,send_message,18,ABTest_test-first-person_alternative,,,,,I understand! What did you find difficult about trying to share a book with @fields.child_nickname?,I didn’t know how to involve my child,My child had no interest in book sharing,I didn't have the time,,,,,,,,,,,,eda705d0-da61-4389-98da-f16e81c19edd,,execute_actions,3340;1700
20,send_message,18;18,ABTest_test-first-person_Default;,,,,,We understand! What did you find difficult about trying to share a book with @fields.child_nickname?,I didn’t know how to involve my child,My child had no interest in book sharing,I didn't have the time,,,,,,,,,,,,54f73cc2-5c81-497d-a6f2-daf8093598a4,,execute_actions,3090;1700
21,split_by_group,17,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,06883f10-8ccb-46f1-b62d-b3856e97d2c0,,split_by_expression,3715;1500
22,send_message,21,ABTest_test-first-person_alternative,,,,,I understand! What did you find difficult about trying to share a book with your child?,I didn’t know how to involve my child,My child had no interest in book sharing,I didn't have the time,,,,,,,,,,,,1da95611-db1a-44f7-b3c4-67cb65e8a8e4,,execute_actions,3840;1700
23,send_message,21;21,ABTest_test-first-person_Default;,,,,,We understand! What did you find difficult about trying to share a book with your child?,I didn’t know how to involve my child,My child had no interest in book sharing,I didn't have the time,,,,,,,,,,,,81d1fdf1-87c6-47e7-b39f-7ad0dcd81de8,,execute_actions,3590;1700
24,wait_for_response,19;20;22;23,,,,,checkin_problem,,,,,,,,,,,,,,,,6afa0760-8e2a-4587-bfc1-9ac1e85b49a5,,wait_for_response,1790;2020
25,split_by_value,24,I didn’t know how to involve my child,,has_only_phrase,I didn’t know how to involve my chil,,@fields.child_nickname,,,,,,,,,,,,,,,65f8b2ed-7fd2-45cb-8a47-e814ff4ccf6f,,split_by_expression,1295;2480
26,split_by_value,25,,@fields.child_nickname,has_text,child_nickname,,@fields.child_nickname,,,,,,,,,,,,,,,a0ed8b4e-1831-441d-b2f9-d81516815689,,split_by_expression,1045;2680
27,send_message,26,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge, and it can be difficult to know what to do at first. Next time try sitting with @fields.child_nickname and a book. Let @fields.child_nickname take the lead and follow their interest. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,7b3ea3fd-a904-4546-bdf0-3dece56964d3,,execute_actions,920;3680
28,send_message,26,,,,,,"It is completely normal to experience this challenge, and it can be difficult to know what to do at first. Next time try sitting with @fields.child_nickname and a book. Let your child take the lead and follow their interest. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,155c6e1e-5917-4437-bd0c-bf43a6a3751f,,execute_actions,1170;3680
29,split_by_value,25,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,0f62fd6d-9886-43ce-b56b-d26e251cdaf2,,split_by_expression,1545;2880
30,send_message,29,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge, and it can be difficult to know what to do at first. Next time try sitting with your child and a book. Let @fields.child_nickname take the lead and follow their interest. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,0d74756d-2591-4377-a8a7-0140ce1c3734,,execute_actions,1420;3680
31,send_message,29,,,,,,"It is completely normal to experience this challenge, and it can be difficult to know what to do at first. Next time try sitting with your child and a book. Let your child take the lead and follow their interest. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,0c1d93f5-2870-4e10-b23a-8efe03c74732,,execute_actions,1670;3680
32,split_by_value,24,My child had no interest in book sharing,,has_only_phrase,My child had no interest in book sha,,@fields.child_nickname,,,,,,,,,,,,,,,16316072-5b7d-4301-81fb-88edf63d6ff0,,split_by_expression,2515;3080
33,split_by_value,32,,@fields.child_nickname,has_text,child_nickname,,@fields.child_nickname,,,,,,,,,,,,,,,0f51c809-9665-476d-865b-f53039a216dc,,split_by_expression,2265;3280
34,send_message,33,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge, it can be difficult to get @fields.child_nickname's attention. Next time try letting @fields.child_nickname choose the book. It can even be a magazine or colouring the book. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,8c42a158-1fb7-47c4-bc25-d671434d7c26,,execute_actions,2140;3680
35,send_message,33,,,,,,"It is completely normal to experience this challenge, it can be difficult to get @fields.child_nickname's attention. Next time try letting your child choose the book. It can even be a magazine or colouring the book. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,a059959b-f6f4-4639-9247-b2327f68503c,,execute_actions,2390;3680
36,split_by_value,32,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,2b658caa-d946-4238-b92d-41be08592572,,split_by_expression,2765;3480
37,send_message,36,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge, it can be difficult to get your child's attention. Next time try letting @fields.child_nickname choose the book. It can even be a magazine or colouring the book. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,a0c458be-2815-4263-810b-7c7201f85607,,execute_actions,2640;3680
38,send_message,36,,,,,,"It is completely normal to experience this challenge, it can be difficult to get your child's attention. Next time try letting your child choose the book. It can even be a magazine or colouring the book. You don't even need to read...just looking at the pictures together and talking about them works!",,,,,,,,,,,,,,,08f57534-1c17-4b0c-a87e-bde1e3747d49,,execute_actions,2890;3680
39,send_message,24,I didn't have the time,,has_only_phrase,I didn't have the time,,"It is completely normal to experience this challenge, it can be really difficult to find the time our busy lives. Can you think of a time during the day when you may be less busy, such as early in the morning or after dinner?  It will make a big difference in improving your relationship AND their learning abilities!",,,,,,,,,,,,,,,00816f43-82da-44a8-b8a4-d956b7fa7cb4,,execute_actions,3880;3680
40,send_message,24,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,be5d7688-f7f2-41a8-80cb-2293c9048e14,,execute_actions,4120;2300
41,go_to,40,,,,,,17,,,,,,,,,,,,,,,,,,
42,send_message,14;27;28;30;31;34;35;37;38;39,,,,,,Would you like to review the content? ,Yes,No,,,,,,,,,,,,,605932d3-3ca1-4198-aee1-9af8ba3a0672,,execute_actions,;1740
43,wait_for_response,42,,,,,Result 3,,,,,,,,,,,,,,,,bae29f11-2ffc-447b-b668-e96d8f380dae,,wait_for_response,;1880
44,save_value,43,yes y,,has_any_word,Yes,from theme,no,,,,,,,,,,,,,,,21016cfe-109c-4938-b4a1-1b0435844911,,execute_actions,40;2020
45,start_new_flow,44,,,,,,PLH - Content - Positive - Book sharing,,,,,,,,,,,,,,431dcaef-2ff5-42e6-b61f-3fc37791f57f,cdb5f518-ded6-477d-8f7e-d4f46fa9f17d,,split_by_subflow,20;2340
46,split_by_value,43,no n,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,4a591cd1-b9cc-4068-8fd4-17c619c9760d,,split_by_expression,675;2060
47,send_message,46,,@fields.user_name,has_text,user_name,,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later @fields.user_name! ",,,,,,,,,,,,,,,1875a1d5-d84b-42da-af2a-03bf9a0e94de,,execute_actions,550;2260
48,send_message,46,,,,,,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later! ",,,,,,,,,,,,,,,1161b413-89f7-4246-9cb1-39a13ff3f2b7,,execute_actions,800;2260
49,send_message,43,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,f9cad538-9e0c-47cb-8bbe-a1d77b971927,,execute_actions,470;1840
50,go_to,49,,,,,,42,,,,,,,,,,,,,,,,,,
