row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,052b2724-1a3c-4eec-8cab-146cc8d6775c,,split_by_expression,1475;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Were you able to have a discussion with your child or teen about family budgeting?,Yes,No,,,,,,,,,,,,,6ce2ebb3-b6f7-4b9d-8213-700d1c8be571,,execute_actions,1350;200
3,send_message,1,,,,,,Hi! Were you able to have a discussion with your child or teen about family budgeting?,Yes,No,,,,,,,,,,,,,e753f672-5148-4321-85e0-deb385575c1a,,execute_actions,1600;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,8ab0028c-7d52-4243-9767-026d4719c4f7,,wait_for_response,1600;360
5,save_value,4,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,2c7568ba-e21d-44b9-bf1f-b63fe00453e8,,execute_actions,640;340
6,save_value,4,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,46e3174a-3915-4e9d-aa05-aab002bb8887,,execute_actions,1330;700
7,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,46daf36c-efe0-4c6f-82a3-755eb92f99cb,,execute_actions,3170;420
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,46daf36c-efe0-4c6f-82a3-755eb92f99cb,,execute_actions,3170;420
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,0ac6cc06-45ae-4c2a-b7c4-99afa66ee8e4,,split_by_expression,495;440
11,send_message,10,,@fields.user_name,has_text,user_name,,Well done @fields.user_name for taking the time to do this! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,0af57dd9-81ed-49a6-8164-089f6ef1ae7c,,execute_actions,370;640
12,send_message,10,,,,,,Well done for taking the time to do this! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,8e0fe80a-126c-403b-b1b3-fa1deabd6d90,,execute_actions,620;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,cbe17c6d-7314-4388-9e9f-3808d1283e72,,wait_for_response,350;800
14,split_by_group,13,great,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,55ad5362-3101-4931-9888-3fc8fa1dd897,,split_by_expression,145;1020
15,send_message,14,ABTest_test-first-person_alternative,,,,,I am happy to hear that it went well! Budget planning as a family can help you have enough money to get through the month and also reduce arguments!,,,,,,,,,,,,,,,900e8290-d3a7-4726-b7df-50eeb6ca5324,,execute_actions,270;1220
16,send_message,14;14,ABTest_test-first-person_Default;,,,,,We are happy to hear that it went well! Budget planning as a family can help you have enough money to get through the month and also reduce arguments!,,,,,,,,,,,,,,,625c278b-ddb5-4ac3-8411-2fd5e684a7d7,,execute_actions,20;1220
17,send_message,13,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,06de6281-9f78-4786-b907-a38a277627d3,,execute_actions,1130;800
18,go_to,17,,,,,,10,,,,,,,,,,,,,,,,,,
19,split_by_value,13;13;6,neutral;bad;,,has_any_word;has_any_word;,Neutral;Bad;,,@fields.user_name,,,,,,,,,,,,,,,96835a69-c40a-40df-8d75-b3db7c8b3d6b,,split_by_expression,2075;1320
20,send_message,19,,@fields.user_name,has_text,user_name,,That is okay @fields.user_name! What did you find challenging about discussing budgeting with your family?,I did not want to tell my family how much I earn,"When budgeting, we could not agree on what should fall under needs and what should fall under wants",I did not understand what to do,My child or teen did not want to do the budgeting with me,I did not have the time to talk about family budgeting with my child or teen,,,,,,,,,,af150d35-302b-4254-aecb-c69b8464f4d4,,execute_actions,1950;1520
21,send_message,19,,,,,,That is okay! What did you find challenging about discussing budgeting with your family?,I did not want to tell my family how much I earn,"When budgeting, we could not agree on what should fall under needs and what should fall under wants",I did not understand what to do,My child or teen did not want to do the budgeting with me,I did not have the time to talk about family budgeting with my child or teen,,,,,,,,,,f806a79d-b1d3-4ddf-bc1f-5631d6f23fb1,,execute_actions,2200;1520
22,wait_for_response,20;21,,,,,checkin_problem,,,,,,,,,,,,,,,,ca44347f-fd02-41de-9a66-46ba85c905af,,wait_for_response,1310;2080
23,send_message,22,I did not want to tell my family how much I earn ,,has_only_phrase,I did not want to tell my family how,,"It is completely normal to experience this. You don’t have to reveal the exact amount you earn; you could give an estimate. You could say, “In this household, we have this amount of money every month” rather than, “I make this amount of money”.",,,,,,,,,,,,,,,3254bb04-3a02-4824-9ffa-332c7246f5ab,,execute_actions,1190;2680
24,split_by_value,22,"When budgeting, we could not agree on what should fall under needs and what should fall under wants",,has_only_phrase,"When budgeting, we could not agree o",,@fields.child_nickname,,,,,,,,,,,,,,,37a8a8a4-750a-422c-9d53-dd0ad83c079f,,split_by_expression,1785;2280
25,send_message,24,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge. People’s wants and needs are different sometimes. Talking about them together can help you and @fields.child_nickname to understand each other, respect your differences, and see where you can compromise.",,,,,,,,,,,,,,,7f9197c5-ebaf-4321-ab13-299f36091715,,execute_actions,1660;2680
26,send_message,24,,,,,,"It is completely normal to experience this challenge. People’s wants and needs are different sometimes. Talking about them together can help you and your child or teen  to understand each other, respect your differences, and see where you can compromise.",,,,,,,,,,,,,,,06776dae-2fe3-4e21-adc7-e971d6e2925f,,execute_actions,1910;2680
27,split_by_value,22,I did not understand what to do,,has_only_phrase, I did not understand what to do,,@fields.child_nickname,,,,,,,,,,,,,,,b6b89e3b-9861-4a1d-a343-96fb354e5ed3,,split_by_expression,2755;2980
28,split_by_group,27,,@fields.child_nickname,has_text,child_nickname,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,2d6e961d-7887-4cd4-8a34-3aa439265e9a,,split_by_expression,2505;3180
