row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,70e4d4f3-dde9-4afd-aa8b-cedadaf91cc4,,split_by_expression,1455;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Were you able to have a conversation with your child or teen about safe and unsafe places of the community?,Yes,No,,,,,,,,,,,,,8289efde-0ac2-4a5a-8821-0b50f5da8c3c,,execute_actions,1330;200
3,send_message,1,,,,,,Hi! Were you able to have a conversation with your child or teen about safe and unsafe places of the community?,Yes,No,,,,,,,,,,,,,c2ed00a8-b373-4145-bc18-a65823add3cb,,execute_actions,1580;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,a59338b5-5f0f-4acb-8d41-dd5af790c513,,wait_for_response,1580;380
5,save_value,4,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,a2cc5d3f-f9e2-4980-ba4b-61cef5510ef3,,execute_actions,620;340
6,save_value,4,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,2ac5af20-edc0-42d6-a957-a6b8d3dddc2a,,execute_actions,1310;720
7,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,339fffde-9253-4992-8838-290abf5e00dd,,execute_actions,2400;420
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,339fffde-9253-4992-8838-290abf5e00dd,,execute_actions,2400;420
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,63fb7078-64b9-4765-9e17-b5074e06c176,,split_by_expression,475;440
11,send_message,10,,@fields.user_name,has_text,user_name,,Well done @fields.user_name for making the time to do this! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,41984a64-f83c-46cb-801d-746331e5c085,,execute_actions,350;640
