row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,8fd1da1a-18f7-4b28-b7a3-2f2de31f2d75,,split_by_expression,1955;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,2abfdcd9-71cc-4fb3-88e6-db71fef34545,,split_by_expression,1705;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Have you been able to ignore @fields.child_nickname's tantrums or other negative demanding behaviours?,Yes,No,,,,,,,,,,,,,2cc31169-ef4b-4f10-8e8b-b6acab40d425,,execute_actions,1580;600
4,send_message,2,,,,,,Hi @fields.user_name! Have you been able to ignore your child's tantrums or other negative demanding behaviours?,Yes,No,,,,,,,,,,,,,07f75d88-3350-40fd-a06c-1dd6907873ad,,execute_actions,1830;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,ce941c7e-5531-46c7-b07c-e82c0f7d530e,,split_by_expression,2205;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Hi! Have you been able to ignore @fields.child_nickname's tantrums or other negative demanding behaviours?,Yes,No,,,,,,,,,,,,,382d2285-8f7c-4d5f-a7e3-e1892243aed7,,execute_actions,2080;600
7,send_message,5,,,,,,Hi! Have you been able to ignore your child's tantrums or other negative demanding behaviours?,Yes,No,,,,,,,,,,,,,bdab866a-2a3c-46bf-84a1-83f326309b08,,execute_actions,2330;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,73f3091f-64ae-4ab6-ac0a-088ef94275ae,,wait_for_response,2330;800
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,8d46a6c5-3f78-4f2b-b738-462fdefef42c,,execute_actions,620;740
10,save_value,8,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,cdd8c26f-765f-4400-9d6f-1be2df6a1f1f,,execute_actions,1560;1140
11,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,233c679f-5549-4c49-a31e-83a90ce74d09,,execute_actions,3900;820
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,233c679f-5549-4c49-a31e-83a90ce74d09,,execute_actions,3900;820
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,9,,,,,,@fields.user_name,,,,,,,,,,,,,,,75a6e0e2-1edd-4b60-b93b-7b928eb20532,,split_by_expression,475;840
15,send_message,14,,@fields.user_name,has_text,user_name,,Well done for trying @fields.user_name! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,9af6e42d-6994-483c-bde3-da2c2bbd8afb,,execute_actions,350;1040
16,send_message,14,,,,,,Well done for trying! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,50e4d6a8-d6d5-4c02-8fcc-3a906a2c06c8,,execute_actions,600;1040
17,wait_for_response,15;16,,,,,checkin_how,,,,,,,,,,,,,,,,4edbf987-e393-4466-893d-9e6f514cc488,,wait_for_response,330;1280
18,split_by_group,17,great,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,90841a9c-9ed1-47e7-9e49-a3727901271e,,split_by_expression,125;1420
19,send_message,18,ABTest_test-first-person_alternative,,,,,I am happy to hear it went well Ignoring negative attention seeking and demanding behaviours is not easy. Good for you for giving it a try and being consistent!,,,,,,,,,,,,,,,cb8cf1dc-b36c-480a-95cb-94f64e02b2f8,,execute_actions,250;1620
