row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,cf6af429-7895-47f4-a3b3-f179f5824d4a,,split_by_expression,1565;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,441648ba-e55c-4bce-9f0c-a92192193cdc,,split_by_expression,1315;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Did you praise @fields.child_nickname during one-on-one time or any other time during the day? ,Yes,No,,,,,,,,,,,,,b9909097-92dc-458a-ba1d-52f1fc21398c,,execute_actions,1190;600
4,send_message,2,,,,,,Hi @fields.user_name! Did you praise your child during one-on-one time or any other time during the day? ,Yes,No,,,,,,,,,,,,,b19b218f-b5f6-47cc-a6c6-ee3fa54d08af,,execute_actions,1440;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,e61af84e-19a5-488c-ad13-88c62061c463,,split_by_expression,1815;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Hi! Did you praise @fields.child_nickname during one-on-one time or any other time during the day? ,Yes,No,,,,,,,,,,,,,e3f7097d-7fb2-4bce-b399-9cd8f7cbfec7,,execute_actions,1690;600
7,send_message,5,,,,,,Hi! Did you praise your child during one-on-one time or any other time during the day? ,Yes,No,,,,,,,,,,,,,a786807e-598d-49dc-899d-72675064a09a,,execute_actions,1940;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,39700f56-5846-461d-a0cd-90d8669c7221,,wait_for_response,1940;800
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,ca496443-e4db-4740-b6e8-69be08039791,,execute_actions,580;900
10,send_message,8,no n,,has_any_word,No,,"It can be hard sometime to remember. Next time you spend one-on-one time, try and think of one thing you can praise them for. You can even say “thank you for spending time with me!”.",,,,,,,,,,,,,,,108c62a6-f5be-4f79-b14f-dac100571dec,,execute_actions,2330;980
11,save_value,10,,,,,last interaction,@(now()),,,,,,,,,,,,,,,0a0fc57b-2a1c-4928-970c-a8624c48d213,,execute_actions,2330;1400
12,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,11016bb8-c6b9-4d69-b554-ffceebb592b1,,execute_actions,2630;820
13,save_value,12,,,,,last interaction,@(now()),,,,,,,,,,,,,,,3c39c3ad-d96c-4029-9527-d2f48b661cad,,execute_actions,2630;940
14,go_to,13,,,,,,1,,,,,,,,,,,,,,,,,,
15,split_by_value,9,,,,,,@fields.user_name,,,,,,,,,,,,,,,d2c0123b-7dc9-439f-a765-678c02da0ba7,,split_by_expression,455;1000
