row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.age_group_for_tips,,,,,,,,,,,,,,,b6c86ea6-75bd-4a43-b5dc-45fe56894dc4,,split_by_contact_field,1670;
2,split_by_value,1,teen,@fields.age_group_for_tips,has_any_word,Teen,,@fields.user_name,,,,,,,,,,,,,,,4032004d-00d3-4005-8fb9-1e5e98173e48,,split_by_expression,725;780
3,split_by_value,2,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,8dbf73ea-929e-4b48-a2e6-d6b7fe1d9c71,,split_by_expression,475;980
4,send_message,3,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Have you been able to give @fields.child_nickname any responsibilities during the last week?,Yes,No,,,,,,,,,,,,,53fdd4f0-d9f7-4bb5-8077-dfbc947f8c1c,,execute_actions,350;1380
5,send_message,3,,,,,,Hi @fields.user_name! Have you been able to give your teen any responsibilities during the last week?,Yes,No,,,,,,,,,,,,,a3286afc-b343-41f7-aca0-df88488fa722,,execute_actions,600;1380
6,split_by_value,2,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,9b7840f7-dbbd-4a79-8dda-0af6a5dc4de9,,split_by_expression,975;1180
7,send_message,6,,@fields.child_nickname,has_text,child_nickname,,Hi! Have you been able to give @fields.child_nickname any responsibilities during the last week?,Yes,No,,,,,,,,,,,,,d8385833-a226-4f08-9375-14b4e4b0ad83,,execute_actions,850;1380
8,send_message,6,,,,,,Hi! Have you been able to give your teen any responsibilities during the last week?,Yes,No,,,,,,,,,,,,,0a7dfc41-0e32-42df-8fd4-1334842eb4e7,,execute_actions,1100;1380
9,wait_for_response,4;5;7;8,,,,,checkin_managed,,,,,,,,,,,,,,,,20e22acd-b678-439d-b0c3-4ef5f1a33be3,,wait_for_response,1100;1560
10,split_by_value,9,yes y,,has_any_word,Yes,,@fields.child_nickname,,,,,,,,,,,,,,,8aaccd81-719c-4e54-a7bc-18dcb83923fa,,split_by_expression,125;2000
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,"Well done! As @fields.child_nickname shows more responsibility, you can also give them extra privileges. Try to share responsibilities equally amongst women/men and girls/boys. Praise @fields.child_nickname whenever they do their job!",,,,,,,,,,,,,,,35cffd02-0d32-4af7-bb6f-627cc4312269,,execute_actions,;2200
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,35cffd02-0d32-4af7-bb6f-627cc4312269,,execute_actions,;2200
13,send_message,10,,,,,,"Well done! As your teen shows more responsibility, you can also give them extra privileges. Try to share responsibilities equally amongst women/men and girls/boys. Praise your teen whenever they do their job!",,,,,,,,,,,,,,,cb1dec4a-c750-435b-99d5-014475962c7c,,execute_actions,250;2200
14,save_value,13,,,,,last interaction,@(now()),,,,,,,,,,,,,,,cb1dec4a-c750-435b-99d5-014475962c7c,,execute_actions,250;2200
15,split_by_value,9,no n,,has_any_word,No,,@fields.child_nickname,,,,,,,,,,,,,,,d301ab93-1cd3-4499-94e8-4395a4f39842,,split_by_expression,1875;1680
16,send_message,15,,@fields.child_nickname,has_text,child_nickname,,"That's okay. It can be hard sometimes to remember. Next time you have a task that @fields.child_nickname could do, you can give the job to them. Children often respond well when they are given the opportunity to become more responsible. Praise your teen whenever they complete their job, you can say “thank you for doing such a great job!”.",,,,,,,,,,,,,,,cb0a252b-56e3-4393-a4e0-f91eebbb8805,,execute_actions,1750;1880
17,save_value,16,,,,,last interaction,@(now()),,,,,,,,,,,,,,,cb0a252b-56e3-4393-a4e0-f91eebbb8805,,execute_actions,1750;1880
18,send_message,15,,,,,,"That's okay. It can be hard sometimes to remember. Next time you have a task that your teen could do, you can give the job to them. Children often respond well when they are given the opportunity to become more responsible. Praise your teen whenever they complete their job, you can say “thank you for doing such a great job!”.",,,,,,,,,,,,,,,55156703-9290-417b-b03b-55d988820cd8,,execute_actions,2000;1880
19,save_value,18,,,,,last interaction,@(now()),,,,,,,,,,,,,,,55156703-9290-417b-b03b-55d988820cd8,,execute_actions,2000;1880
