row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Giving positive instructions,,,,,,,,,,,,,,,2f34d2b5-d41b-4984-be95-12cf24a96dac,,execute_actions,3720;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,789c9535-ae4f-45f9-820b-8c39f5a67cbf,,split_by_subflow,3800;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,00d60407-ee10-48a1-b798-6d131b231e38,,split_by_contact_field,840;180
4,send_message,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,It‘s hard to feel positive when our kids or teenagers are driving us crazy. We often end up saying “Stop doing that!” But children are much more likely to do what we ask if we give them positive instructions and lots of praise for what they do right. ,,,,,,,,,,,,,,,050a486b-6f4d-4f0e-86de-3c3122005c0c,,execute_actions,3780;280
5,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,,,,,76f59b8d-556d-4955-b77d-648443dff9b1,,execute_actions,1190;340
6,wait_for_response,5,,,,,know_more,,,,,,,,,,,,,,,,4a6d888c-994f-49fe-a458-5fdc7b04fda2,,wait_for_response,330;360
7,split_by_value,6,YES Y,,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,3d46b9e0-a2b2-4ed9-a728-2c3939ffe6d7,,split_by_contact_field,3330;680
8,send_message,7,high,@fields.type_of_media,has_any_word,High,,Here's a positive video to help you get your children to follow your instructions more often!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/eng/Positive_Instructions.m4v,,62996086-8ea4-41af-875d-815e26e90348,,execute_actions,550;700
9,send_message,7,medium,@fields.type_of_media,has_any_word,Medium,,Here's a positive audio message to help you get your children to follow your instructions more often!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/eng/Positive_Instructions.mp3,,,6f728310-5780-4fb3-819b-aa345e5c0b32,,execute_actions,3310;800
10,wait_for_response,8;9,,,,,Result 4,,,,,,,,,,,,,,,,314e21e9-f26f-4919-bda5-b4a8fe0f0e5c,120,wait_for_response,550;900
11,start_new_flow,10;10;7,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,7ce5614d-5f37-49bc-8f9b-dd7b508e3011,,split_by_subflow,3310;1180
12,split_by_value,6,NO N,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,a68f9cd6-c785-40f3-8a01-42437c6cfada,,split_by_expression,145;920
13,send_message,12,,@fields.user_name,has_text,user_name,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later @fields.user_name!",,,,,,,,,,,,,,,d127b3f9-df03-4cb4-95c6-743bfcbc48ab,,execute_actions,20;1120
14,send_message,12,,,,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,,,,,1a5cb199-d59d-4a0e-bc21-a783f2119cb3,,execute_actions,270;1120
15,save_value,13;14,,,,,last interaction,@(now()),,,,,,,,,,,,,,,a19f075e-010b-470c-9be7-b9a214e17c85,,execute_actions,;1300
