row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Managing anger,,,,,,,,,,,,,,,cc3f4699-020e-482e-b86e-8bfbf9bcd42e,,execute_actions,2850;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,b40a1318-0917-4a72-b446-8900367d1ef6,,split_by_subflow,2930;80
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,8abe1bbf-92e1-4d9b-85f9-5551cde1fd4d,,split_by_contact_field,3110;220
4,split_by_value,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,@fields.user_name,,,,,,,,,,,,,,,f08350a3-78c3-407f-933f-e0eebbc2cec9,,split_by_expression,3275;380
5,send_message,4,,@fields.user_name,has_text,user_name,,"Hello @fields.user_name! We love our children and teenagers, but stress from caregiving and money can make us angry. Here is how we can maintain control and keep calm.",,,,,,,,,,,,,,,4647f83a-d674-4630-b0ff-6357e6830cd8,,execute_actions,3150;580
6,send_message,4,,,,,,"Hello! We love our children and teenagers, but stress from caregiving and money can make us angry. Here is how we can maintain control and keep calm.",,,,,,,,,,,,,,,ec15a94a-3f7a-4879-ae83-96f9d296cbe4,,execute_actions,3400;580
7,send_message,5;6,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,6214e3f1-86b3-47d5-9e1b-91098a86c315,,execute_actions,2710;280
8,wait_for_response,7,,,,,know_more,,,,,,,,,,,,,,,,bf64db5b-7f19-4301-b304-a10132d5587c,,wait_for_response,200;600
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,ce760817-e3cb-401c-b835-a5034030d2ec,,execute_actions,60;800
10,split_by_value,9,,,,,,@fields.type_of_media,,,,,,,,,,,,,,,324e30da-a9a9-42a6-983d-9d5e87e5b79a,,split_by_contact_field,160;1360
11,send_message,10,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you maintain control and keep calm when you get angry.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/eng/When_we_are_angry.m4v,,50627133-138e-42fe-b17f-c467f91788dd,,execute_actions,;1520
12,send_message,10,medium,@fields.type_of_media,has_any_word,medium,,Here's an audio message to help you maintain control and keep calm when you get angry.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/eng/When_we_are_angry.mp3,,,554860d6-6e5f-453d-aded-f5bf481bf6c7,,execute_actions,220;1540
13,wait_for_response,11;12,,,,,Result 3,,,,,,,,,,,,,,,,b0736500-9a42-4805-b818-a4e7e494fd3b,120,wait_for_response,60;1760
14,send_message,10;13;13,;;No Response,,,,,Stress from caregiving can make us angry. Here is how we can maintain control and keep calm.,,,,,,,,,,,,,,,be325af2-426a-425c-92f0-78265ea852ae,,execute_actions,2750;1420
15,send_message,14,,,,,,"Think about what makes you angry? When does it happen? How do you normally react?

Prevent anger from starting in the first place. Get some sleep or rest when you are tired. Try to eat something when you are hungry. Ask someone for support when you are feeling alone.",,,,,,,,,,,,,,,5ea71ad9-ffe2-420d-ae4e-614c21100006,,execute_actions,2750;1580
16,send_message,15,,,,,,"Here are some things that can prevent bad things from happening when you are angry: 

1. Cut back on drinking alcohol or don’t drink, especially when the kids are awake.
2. Do you have weapons or things that can be used to hurt others? Lock them up, hide them or take them out of the home.
3. It’s ok to have your children stay somewhere safe or take them to a place where they can get help.",,,,,,,,,,,,,,,4c7337ff-be39-40f4-8991-b2ca0e29d42f,,execute_actions,2750;1860
17,start_new_flow,16,,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,053f7790-e41d-4a67-9d4c-6c6126a7b5b5,,split_by_subflow,2710;2240
18,split_by_group,17;17,Complete;Expired,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,01e5b02b-8dc7-44ae-afa4-b1c5252cc2b8,,split_by_expression,1835;2380
19,split_by_group,18,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,85553a19-1c63-4677-ab8f-6b3ef147c4d2,,split_by_expression,2335;2780
20,split_by_value,19,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,b8f49a7f-9a6e-43b7-890b-3daea90232b7,,split_by_expression,2585;3580
21,send_message,20,,@fields.user_name,has_text,user_name,,"Well done @fields.user_name! You have added another layer to your House of Support. Over the next few days, take 10 deep breaths or do some exercise when you feel angry. Learning how to manage your anger can help you avoid some difficult situations.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,707897db-fd7a-4cd9-91e1-7da2c5ccafe8,,execute_actions,2460;3780
