row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,058382fb-606b-42f0-8d5f-dbe2f74cd26c,,split_by_expression,545;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! How are you feeling right now? Would you like to take a quick pause together? It might be helpful.,Yes,No,,,,,,,,,,,,,e71cee2f-d34c-451f-9147-4f274723d3c5,,execute_actions,420;200
3,send_message,1,,,,,,Hi! How are you feeling right now? Would you like to take a quick pause together? It might be helpful.,Yes,No,,,,,,,,,,,,,19510a0f-34ce-4be5-8d7c-97eeb9110b3a,,execute_actions,670;200
4,wait_for_response,2;3,,,,,know_more,,,,,,,,,,,,,,,,3399e4f9-d04d-408a-b0e5-fdc34122b543,,wait_for_response,200;360
5,save_value,4,Yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,92bd58aa-4554-4163-b799-8c1ab465e18a,,execute_actions,;500
6,split_by_value,5,,,,,,@fields.type_of_media,,,,,,,,,,,,,,,9ad99786-df97-4767-a702-fa6354cb71e8,,split_by_contact_field,40;600
7,send_message,6,high,@fields.type_of_media,has_any_word,High,,Here's a quick video to help you take a pause!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/eng/Short_Pause.m4v,,b491e4ba-2336-463e-90cb-bc14eecb99e1,,execute_actions,;780
8,send_message,6,medium,@fields.type_of_media,has_any_word,medium,,Here's an audio message to help you take a pause!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/eng/Short_Pause.mp3,,,e3359e69-6b9c-483e-9412-14147762a1fd,,execute_actions,260;780
9,wait_for_response,7;8,,,,,Result 1,,,,,,,,,,,,,,,,502d78b0-4aa2-4642-9b9c-8cd40ef20211,60,wait_for_response,340;960
10,send_message,6;9;9,;;No Response,,,,,"Sit down, close your eyes and listen to your breath as it goes in and out. Notice how you feel. When you are ready, open your eyes again. Everything is okay.",,,,,,,,,,,,,,,0a7fcd5b-3730-4b6c-9012-aa7b64049793,,execute_actions,1720;800
11,split_by_value,10,,,,,,@fields.user_name,,,,,,,,,,,,,,,bf59bfbe-742d-4e00-810c-07def398c4f8,,split_by_expression,1345;980
12,split_by_group,11,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,8b69295e-5ee6-4f82-ba49-aa0aafcfdf2c,,split_by_expression,1095;1180
13,send_message,12,ABTest_test-first-person_alternative,,,,,"I hope that was helpful! Remember you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later @fields.user_name!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/calm_adult.jpg,,,,05ecf12e-08f2-4187-9aa9-e32c9f62444f,,execute_actions,1220;1580
14,send_message,12;12,ABTest_test-first-person_Default;,,,,,"We hope that was helpful! Remember you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later @fields.user_name!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/calm_adult.jpg,,,,96bc392b-dbdf-4543-830d-b340ad77cfad,,execute_actions,970;1580
15,split_by_group,11,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,5d5b323c-9b1d-4296-ad97-82e051a3663c,,split_by_expression,1595;1380
16,send_message,15,ABTest_test-first-person_alternative,,,,,"I hope that was helpful! Remember you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/calm_adult.jpg,,,,3c1c040c-118b-4c64-a983-082d98ef2b1d,,execute_actions,1720;1580
17,send_message,15;15,ABTest_test-first-person_Default;,,,,,"We hope that was helpful! Remember you can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/calm_adult.jpg,,,,b36edb37-3755-407b-9ba1-abb6dba2654c,,execute_actions,1470;1580
18,send_message,4,no n,,has_any_word,No,,"That is okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",,,,,,,,,,,,,,,3ccc0b94-d23d-44c0-bdfe-a5d430829cc3,,execute_actions,790;540
19,save_value,18,,,,,last interaction,@(now()),,,,,,,,,,,,,,,3ccc0b94-d23d-44c0-bdfe-a5d430829cc3,,execute_actions,790;540
20,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,b37c5de1-c264-426d-81a6-fa4a43b43088,,execute_actions,1720;340
21,save_value,20,,,,,last interaction,@(now()),,,,,,,,,,,,,,,b37c5de1-c264-426d-81a6-fa4a43b43088,,execute_actions,1720;340
22,go_to,21,,,,,,1,,,,,,,,,,,,,,,,,,
