row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,One-on-one time,,,,,,,,,,,,,,,9d344826-97b2-4ac8-8cfe-e8c2b0c8ce95,,execute_actions,980;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,37293937-8fdc-4bcc-92d8-7dbac3253283,,split_by_subflow,980;120
3,send_message,2;2,Complete;Expired,,,,,Today's tip is about spending One-on-One Time with Our Children.,,,,,,,,,,,,,,,9baef420-6975-4a65-b782-b9a5a114c42b,,execute_actions,920;260
4,send_message,3,,,,,,Children learn through play! Here is a comic about spending one-on-one time with your baby!,,,,,,,,,,,,,,,bedf3c10-e115-4863-8d4d-09a4b5df43cf,,execute_actions,920;440
5,send_message,4,,,,,,"Parent: ""Such a strong baby you are.""

(1)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/playing_with_your_baby_comic_1.png,,,,bedf3c10-e115-4863-8d4d-09a4b5df43cf,,execute_actions,920;440
6,send_message,5,,,,,,"Parent: ""We are making a delicious meal together.""

(2)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/playing_with_your_baby_comic_2.png,,,,bedf3c10-e115-4863-8d4d-09a4b5df43cf,,execute_actions,920;440
7,send_message,6,,,,,,"Parent: “Here I am?” 

Baby: ""Ha ha ha!""

(3)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/playing_with_your_baby_comic_3.png,,,,bedf3c10-e115-4863-8d4d-09a4b5df43cf,,execute_actions,920;440
8,send_message,7,,,,,,"Parent: ""Wow! You have stacked 3 blocks on top of each other. Well done!""

(4)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/playing_with_your_baby_comic_4.png,,,,bedf3c10-e115-4863-8d4d-09a4b5df43cf,,execute_actions,920;440
9,split_by_value,8,,,,,,@fields.toolkit,,,,,,,,,,,,,,,447179be-0c0d-419d-9323-22c7e4a8d391,,split_by_contact_field,960;1600
10,split_by_group,9,@results.skill,@fields.toolkit,has_phrase,already completed,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,eb376a39-d728-4ad5-bad1-07fd2eb60122,,split_by_expression,125;1200
