row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_random,start,,,,,,,,,,,,,,,,,,,,,ed6344d3-727b-47fa-9038-2403b9c848db,,split_by_random,5080;
2,split_by_value,1,1,,,,,@fields.user_name,,,,,,,,,,,,,,,277a37f5-fc7e-41e4-9646-df24d03777d7,,split_by_expression,2015;2120
3,split_by_value,2,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,d7dc7071-1b00-4b4e-96cb-000945a4c914,,split_by_expression,1765;2320
4,send_message,3,,@fields.child_nickname,has_text,child_nickname,,"@fields.user_name, you have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to @fields.child_nickname, are you sure you want to exit the programme?",,,,,,,,,,,,,,,1827566b-438d-433f-9592-922df192f01d,,execute_actions,1640;3320
5,send_message,3,,,,,,"@fields.user_name, you have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,4354602e-92b6-40c1-b741-34a255c7ea06,,execute_actions,1890;3320
6,split_by_value,2,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,37fab821-825d-4cdc-b3d3-b9589ce6096e,,split_by_expression,2265;2520
7,send_message,6,,@fields.child_nickname,has_text,child_nickname,,"You have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to @fields.child_nickname, are you sure you want to exit the programme?",,,,,,,,,,,,,,,47f65c5e-9b4d-4836-b588-d6727796cb47,,execute_actions,2140;3320
8,send_message,6,,,,,,"You have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,3028264c-3926-4ecb-b827-a35365b36e8c,,execute_actions,2390;3320
9,save_value,4;5;7;8,,,,,exit message,gamification,,,,,,,,,,,,,,,b79c6ec1-4cd9-42c7-8b0e-fc27440151e0,,execute_actions,2390;3580
10,split_by_value,1,2,,,,,@fields.parenting_goal,,,,,,,,,,,,,,,0ae65c2c-268e-41c2-9d93-652c0ce9167b,,split_by_contact_field,5100;3680
11,split_by_value,10,1,@fields.parenting_goal,has_number_eq,1,,@fields.user_name,,,,,,,,,,,,,,,45583ac2-a17d-475d-8ed2-d3640c425061,,split_by_expression,1145;4360
12,split_by_value,11,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,93838532-715c-4a20-8a6d-fb25bbc86103,,split_by_expression,895;4560
13,send_message,12,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your relationship with your child. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,721d6a8c-ddfd-40c5-b864-3e0ef0f9b738,,execute_actions,770;5560
14,send_message,12,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your relationship with your child. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,0d733357-1465-4fec-9543-19d5f20968ea,,execute_actions,1020;5560
15,split_by_value,11,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,92fb4e72-52b2-4d50-9bfa-b0fb5767786f,,split_by_expression,1395;4760
16,send_message,15,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,5c039990-c6e7-49f8-8df2-c7e2728690a4,,execute_actions,1270;5560
17,send_message,15,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,39fada12-e830-4547-95a0-682e638fe657,,execute_actions,1520;5560
18,split_by_value,10,2,@fields.parenting_goal,has_number_eq,2,,@fields.user_name,,,,,,,,,,,,,,,35475f7d-0638-4414-a122-8d407a90cdc2,,split_by_expression,2865;4960
19,split_by_value,18,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,ead0de99-7cd0-449b-93ca-26b69a135ce6,,split_by_expression,2615;5160
