flow_type,flow_name,sheet_name,status
flow,PLH - Timed - 24h timeout alert,Timed-24h_timeout_alert,released
flow,PLH - Timed - Campaign,Timed-Campaign,released
flow,PLH - Timed - Evening,Timed-Evening,released
flow,PLH - Timed - Main,Timed-Main,released
flow,PLH - Timed - Morning,Timed-Morning,released
flow,PLH - Timed - Periodic - Congratulations,Timed-Periodic-Congratulations,released
flow,PLH - Picker - Age group for tips,Picker-Age_group_for_tips,released
flow,PLH - Safeguarding - SOS,Safeguarding-SOS,released
flow,PLH - Internal - Handle uncaught messages,Internal-Handle_uncaught_mes,released
flow,PLH - Safeguarding - Redirect to topic,Safeguarding-Redirect_to_topic,released
flow,PLH - Hanlder - Activity - Play,Hanlder-Activity-Play,released
flow,PLH - Feedback - Feedback for content,Feedback-Feedback_for_content,released
flow,PLH - Handler - Activity - Adults,Handler-Activity-Adults,released
flow,PLH - Handler - Activity - Babies,Handler-Activity-Babies,released
flow,PLH - Handler - Activity - Teenagers,Handler-Activity-Teenagers,released
flow,PLH - Handler - Activity - Young children,Handler-Activity-Young_children,released
flow,PLH - Handler - Activity,Handler-Activity,released
flow,PLH - Handler - Content - Evening,Handler-Content-Evening,released
flow,PLH - Handler - Content - Main - Positive,Handler-Content-Main-Positive,released
flow,PLH - Internal - Empty,Internal-Empty,released
flow,to fix PLH - Supportive - Weekly congratulations,ix_PLH-Supportive-Weekly_con,released
flow,PLH - Handler - Content - Main - Relax,Handler-Content-Main-Relax,released
flow,PLH - Handler - Content - Main - Time,Handler-Content-Main-Time,released
flow,PLH - Handler - Content - Main,Handler-Content-Main,released
flow,PLH - Handler - Welcome,Handler-Welcome,released
flow,PLH - Handler - Content - Morning,Handler-Content-Morning,released
flow,PLH - Handler - Survey,Handler-Survey,released
flow,PH - PLH - Help - Settings - Language,LH-Help-Settings-Language,released
flow,PH - PLH - Welcome - Entry - Set language,LH-Welcome-Entry-Set_language,released
flow,PLH - Internal - Create AB testing groups,Internal-Create_AB_testing_g,released
flow,PH - PLH - Supportive - Share - Enrollment,LH-Supportive-Share-Enrollment,released
flow,PLH - Internal - Define next campaign event,Internal-Define_next_campaig,released
flow,PLH - Internal - Frequency,Internal-Frequency,released
flow,PLH - Internal - Initialise time variables,Internal-Initialise_time_var,released
flow,PLH - Internal - Update disability variables,Internal-Update_disability_v,released
flow,PLH - Internal - Define attachments paths,Internal-Define_attachments,released
flow,PLH - Internal - Single hook message,Internal-Single_hook_message,released
flow,PLH - Internal - Multiple hook messages,Internal-Multiple_hook_messages,released
flow,PLH - Timed - IPV survey 150 day follow up,Timed-IPV_survey_150_day_fol,released
flow,PLH - Handler - Activity - Adults - Calm,Handler-Activity-Adults-Calm,released
flow,PLH - Handler - Activity - Adults - Active,Handler-Activity-Adults-Active,released
flow,PLH - Handler - Activity - Babies - Calm,Handler-Activity-Babies-Calm,released
flow,PLH - Timed - IPV survey 30 day follow up,Timed-IPV_survey_30_day_foll,released
flow,PLH - Handler - Activity - Teenagers - Active,Handler-Activity-Teenagers-A,released
flow,PLH - Handler - Activity - Young children - Active,Handler-Activity-Young_child,released
flow,PLH - Handler - Activity - Young children - Calm,Handler-Activity-Young_child_2,released
flow,PH - PLH - Timed - IPV survey 150 day follow up,LH-Timed-IPV_survey_150_day,released
flow,PLH - Handler - Activity - Teenagers - Calm,Handler-Activity-Teenagers-Calm,released
flow,PLH - Handler - Activity - Babies - Active,Handler-Activity-Babies-Active,released
flow,PLH - Safeguarding - Health - Entry,Safeguarding-Health-Entry,released
flow,PLH - Safeguarding - Health - Referrals,Safeguarding-Health-Referrals,released
flow,PLH - Safeguarding - Mental health - Entry,Safeguarding-Mental_health-E,released
flow,PLH - Safeguarding - Mental health - Referrals,Safeguarding-Mental_health-R,released
flow,PLH - Safeguarding - Natural disasters - Entry,Safeguarding-Natural_disaste,released
flow,PLH - Safeguarding - Natural disasters - Referrals,Safeguarding-Natural_disaste_2,released
flow,PLH - Safeguarding - Violence - Entry,Safeguarding-Violence-Entry,released
flow,PLH - Safeguarding - Violence - Referrals,Safeguarding-Violence-Referrals,released
flow,PLH - Safeguarding - Generic - Entry,Safeguarding-Generic-Entry,released
flow,PLH - Safeguarding - Generic - Referrals,Safeguarding-Generic-Referrals,released
flow,PLH - Safeguarding - WFR interaction,Safeguarding-WFR_interaction,released
flow,PLH - Internal - Print children age group string,Internal-Print_children_age,released
flow,PLH - Internal - Print parenting toolkits,Internal-Print_parenting_too,released
flow,PLH - Internal - Restart campaign for WA,Internal-Restart_campaign_fo,released
flow,PLH - Internal - Restart expired flow,Internal-Restart_expired_flow,released
flow,PLH - Internal - Set up default contact fields,Internal-Set_up_default_cont,released
flow,PLH - Internal - Update incomplete toolkits,Internal-Update_incomplete_t,released
flow,PLH - Internal - Update survey counters,Internal-Update_survey_counters,released
flow,PLH - Internal - Update time counters,Internal-Update_time_counters,released
flow,PLH - Internal - Update toolkits,Internal-Update_toolkits,released
flow,PLH - Introductory - First message,Introductory-First_message,released
flow,PLH - Introductory - First received tip,Introductory-First_received_tip,released
flow,PLH - Picker - Age group for activity,Picker-Age_group_for_activity,released
flow,PLH - Picker - Choose difficult age,Picker-Choose_difficult_age,released
