row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,temporary next time,@(now()),,,,,,,,,,,,,,,c0538d2e-eae9-4fde-a82b-c6821b7fd5f4,,execute_actions,480;20
2,split_by_value,1,,,,,,"@(min(fields.morning_counter, fields.main_counter, fields.evening_counter))",,,,,,,,,,,,,,,70b47ed2-dc1e-4ee5-8499-cec5bcf467ec,,split_by_expression,480;200
3,save_flow_result,2,,,,,temporary next time,"@(datetime_add(date(results.temporary_next_time),1,""D""))",,,,,,,,,,,,,,,cf10cde4-1b61-4bac-8a9c-aa8600c9ab73,,execute_actions,600;380
4,start_new_flow,3,,,,,,PLH - Internal - Update time counters,,,,,,,,,,,,,,38f907e4-ca89-4036-b302-4d2a9de1ddf1,149c571e-73c7-4015-a70d-6473fecd47d2,,split_by_subflow,700;540
5,split_by_value,4,Complete,,,,,"@(min(fields.morning_counter, fields.main_counter, fields.evening_counter))",,,,,,,,,,,,,,,7a9bca40-ce42-4f2a-8649-4716ccb87692,,split_by_expression,660;740
6,save_flow_result,5,,,,,temporary next time,"@(datetime_add(date(results.temporary_next_time),1,""D""))",,,,,,,,,,,,,,,20cd5ecc-d1d6-486c-b87d-67733c8a7784,,execute_actions,720;880
7,start_new_flow,6,,,,,,PLH - Internal - Update time counters,,,,,,,,,,,,,,38f907e4-ca89-4036-b302-4d2a9de1ddf1,3e989ae4-846a-4c8c-b81b-e863bf076458,,split_by_subflow,700;1040
8,split_by_value,7,Complete,,,,,"@(min(fields.morning_counter, fields.main_counter, fields.evening_counter))",,,,,,,,,,,,,,,b9cbe071-5a9a-4784-bee8-16720b3953c1,,split_by_expression,640;1220
9,save_flow_result,8,,,,,temporary next time,"@(datetime_add(date(results.temporary_next_time),1,""D""))",,,,,,,,,,,,,,,cf518e0b-ce35-42be-b049-7ce8b75a0b98,,execute_actions,680;1400
10,start_new_flow,9,,,,,,PLH - Internal - Update time counters,,,,,,,,,,,,,,38f907e4-ca89-4036-b302-4d2a9de1ddf1,d4433b3d-f68b-4409-bc48-8f4122ad31c0,,split_by_subflow,660;1580
