row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,list of skills,[,,,,,,,,,,,,,,,ce34ad36-aaa5-471a-a55c-75dbabd4c912,,execute_actions,320;
2,save_flow_result,1,,,,,count,1,,,,,,,,,,,,,,,ce34ad36-aaa5-471a-a55c-75dbabd4c912,,execute_actions,320;
3,split_by_value,2,,,,,,@parent.results.type_of_toolkit,,,,,,,,,,,,,,,e82a70eb-caae-4a98-bee7-37add9b1e2df,,split_by_expression,620;100
4,save_flow_result,3,full_toolkit,@parent.results.type_of_toolkit,has_any_word,Full_toolkit,toolkit,@fields.toolkit,,,,,,,,,,,,,,,34521d00-d5eb-4451-a432-d439f8c6efc4,,execute_actions,380;200
5,save_flow_result,3,full_incomplete,@parent.results.type_of_toolkit,has_any_word,Full_incomplete,toolkit,@fields.incomplete_toolkit,,,,,,,,,,,,,,,ae5af46c-a785-41cc-9aff-249ce4c8dc40,,execute_actions,640;240
6,save_flow_result,3,week_toolkit,@parent.results.type_of_toolkit,has_any_word,Week_toolkit,toolkit,@fields.week_toolkit,,,,,,,,,,,,,,,8513735d-5fe7-457e-9f34-3f1f6dc9292c,,execute_actions,860;280
7,save_flow_result,3,week_incomplete,@parent.results.type_of_toolkit,has_any_word,Week_incomplete,toolkit,@fields.week_toolkit_incompletes,,,,,,,,,,,,,,,9e54d34a-db1b-4b5e-8215-036013b2f915,,execute_actions,1100;240
8,split_by_value,4;5;6;7,,,,,,@results.toolkit,,,,,,,,,,,,,,,f59e5a83-625f-4b39-82c5-d239e5e35240,,split_by_run_result,680;440
9,send_message,8,One-on-one time,@results.toolkit,has_pattern,yes One-one,,@results.count  One-on-one time,,,,,,,,,,,,,,,fd9dcec8-0e07-4d51-85eb-bcf1426b8999,,execute_actions,280;440
10,save_flow_result,9,,,,,list of skills,"@(results.list_of_skills &""1,"")",,,,,,,,,,,,,,,fd9dcec8-0e07-4d51-85eb-bcf1426b8999,,execute_actions,280;440
11,save_flow_result,10,,,,,count,@(results.count +1),,,,,,,,,,,,,,,fd9dcec8-0e07-4d51-85eb-bcf1426b8999,,execute_actions,280;440
12,split_by_value,11;8,,,,,,@results.toolkit,,,,,,,,,,,,,,,0ab67cb2-27ee-484f-ac1a-c96d15543151,,split_by_run_result,680;720
13,send_message,12,Taking a Pause,@results.toolkit,has_pattern,yes pause,,@results.count  Taking a Pause,,,,,,,,,,,,,,,5d49dde3-dc56-49ee-b5a2-98432e44683f,,execute_actions,300;760
14,save_flow_result,13,,,,,list of skills,"@(results.list_of_skills &""2,"")",,,,,,,,,,,,,,,5d49dde3-dc56-49ee-b5a2-98432e44683f,,execute_actions,300;760
15,save_flow_result,14,,,,,count,@(results.count +1),,,,,,,,,,,,,,,5d49dde3-dc56-49ee-b5a2-98432e44683f,,execute_actions,300;760
16,split_by_value,12;15,,,,,,@results.toolkit,,,,,,,,,,,,,,,14a7fb7b-4a6e-4db2-9efd-93b84159ea56,,split_by_run_result,680;1020
17,send_message,16,Managing anger,@results.toolkit,has_pattern,yes anger,,@results.count  Managing anger,,,,,,,,,,,,,,,137929e6-51cf-4fd7-a9b8-7b19ccee8657,,execute_actions,300;1020
18,save_flow_result,17,,,,,list of skills,"@(results.list_of_skills &""3,"")",,,,,,,,,,,,,,,137929e6-51cf-4fd7-a9b8-7b19ccee8657,,execute_actions,300;1020
19,save_flow_result,18,,,,,count,@(results.count +1),,,,,,,,,,,,,,,137929e6-51cf-4fd7-a9b8-7b19ccee8657,,execute_actions,300;1020
20,split_by_value,16;19,,,,,,@results.toolkit,,,,,,,,,,,,,,,2066a672-2ebf-47f8-a99f-3092f046fddb,,split_by_run_result,660;1300
21,send_message,20,Giving positive instructions,@results.toolkit,has_pattern,yes instructions,,@results.count  Giving positive instructions,,,,,,,,,,,,,,,ae4c9cbb-0f29-4532-9063-ad3a3746d3e4,,execute_actions,300;1340
22,save_flow_result,21,,,,,list of skills,"@(results.list_of_skills &""4,"")",,,,,,,,,,,,,,,ae4c9cbb-0f29-4532-9063-ad3a3746d3e4,,execute_actions,300;1340
23,save_flow_result,22,,,,,count,@(results.count +1),,,,,,,,,,,,,,,ae4c9cbb-0f29-4532-9063-ad3a3746d3e4,,execute_actions,300;1340
24,split_by_value,20;23,,,,,,@results.toolkit,,,,,,,,,,,,,,,95722012-8627-4591-8ca1-f8c5aa2dcbb5,,split_by_run_result,700;1620
25,send_message,24,Praising your children,@results.toolkit,has_pattern,yes praise,,@results.count  Praising your children,,,,,,,,,,,,,,,35eaba5f-9337-4f1d-9cdf-9b20c8baa196,,execute_actions,300;1620
26,save_flow_result,25,,,,,list of skills,"@(results.list_of_skills &""5,"")",,,,,,,,,,,,,,,35eaba5f-9337-4f1d-9cdf-9b20c8baa196,,execute_actions,300;1620
27,save_flow_result,26,,,,,count,@(results.count +1),,,,,,,,,,,,,,,35eaba5f-9337-4f1d-9cdf-9b20c8baa196,,execute_actions,300;1620
28,split_by_value,24;27,,,,,,@results.toolkit,,,,,,,,,,,,,,,92314ebd-d412-494e-8ea8-c859fddd5831,,split_by_run_result,720;1880
29,send_message,28,Establishing daily routines,@results.toolkit,has_pattern,yes routines,,@results.count  Establishing daily routines,,,,,,,,,,,,,,,012b9e28-5706-488b-bbb8-b01260d2df8b,,execute_actions,280;1920
30,save_flow_result,29,,,,,list of skills,"@(results.list_of_skills &""6,"")",,,,,,,,,,,,,,,012b9e28-5706-488b-bbb8-b01260d2df8b,,execute_actions,280;1920
31,save_flow_result,30,,,,,count,@(results.count +1),,,,,,,,,,,,,,,012b9e28-5706-488b-bbb8-b01260d2df8b,,execute_actions,280;1920
