row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,9d611fc3-76ae-4ea0-be00-d907a471ec16,,split_by_expression,1935;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! How are you feeling? ,Great,Okay,Bad,,,,,,,,,,,,937a6c7f-7a96-44f0-b781-3e3658d818cd,,execute_actions,1810;200
3,send_message,1,,,,,,Hi! How are you feeling? ,Great,Okay,Bad,,,,,,,,,,,,48135e82-5c3d-4741-8d72-9b495da83ba7,,execute_actions,2060;200
4,wait_for_response,2;3,,,,,calm_interaction,,,,,,,,,,,,,,,,8f9ec36a-a54a-4ac2-8ba0-b7fe47a83b25,,wait_for_response,1520;340
5,split_random,4,great,,has_any_word,Great,,,,,,,,,,,,,,,,,24725871-4cfd-453a-a3c4-98bacb85d505,,split_by_random,600;460
6,split_random,5,1,,,,,,,,,,,,,,,,,,,,e2df705a-ccea-4b77-87a0-b1d353ab6715,,split_by_random,540;600
7,send_message,6,1,,,,,So good to hear that you are doing well. What a wonderful feeling!,,,,,,,,,,,,,,,a8fac695-184d-4830-b980-2e5218bf60cf,,execute_actions,560;1120
8,split_by_group,6,2,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,07857378-5398-4384-bf86-1092a6d3e55a,,split_by_expression,905;720
9,send_message,8,ABTest_test-first-person_alternative,,,,,That's wonderful! I am happy to hear that you are feeling good.  ,,,,,,,,,,,,,,,20f68100-2094-45ba-a2c1-53ea9c86132f,,execute_actions,1280;1120
10,send_message,8;8,ABTest_test-first-person_Default;,,,,,That's wonderful! We are happy to hear that you are feeling good. ,,,,,,,,,,,,,,,a5ed359a-fe79-4b3a-8aa8-a76925b3d29f,,execute_actions,780;1120
11,split_by_group,6,3,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,3219d19b-26d0-4a83-b3b0-32ec06d9288d,,split_by_expression,415;1740
12,send_message,11,ABTest_test-first-person_alternative,,,,,What a great feeling! I hope that good feeling continues throughout the entire day.,,,,,,,,,,,,,,,6b2a9ad2-8ace-4417-b1b6-47c471c0fff3,,execute_actions,540;1940
13,send_message,11;11,ABTest_test-first-person_Default;,,,,,What a great feeling! We hope that good feeling continues throughout the entire day.,,,,,,,,,,,,,,,ab8c805f-0a17-49e3-a077-38f3ae98eaa5,,execute_actions,290;1940
14,send_message,6,4,,,,,"That is excellent news. When you feel good, your family around you also feels good!",,,,,,,,,,,,,,,97306abc-e6ec-4d9e-b0a2-9bfff5dcc9f8,,execute_actions,1300;1720
15,split_by_group,6,5,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,27b1cd36-70c1-4a8d-9f0f-b8ca0300bf41,,split_by_expression,145;2540
16,send_message,15,ABTest_test-first-person_alternative,,,,,It makes me very happy to hear that you are feeling good! Take that good energy and share it with others!,,,,,,,,,,,,,,,62c42d83-1b96-48a9-a6fe-fa21d3b7cc4c,,execute_actions,270;2740
17,send_message,15;15,ABTest_test-first-person_Default;,,,,,It makes us very happy to hear that you are feeling good! Take that good energy and share it with others!,,,,,,,,,,,,,,,9e3f0448-19a2-43b5-bcf9-d4a99f157d40,,execute_actions,20;2740
18,split_by_group,6,6,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,68daf456-bd4c-4f19-bffe-d5dc67daa6ad,,split_by_expression,1155;2320
19,send_message,18,ABTest_test-first-person_alternative,,,,,What fantastic news! I hope you continue to feel good throughout the day.,,,,,,,,,,,,,,,ea32d0df-508d-4dea-8feb-e600d197e290,,execute_actions,1280;2520
20,send_message,18;18,ABTest_test-first-person_Default;,,,,,What fantastic news! We hope you continue to feel good throughout the day.,,,,,,,,,,,,,,,cad6b93e-f161-45bd-b756-a95438804d03,,execute_actions,1030;2520
21,split_random,5,2,,,,,,,,,,,,,,,,,,,,33f26861-4803-405f-bfb3-0a6d550bc425,,split_by_random,2060;600
22,send_message,21,1,,,,,Lovely! Take a breath just to appreciate the moment.,,,,,,,,,,,,,,,fe9f2d33-3d9f-4bd0-899a-68ddcd7f9c70,,execute_actions,2060;1120
23,send_message,21,2,,,,,"Marvellous! When you feel good, it is easier to keep it positive throughout the day.",,,,,,,,,,,,,,,051bcf7e-f85c-4b2d-abb5-e7f08ba94bdb,,execute_actions,2800;1120
24,split_by_group,21,3,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,08faf891-6ca9-4e0e-b983-ded5adee9a3e,,split_by_expression,1665;1300
25,send_message,24,ABTest_test-first-person_alternative,,,,,Hooray! I am delighted to hear that you are doing well.,,,,,,,,,,,,,,,5b5163e1-3091-4941-b18c-aa419c74d8af,,execute_actions,1790;1500
26,send_message,24;24,ABTest_test-first-person_Default;,,,,,Hooray! We are delighted to hear that you are doing well.,,,,,,,,,,,,,,,dd371c36-f1a1-4813-8053-1554664204cf,,execute_actions,1540;1500
27,split_by_group,21,4,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,4dcb000e-8b01-4e3d-86b4-e4ca33ea73f0,,split_by_expression,2655;1520
28,send_message,27,ABTest_test-first-person_alternative,,,,,Fabulous! I am so happy to hear this.,,,,,,,,,,,,,,,c940e365-d368-4a86-a152-53efd06cb411,,execute_actions,2780;1720
29,send_message,27;27,ABTest_test-first-person_Default;,,,,,Fabulous! We are so happy to hear this.,,,,,,,,,,,,,,,1987d300-a781-4dba-826f-3710bcb95729,,execute_actions,2530;1720
30,split_by_group,21,5,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,c7e98e98-65a8-44c3-b32e-042596b2075e,,split_by_expression,2265;2100
31,send_message,30,ABTest_test-first-person_alternative,,,,,I am glad to hear this! I am sure your family is happy to see you this way as well.,,,,,,,,,,,,,,,87ceaf88-e335-4b97-9f18-c2442bf15b0d,,execute_actions,2390;2300
32,send_message,30;30,ABTest_test-first-person_Default;,,,,,We are glad to hear this! We are sure your family is happy to see you this way as well.,,,,,,,,,,,,,,,617103e5-92b4-4c9d-8439-061be2167240,,execute_actions,2140;2300
33,split_random,4,okay ok,,has_any_word,Okay,,,,,,,,,,,,,,,,,dec33c3c-fe11-48f1-b9c1-ab876bbc8f78,,split_by_random,3260;480
34,split_random,33,1,,,,,,,,,,,,,,,,,,,,07a8634f-9cbb-433f-bb3d-46fbf5832684,,split_by_random,3120;600
35,send_message,34,1,,,,,Sometimes we're up. Sometimes we're down. And sometimes we are neither up nor down...and that's totally okay!,,,,,,,,,,,,,,,571db9e5-12cf-43c7-bc41-acb26908ecec,,execute_actions,3100;1140
36,send_message,34,2,,,,,It is completely normal to feel okay. You do not need to feel great everyday. ,,,,,,,,,,,,,,,91a4a477-8acc-41ba-875c-2a9bd937c8bc,,execute_actions,3320;1140
37,send_message,34,3,,,,,"Thank you for sharing! All feelings, whether they are good, bad, or okay are welcome here.  ",,,,,,,,,,,,,,,2e17ea56-8e26-4ec6-912c-60e31dc0e741,,execute_actions,3540;1160
38,send_message,34,4,,,,,"Part of keeping healthy is allowing yourself to feel all your emotions: the good, the bad, and the ones in the middle. ",,,,,,,,,,,,,,,f848e22c-86ef-469b-b1c7-d4063b2588f1,,execute_actions,3120;1980
39,send_message,34,5,,,,,"We all experience days where we just feel fine, and that is completely okay! ",,,,,,,,,,,,,,,c1b16beb-25b4-4b74-bd7d-555acf04a96e,,execute_actions,3340;1940
40,send_message,34,6,,,,,You should not feel pressured to feel happy and great all the time. All feelings are valid and healthy!,,,,,,,,,,,,,,,5d282b66-8b57-4b10-ab41-d73c879a71c5,,execute_actions,3580;1940
41,split_random,33,2,,,,,,,,,,,,,,,,,,,,b89d8a60-684a-432c-a2e7-3e67e14c9cf4,,split_by_random,3900;600
42,send_message,41,1,,,,,Life is filled with ups and downs. It is important to recognise and accept how are you feeling. Please remember to be kind to yourself.,,,,,,,,,,,,,,,c76c2c0d-c0c1-457a-93a7-11b41552dad9,,execute_actions,3840;1140
43,send_message,41,2,,,,,"We are made to feel different emotions, and learning to identify them is a great skill. Good job! You know we are here to support you. ",,,,,,,,,,,,,,,2ebf52f0-e9c5-44de-b467-9ef868b27405,,execute_actions,4120;1160
44,send_message,41,3,,,,,Feeling okay is perfectly normal. Try asking how your family members are feeling today. This can help everyone to understand each other better. ,,,,,,,,,,,,,,,a69b3361-e096-4eed-ae3a-09d4c9aee356,,execute_actions,3860;1960
45,send_message,41,4,,,,,There are days when we just go with the flow and it is completely perfect.,,,,,,,,,,,,,,,192e402b-5e08-4fc8-8826-af954f9b6622,,execute_actions,4120;2000
46,send_message,41,5,,,,,"Learning to identify and accept your emotions will allow you to build a stronger relationship with yourself, your family and your community. Well done!",,,,,,,,,,,,,,,cd1a3eff-c46e-43e1-bfcd-f778850388c3,,execute_actions,3980;2800
47,split_random,4,bad,,has_any_word,Bad,,,,,,,,,,,,,,,,,1bf73b4f-81be-4617-ba47-6807ed4219ce,,split_by_random,5170;460
48,split_random,47,1,,,,,,,,,,,,,,,,,,,,95720030-6957-4d07-beb9-188bd6866ef2,,split_by_random,4600;600
49,send_message,48,1,,,,,Sorry to hear that you are not having a good day. It is completely normal to be going through a difficult time now. Remember that you are not alone. Here is an activity that might also help...,,,,,,,,,,,,,,,1a2a7f40-8978-4309-8741-0f4e8136859e,,execute_actions,4460;1120
50,split_by_group,48,2,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,ae163537-6718-493e-8e34-5206c40c4965,,split_by_expression,4805;920
51,send_message,50,ABTest_test-first-person_alternative,,,,,I am sorry to hear that you are not feeling great today. Remember to take it one day at the time. Tomorrow is a new day. ,,,,,,,,,,,,,,,afee581f-4f95-4f72-a8fd-dc90835ed2d7,,execute_actions,4930;1120
52,send_message,50;50,ABTest_test-first-person_Default;,,,,,We are sorry to hear that you are not feeling great today. Remember to take it one day at the time. Tomorrow is a new day. ,,,,,,,,,,,,,,,bc09d832-a4e5-4f93-9585-95ca230fd28c,,execute_actions,4680;1120
53,send_message,48,3,,,,,"Everyone has challenging days, but you do not need experience it alone. Try reaching out to family and friends for support. ",,,,,,,,,,,,,,,2e768859-0b3c-4357-99c9-b2718d9e6e8b,,execute_actions,5150;1120
54,send_message,48,4,,,,,"It is completely normal to not feel great all the time. Parents all around the world have felt how you are feeling right now, and it is okay! You are doing great!",,,,,,,,,,,,,,,d19b231b-6363-40e4-9ade-433168bcd783,,execute_actions,4480;2020
55,send_message,48,5,,,,,"Just like everyone else, you are allowed to have days where they are not feeling great. Be gentle and patient with yourself. Tomorrow is a new day! ",,,,,,,,,,,,,,,7373fd7b-e005-4b5e-ba8a-fb3cba40d114,,execute_actions,4970;2020
