row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,add_to_group,start,,,,,,completed programme,,,,,,,,,,,,,,0c044dad-7251-469f-8297-0b886501eadd,0d65d44f-9da5-4b19-8a1a-7c1fac16f32d,,execute_actions,620;
2,save_value,1,,,,,completed programme on,@(now()),,,,,,,,,,,,,,,0d65d44f-9da5-4b19-8a1a-7c1fac16f32d,,execute_actions,620;
3,split_by_value,2,,,,,,@fields.user_name,,,,,,,,,,,,,,,43427c3c-d30f-48bd-a645-f7606bea8542,,split_by_expression,1755;60
4,send_message,3,,@fields.user_name,has_text,user_name,,Congratulations for finishing the MaPaText programme @fields.user_name! What a great accomplishment!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/certificate/eng/certificate_of_participation.jpg,,,,279891de-aea3-4968-afe2-970714b49b01,,execute_actions,1630;260
5,send_message,3,,,,,,Congratulations for finishing the MaPaText programme! What a great accomplishment!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/certificate/eng/certificate_of_participation.jpg,,,,c124a9f3-3232-4fc0-ac41-3564dfb3a8ff,,execute_actions,1880;260
6,split_by_group,4;5,,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,5ada8733-7492-402f-9076-a0f90a79bc8d,,split_by_expression,1235;460
7,split_by_group,6,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,6d118149-21e1-402e-b85c-cee6adb95ab6,,split_by_expression,1485;860
8,send_message,7,ABTest_test-gamification_alternative,,,,,You have added @fields.n_skills/@fields.total_skills layers to your House of Support! What an achievement!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,9b5e0c6e-0958-483b-8641-d78b64c84e39,,execute_actions,1610;1060
9,send_message,7;7,ABTest_test-gamification_Default;,,,,,You have added @fields.n_skills/@fields.total_skills layers to your House of Support! What an achievement!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,422c5457-d841-42d2-91a3-3f74e90ca3fc,,execute_actions,1360;1060
10,split_by_group,6;6,ABTest_test-gamification_Default;,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,4cd9b80b-1a23-4eae-a3dc-a688e084641d,,split_by_expression,985;660
11,send_message,10,ABTest_test-gamification_alternative,,,,,You have collected @fields.n_skills/@fields.total_skills skills! What an achievement!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,23fa8074-77f2-4f93-96f7-a7daf02dbfd1,,execute_actions,1110;1060
12,send_message,10;10,ABTest_test-gamification_Default;,,,,,You have collected @fields.n_skills/@fields.total_skills skills! What an achievement!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,1ad058ed-fea0-4b76-beff-fb7ecd43a3a7,,execute_actions,860;1060
13,split_by_group,11;12;8;9,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,1f9f28e3-3ad8-4a72-b0ff-c0265b314b5c,,split_by_expression,2365;1200
14,send_message,13,ABTest_test-first-person_alternative,,,,,Would you like to tell me about your experience?,Yes,No,,,,,,,,,,,,,a0ec4778-15eb-41aa-846f-c370a83c6bef,,execute_actions,2490;1400
15,send_message,13;13,ABTest_test-first-person_Default;,,,,,Would you like to tell us about your experience?,Yes,No,,,,,,,,,,,,,2d6aae7f-f3c5-4657-8ffc-a302dcb11b25,,execute_actions,2240;1400
16,wait_for_response,14;15,,,,,Result 2,,,,,,,,,,,,,,,,0230710e-6d75-442c-b681-a2bd5d8adccf,,wait_for_response,2570;1600
17,start_new_flow,16,yes y,,has_any_word,Yes,,PLH - Survey - Acceptability,,,,,,,,,,,,,,82056237-1445-4915-8e4e-6891e7af5267,36537908-b25f-4b93-882d-539f6187ed8c,,split_by_subflow,1900;1520
18,start_new_flow,17,Complete,,,,,PLH - Help - Settings - Qualitative Interview,,,,,,,,,,,,,,43d603c8-f56d-4a3a-acc3-f25472c85db3,6f2e1416-a52f-4691-a76b-da0186edf575,,split_by_subflow,310;1640
19,send_message,16,no n,,has_any_word,No,,That is okay!,,,,,,,,,,,,,,,b9bee7ae-e816-474a-aae5-bb9757841458,,execute_actions,2530;1800
20,send_message,16,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,3bb8c33f-bb73-418b-aa80-ea3b859b6581,,execute_actions,2970;1760
21,go_to,20,,,,,,13,,,,,,,,,,,,,,,,,,
22,split_by_group,17;18;18;19,Expired;Complete;Expired;,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,ad70c2e4-c876-4333-89bf-26faa3dbbdd5,,split_by_expression,475;1820
23,send_message,22,ABTest_test-first-person_alternative,,,,,Would you like to continue receiving daily messages from me?,Yes,No,,,,,,,,,,,,,8247bfc6-9fde-4bc8-b509-1ee87ffcf2d6,,execute_actions,600;2020
24,send_message,22;22,ABTest_test-first-person_Default;,,,,,Would you like to continue receiving daily messages from us?,Yes,No,,,,,,,,,,,,,64f98c0b-cb00-4a7a-b710-5de57a23b7bd,,execute_actions,350;2020
25,wait_for_response,23;24,,,,,Result 6,,,,,,,,,,,,,,,,1e24732c-e1ea-4473-a563-d23653ee3bfe,,wait_for_response,700;2200
26,split_by_value,25,yes y,,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,b8b92d2c-fb01-41dd-befa-003932bc839e,,split_by_expression,125;2340
27,send_message,26,,@fields.user_name,has_text,user_name,,"Great! If you ever want to stop receiving messages, go to ""Technical Support"" and then select ""User Experience"". Chat to you later @fields.user_name!",,,,,,,,,,,,,,,8696e205-430c-4646-8070-9b485325c65a,,execute_actions,;2540
28,send_message,26,,,,,,"Great! If you ever want to stop receiving messages, go to ""Technical Support"" and then select ""User Experience"". Chat to you later!",,,,,,,,,,,,,,,c9c82fd2-450a-4b30-bc72-4d620309499e,,execute_actions,250;2540
29,remove_from_group,25,no n,,has_any_word,No,,in program,,,,,,,,,,,,,,328730ed-02aa-4731-8a7c-350acde7a8f5,c3e85c9e-20b5-48b6-88c4-2c707ce869d5,,execute_actions,2000;2580
30,send_message,29,,,,,,"That is okay! You can always revisit the parenting tips by typing ""Help"".",,,,,,,,,,,,,,,3b7883eb-95d8-48cd-9db1-125896b99e1d,,execute_actions,2490;2600
31,send_message,30,,,,,,Thanks again for being part of MaPaText and for your commitment to your children’s wellbeing and happiness. You are a star!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,ed3ad6a1-0043-48cd-ab3a-770471074501,,execute_actions,2490;2740
32,send_message,25,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,c0fe7d27-0031-45c1-b410-d76965996b39,,execute_actions,2060;2100
33,go_to,32,,,,,,22,,,,,,,,,,,,,,,,,,
