row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.current_week_in_program,,,,,,,,,,,,,,,31fbdcf5-9ea7-461c-abda-33b28aaa0b80,,split_by_contact_field,1170;
2,split_by_value,1,1,@fields.current_week_in_program,has_number_lte,first week,,@fields.user_name,,,,,,,,,,,,,,,a13c833a-b2ab-4cdc-b0ee-4d3fab0c1c43,,split_by_expression,615;120
3,send_message,2,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have made it through your first week. How time flies! ,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,ef0f6444-8306-4012-b227-0a5499797d98,,execute_actions,490;520
4,send_message,2,,,,,,Congratulations! You have made it through your first week. How time flies! ,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,92f83ee7-b76f-48e5-b6ea-9888ab91ea99,,execute_actions,740;520
5,split_by_value,1,,,,,,@fields.user_name,,,,,,,,,,,,,,,5a1de447-3c42-4951-b034-911a48757945,,split_by_expression,1805;320
6,send_message,5,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have made it through another week!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,c8a00e71-7d2a-4d4d-a269-c53e43861de2,,execute_actions,1680;520
7,send_message,5,,,,,,Congratulations! You have made it through another week!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,12a230cb-961d-4fce-a94a-a82a4339e791,,execute_actions,1930;520
8,save_flow_result,3;4;6;7,,,,,n skills week,"@(count(split(fields.week_toolkit,"","")))",,,,,,,,,,,,,,,1b9c8d36-b60b-4438-8e63-a6e40536924d,,execute_actions,450;800
9,save_flow_result,8,,,,,n incompletes week,"@(count(split(fields.week_toolkit_incompletes,"","")))",,,,,,,,,,,,,,,1b9c8d36-b60b-4438-8e63-a6e40536924d,,execute_actions,450;800
10,split_by_value,9,,,,,,@results.n_skills_week,,,,,,,,,,,,,,,8a44d05d-ffda-4b52-b40b-371e65df4ea7,,split_by_run_result,740;1080
11,split_by_group,10,1,@results.n_skills_week,has_number_eq,1,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,4b44dd37-ca7c-494e-b8ae-462b17c78f65,,split_by_expression,145;1420
12,send_message,11,ABTest_test-gamification_alternative,,,,,You have added one layer to your House of Support this week:,,,,,,,,,,,,,,,da03c34e-2c86-40c4-a9cb-fa4bd4cc792e,,execute_actions,270;1620
13,send_message,11;11,ABTest_test-gamification_Default;,,,,,You have added one skill to your Parenting Toolkit this week:,,,,,,,,,,,,,,,0ce85f23-b3e5-4a5f-869f-821bd9c560b1,,execute_actions,20;1620
14,split_by_group,10,2,@results.n_skills_week,has_number_gte,>= 2,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,e895df5a-104c-4d6d-a5ef-ca85d1bf98d4,,split_by_expression,1355;1180
15,send_message,14,ABTest_test-gamification_alternative,,,,,You have added @results.n_skills_week layers to your House of Support this week:,,,,,,,,,,,,,,,54995ab3-1a8c-40e9-887b-030162baa3fe,,execute_actions,1480;1380
16,send_message,14;14,ABTest_test-gamification_Default;,,,,,You have added @results.n_skills_week skills to your Parenting Toolkit this week:,,,,,,,,,,,,,,,78ec607a-3923-44fb-8034-1efc83068d69,,execute_actions,1230;1380
