row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_group,start,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,6c608791-e5d0-4357-8cc2-ebdde89e1c73,,split_by_expression,645;420
2,send_message,1,ABTest_test-first-person_alternative,,,,,"Did you know that over 200 million parents around the world have used these resources developed by Parenting for Lifelong Health, WHO, and UNICEF?",,,,,,,,,,,,,,,a03dc984-182d-49ea-aef9-9db39245f5d4,,execute_actions,770;620
3,send_message,1;1,ABTest_test-first-person_Default;,,,,,"Did you know that over 200 million parents around the world have used our resources developed by Parenting for Lifelong Health, WHO, and UNICEF?",,,,,,,,,,,,,,,35c18a1e-61c5-43eb-9d62-ab93cb89d1fc,,execute_actions,520;620
4,send_message,2;3,,,,,,This programme is for parents and caregivers like you (aged 18 or older).,,,,,,,,,,,,,,,b68e1c56-b080-445e-8001-51246f0c810b,,execute_actions,770;860
5,send_message,4,,,,,,"Your participation and any information you provide will be used anonymously by researchers to learn about how to better support families like yours. 

Click here for more information:
https://covid19parenting.com/assets/consents/PH_eng.pdf",,,,,,,,,,,,,,,59b33491-3a53-4b28-9ce5-f7a4f3f17600,,execute_actions,770;1060
6,send_message,5,,,,,,"Type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate. ",,,,,,,,,,,,,,,ec803b34-3e64-46fa-b778-a73bbd0ae7a8,,execute_actions,770;1480
7,wait_for_response,6,,,,,Result 17,,,,,,,,,,,,,,,,77d7b0fe-75ac-4f49-9d9e-d00a3aca985f,,wait_for_response,830;1900
8,send_message,7,yes y,,has_any_word,Yes,,"That is wonderful, thank you so much! ",,,,,,,,,,,,,,,1fa64852-6002-4abb-9c09-252ef8ec76a8,,execute_actions,100;1800
9,send_message,7,,,,,,"I am sorry I did not understand. Please type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate.",,,,,,,,,,,,,,,0dbf5e4a-f8f2-494e-b439-b24fca7ffbf1,,execute_actions,1440;1780
10,go_to,9,,,,,,7,,,,,,,,,,,,,,,,,,
11,send_message,8,,,,,,Can you please confirm that you are 18 years old or older?,"Yes, I am over 18","No, I am under 18",,,,,,,,,,,,,1f5d5405-c920-47d5-9958-883c7cc360a5,,execute_actions,140;1920
12,wait_for_response,11,,,,,Result 4,,,,,,,,,,,,,,,,3ab2eef0-53d7-42cf-ae0f-7bf81692a1d8,,wait_for_response,120;2120
13,send_message,12,yes y over,,has_any_word,Yes,,Thank you so much for confirming this. You are now ready to begin your MaPaText journey!,,,,,,,,,,,,,,,dfa00ad2-dbd7-4c01-a9ff-a2d19f275cf3,,execute_actions,;2720
14,add_to_group,13,,,,,,in program,,,,,,,,,,,,,,328730ed-02aa-4731-8a7c-350acde7a8f5,6faed9fd-a8d9-4eef-a109-52cd7a589726,,execute_actions,80;3160
15,add_to_group,14,,,,,,consent,,,,,,,,,,,,,,4fba34b6-fba5-4334-9f96-81f3fee6bf60,6faed9fd-a8d9-4eef-a109-52cd7a589726,,execute_actions,80;3160
16,start_new_flow,15,,,,,,PLH - Internal - Empty,,,,,,,,,,,,,,4b369cbf-188c-4a1a-8599-ce726d4bd831,368ba942-d9fa-44ed-9c50-8f436c3b4704,,split_by_subflow,120;3420
17,send_message,12,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,66bfacfb-e56c-47ec-b983-1a70f85ce980,,execute_actions,420;2080
18,go_to,17,,,,,,11,,,,,,,,,,,,,,,,,,
19,send_message,7,exit,,has_any_word,Exit,,"Are you sure you do not want to get these messages? If you do not want to receive any more messages, please type ""STOP MESSAGES."" If you made a mistake, please type ""back"" and choose another option.",,,,,,,,,,,,,,,db8b5db4-de5c-4b95-8e42-dffc81b05a6f,,execute_actions,1030;2100
20,wait_for_response,19,,,,,Result 3,,,,,,,,,,,,,,,,7aee399a-27ca-4683-9d2b-f73708998010,,wait_for_response,1010;2340
21,save_value,20,stop messages,,has_only_phrase,no consent,did not consent,yes,,,,,,,,,,,,,,,418fdde5-552f-4d6e-82fd-088016fee277,,execute_actions,1300;2480
22,start_new_flow,21,,,,,,PLH - Welcome - Entry - No consent - Interview,,,,,,,,,,,,,,bf1cf6b2-97bf-4f5e-abd9-35c2747f9391,17545c54-bc9d-4657-abbc-fbff59bd493a,,split_by_subflow,1300;2620
23,split_by_group,22;22,Complete;Expired,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,7993380f-57a1-4931-8701-a6e3226add8d,,split_by_expression,1175;2760
