row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,start_new_flow,start,,,,,,PLH - Welcome - Initial registration - Media,,,,,,,,,,,,,,8d5d3818-7718-4a82-a12e-07778c6d61bd,af48771d-ecc1-4613-a012-e46db11051db,,split_by_subflow,830;
2,start_new_flow,1,Complete,,,,,PLH - Welcome - Initial registration - Gender,,,,,,,,,,,,,,ac47332f-6ecf-468a-b44c-50402b03d970,2e13dd0b-e02e-4a30-b101-4b4633a937ac,,split_by_subflow,290;180
3,split_by_group,2,Complete,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,68c5be78-aa39-4091-b4a8-d0064fd25ce5,,split_by_expression,125;340
4,send_message,3,ABTest_test-first-person_alternative,,,,,"Thank you! Anytime you need support, just type ""Help"" and I will do my best to help you. ",,,,,,,,,,,,,,,4289d45c-093c-4117-811e-4dc527bf517c,,execute_actions,250;540
5,send_message,3;3,ABTest_test-first-person_Default;,,,,,"Thank you! Anytime you need support, just type ""Help"" and we will do our best to help you. ",,,,,,,,,,,,,,,0f6734db-bf1f-4f22-8d5c-92cba2c4a06c,,execute_actions,;540
6,split_by_group,4;5,,,,,,ABTest_test-personalisation_Default,,,,,,,,,,,,,,d44ae170-6a10-4f54-829b-2dd5bf2c406b,d6dc4326-6b09-420c-8c42-c065338fb779,,split_by_expression,435;960
7,start_new_flow,6,ABTest_test-personalisation_alternative,,,,,PLH - Internal - Empty,,,,,,,,,,,,,,4b369cbf-188c-4a1a-8599-ce726d4bd831,20288912-e7cb-46bc-8905-4c1520c81f40,,split_by_subflow,810;1160
8,start_new_flow,6;6,ABTest_test-personalisation_Default;,,,,,PLH - Welcome - Initial registration - Nickname,,,,,,,,,,,,,,f320923d-275c-45ba-9f38-83dac7cf501d,81d2dab8-efb5-471c-b792-8c53303c1697,,split_by_subflow,310;1160
9,start_new_flow,7;8,Complete;Complete,,,,,PLH - Welcome - Initial registration - Age group for tips,,,,,,,,,,,,,,9b51bb16-8aff-4319-99cf-8de73457913d,564420f0-5d86-4cee-9d55-3e1eb21d98b7,,split_by_subflow,810;1300
10,split_by_group,9,Complete,,,,,ABTest_test-personalisation_Default,,,,,,,,,,,,,,d44ae170-6a10-4f54-829b-2dd5bf2c406b,89d491ca-7322-4e04-8201-2fe406f32446,,split_by_expression,685;1440
11,start_new_flow,10,ABTest_test-personalisation_alternative,,,,,PLH - Internal - Empty,,,,,,,,,,,,,,4b369cbf-188c-4a1a-8599-ce726d4bd831,e5d9d926-76e5-424c-90b3-c3d3ec303931,,split_by_subflow,810;1640
12,start_new_flow,10;10,ABTest_test-personalisation_Default;,,,,,PLH - Welcome - Initial registration - Child nickname,,,,,,,,,,,,,,c3a82457-5766-4278-bced-1e1a0dfc66fe,03ff748d-d855-4499-8f12-96c0a9334fac,,split_by_subflow,560;1640
13,save_value,1;11;12;2;7;8;9,Expired;Expired;Expired;Expired;Expired;Expired;Expired,,,,has expired,welcome_registration,,,,,,,,,,,,,,,f7fc14e7-6e14-4ef0-8f97-886f83405fd8,,execute_actions,1570;540
14,send_message,13,,,,,,It looks like you are busy right now. Please type “GoBack” to receive the most recent messages again.,,,,,,,,,,,,,,,1d18e007-08cd-4c5e-b104-34c83d1e9ea0,,execute_actions,1610;660
