row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,"Walang masamang bata... ang mayroon lamang ay ang mahirap na pag-uugali! Lahat ng bata ay nakakagawa ng hindi mabuting asal o kilos, ngunit ang mga tips na ito ay makakatulong.",,,,,,,,,,,,,,,7a727f77-24df-48a1-968b-910eacdd8f99,,execute_actions,1660;
2,split_by_value,1,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,90d8bec0-3eb6-443e-837e-3673bbe13f26,,split_by_expression,1540;160
3,split_by_value,2,yes,@parent.results.fromwelcome,has_any_word,Yes,,@fields.age_group_for_tips,,,,,,,,,,,,,,,d2a167de-2ae0-4b52-91a5-75518136df63,,split_by_contact_field,1460;360
4,save_value,3,baby,@fields.age_group_for_tips,has_any_word,Baby,chosen difficult age,baby,,,,,,,,,,,,,,,719186c6-6c66-4ca0-a6e2-d01fd3988c91,,execute_actions,40;440
5,save_value,3,teen,@fields.age_group_for_tips,has_any_word,Teen,chosen difficult age,teen,,,,,,,,,,,,,,,7781c8ee-e7ab-4d58-ae43-2faaaf6b0e9a,,execute_actions,2230;560
6,save_value,3,,,,,chosen difficult age,young child,,,,,,,,,,,,,,,4985068d-4000-48b7-a8ec-77576de793b4,,execute_actions,1680;580
7,send_message,2,,,,,,Gusto mo ng tips para sa aling bata?,Sanggol,Musmos na bata,Teenager,,,,,,,,,,,,0f79d79f-f025-42c8-9f31-82a5b6f419a9,,execute_actions,2270;200
8,wait_for_response,7,,,,,Result 13,,,,,,,,,,,,,,,,ce60a796-6755-4fc1-bf4a-48996fb56122,,wait_for_response,1820;340
9,go_to,8,sanggol,,has_any_word,Baby,,4,,,,,,,,,,,,,,,,,,
10,go_to,8,batang anak,,has_any_word,Young,,6,,,,,,,,,,,,,,,,,,
11,go_to,8,teenager teen,,has_any_word,Teen,,5,,,,,,,,,,,,,,,,,,
12,send_message,8,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,015b4698-1660-4f9c-9ca7-2d2bbf461e6f,,execute_actions,2800;220
13,go_to,12,,,,,,7,,,,,,,,,,,,,,,,,,
14,send_message,4,,,,,,"Pakipili ng edad ng iyong anak:
A. Mababa sa 1 buwan
B. 1-2 na buwan
C. 3-5 na buwan
D. 6-9 na buwan
E. 10 na buwan
F. 15-18 na buwan
G. 19-23 na buwan",,,,,,,,,,,,,,,e8466ed2-d3f9-4760-bdc5-cb0a6b339d42,,execute_actions,20;620
15,wait_for_response,14,,,,,AGE BABY,,,,,,,,,,,,,,,,88c5b599-e904-4b4d-a404-aa2cfc418981,,wait_for_response,660;920
