row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Talking about COVID19,,,,,,,,,,,,,,,b8af8656-1a41-4c6e-8627-7cb93fc37d56,,execute_actions,720;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,574f534a-e8c7-4568-88e1-459ffd2a3ce7,,split_by_subflow,720;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,efbee775-6e24-458d-8ce2-0e636c8ceee5,,split_by_contact_field,680;280
4,send_message,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,"Kapag tinanong ka ng iyong mga anak tungkol sa COVID-19, maging handa na makipag-usap. May naririnig na sila. Ang katahimikan at mga sikreto ay hindi pinoprotektahan ang ating mga anak. Ang katapatan at pagiging bukas ang makakatulong sa kanila. Isipin kung hanggang saan na ang kaya nilang maunawaan. Mas kilala mo sila.",,,,,,,,,,,,,,,3efe0ca6-3441-432e-b613-3d64d904c724,,execute_actions,1480;160
5,send_message,4,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,1722b378-fe35-4b37-9e12-ff3a806a8c60,,execute_actions,2260;320
6,wait_for_response,5,,,,,know_more,,,,,,,,,,,,,,,,b47b3ad6-fe64-4fda-81c0-402d02268cc6,,wait_for_response,1500;480
7,split_by_value,6,Oo y o,,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,7003fc7d-3345-43a7-a92f-8a3374223942,,split_by_contact_field,660;560
8,send_message,7,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video upang matulungan kang pag-usapan ang tungkol sa COVID-19 sa iyong mga anak!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Talking_About_Covid19.m4v,,c2cbc321-4230-48f6-9fbe-6c7c36c6ca02,,execute_actions,250;660
9,send_message,7,medium,@fields.type_of_media,has_any_word,Medium,,Narito ang isang audio message upang matulungan kang pag-usapan ang tungkol sa COVID-19 sa iyong mga anak!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Talking_About_Covid19.mp3,,,ece296a5-5d6f-4080-9992-a1ebcf2981d6,,execute_actions,1010;720
10,wait_for_response,8;9,,,,,Result 5,,,,,,,,,,,,,,,,a3fbdd91-8369-4276-9b70-1a62213b9e39,120,wait_for_response,680;900
11,start_new_flow,10;10;7,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,cdf3765a-649c-44ee-9a19-970db996bc3a,,split_by_subflow,1930;720
12,send_message,6,Hindi n h,,has_any_word,No,,"Okay lang 'yan! Maaari mong laging i-type ang ""Help"" kung nais mong matuto nang higit pa tungkol sa kung paano pag-usapan ang tungkol sa COVID-19 sa iyong anak. Makikipag-chat sa iyo mamaya!",,,,,,,,,,,,,,,90e69694-d286-4628-95f4-6abe867f9f75,,execute_actions,3310;720
13,send_message,6,,,,,,Paumanhin hindi ko naintindihan ang ibig mong sabihin.,,,,,,,,,,,,,,,44dcb186-ac0b-4970-9b9f-4e65e7b61d63,,execute_actions,2380;520
14,go_to,13,,,,,,5,,,,,,,,,,,,,,,,,,
15,send_message,11;11,Complete;Expired,,,,,"Narito ang 4 na simpleng steps na maaari mong gawin kapag pinag-uusapan ang tungkol sa COVID-19 sa iyong mga anak:

1. Maging bukas, tapat, at magbigay ng suporta
2. Ok lang na hindi mo alam ang mga sagot
3. Maging bayani at hindi bully
4. Magtapos ng maganda at maayos

I-type ang ""1"" hanggang ""4"" para mas matuto pa tungkol sa bawat tip. I-type ang “H” para itigil ang tip na ito.",,,,,,,,,,,,,,,d0e479ce-1d14-44c0-8f28-cf76cde661be,,execute_actions,1910;880
16,wait_for_response,15,,,,,list_of_tips,,,,,,,,,,,,,,,,a0b6bd5f-f1bf-4109-a8f5-2535fc49ad6e,,wait_for_response,1480;1640
17,send_message,16,n hindi h,,has_any_word,no,,Narito ang isang komiks na nagpapakita kung paano kausapin ang iyong anak tungkol sa COVID-19. ,,,,,,,,,,,,,,,a788ad22-a8c3-4a17-813c-2d5a53286f89,,execute_actions,3210;2740
18,send_message,17,,,,,,"Anak: “Magkakaroon ba ako ng coronavirus?” 

Magulang: “Posibleng magkaroon tayong lahat ng coronavirus. Ngunit ang mga mas bata ay bihirang magkasakit nang malala.”

(1)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/talking_about_covid19_comic_1.png,,,,a788ad22-a8c3-4a17-813c-2d5a53286f89,,execute_actions,3210;2740
19,send_message,18,,,,,,"Anak: “Natatakot ako...” 

Magulang: “Okay lang matakot. Lahat naman tayo ay natatakot tungkol dito, kahit konti. Ngunit andito tayo para isa’t isa at gagawin natin ang ating makakaya na mapanatili nating malusog at ligtas ang ating mga sarili at ang ibang tao.”

(2)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/talking_about_covid19_comic_2.png,,,,a788ad22-a8c3-4a17-813c-2d5a53286f89,,execute_actions,3210;2740
20,send_message,19,,,,,,"Anak: “Paano tayo mananatiling ligtas?” 

Magulang: “Maaari tayong maghugas ng ating kamay nang hanggang 20 segundo. Ugaliin din nating panatilihin ang pisikal na distansya mula sa ibang tao. Kailangan din nating subukan na huwag hawakan ang ating mga mukha hangga’t maaari.” 

Anak, “Sige...”

(3)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/talking_about_covid19_comic_3.png,,,,a788ad22-a8c3-4a17-813c-2d5a53286f89,,execute_actions,3210;2740
21,send_message,20,,,,,,"Anak: “Anong mangyayari sa katawan mo kung magkaroon ka ng coronavirus?”

 Magulang: “Sa totoo lang, hindi ko alam lahat ng detalye. Paano kung sabay nating alamin sa UNICEF website?”

(4)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/talking_about_covid19_comic_4.png,,,,a788ad22-a8c3-4a17-813c-2d5a53286f89,,execute_actions,3210;2740
22,split_by_group,21,,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,eb4149fd-30aa-4c6b-aff6-3de76bc40d1d,,split_by_expression,2835;3920
23,split_by_group,22,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,9f1d129a-15e4-4e90-9d2e-657110de2862,,split_by_expression,3085;4320
24,send_message,23,ABTest_test-gamification_alternative,,,,,"Magaling at nakapagdagdag ka ng isa pang antas sa iyong Masayang Tahanan! Sa mga susunod na araw, subukan mong pag-usapan ang COVID-19 kasama ng iyong anak sa paraang nagpapakita ng suporta. Dahil dito, mararamdaman nilang sila’y minamahal at ligtas. Ikaw ang bayani ng kuwentong ito!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,57493ca3-e7db-4c37-a135-a8f3eddd30b4,,execute_actions,3210;4520
25,send_message,23;23,ABTest_test-gamification_Default;,,,,,"Magaling! Nagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong pag-usapan ang COVID-19 kasama ang iyong anak sa paraang nagpapakita ng suporta. Dahil dito, mararamdaman nilang sila’y minamahal at ligtas. Ikaw ang bayani ng kuwentong ito!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,c9f8c83e-ca86-4884-af79-cc61682147aa,,execute_actions,2960;4520
26,split_by_group,22;22,ABTest_test-gamification_Default;,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,e600eba8-5df2-4f7b-b1fc-3891fdc639b8,,split_by_expression,2585;4120
27,send_message,26,ABTest_test-gamification_alternative,,,,,"Magaling at nakapagdagdag ka ng isa pang antas sa iyong Masayang Tahanan! Sa mga susunod na araw, subukan mong pag-usapan ang COVID-19 kasama ng iyong anak sa paraang nagpapakita ng suporta. Dahil dito, mararamdaman nilang sila’y minamahal at ligtas. Ikaw ang bayani ng kuwentong ito!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,cf906aa7-c78a-45ea-bf25-3dfee4567cd4,,execute_actions,2710;4520
28,send_message,26;26,ABTest_test-gamification_Default;,,,,,"Magaling! Nagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong pag-usapan ang COVID-19 kasama ang iyong anak sa paraang nagpapakita ng suporta. Dahil dito, mararamdaman nilang sila’y minamahal at ligtas. Ikaw ang bayani ng kuwentong ito!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,676828b9-2244-4d88-ad76-3ae1e6668338,,execute_actions,2460;4520
29,save_value,24;25;27;28,,,,,current type assessed,tip,,,,,,,,,,,,,,,b4762178-471a-43ff-a167-003cdba2e52d,,execute_actions,1170;3820
30,save_value,29,,,,,current activity,covid,,,,,,,,,,,,,,,b4762178-471a-43ff-a167-003cdba2e52d,,execute_actions,1170;3820
31,start_new_flow,30,,,,,,PLH - Feedback - Feedback for content,,,,,,,,,,,,,,2d088e4d-2c71-4480-9cac-0403ba3c5461,bbaa1247-c4d6-45da-96e8-ceb634226f0f,,split_by_subflow,1440;4620
32,split_by_group,31;31,Complete;Expired,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,0dbb2d36-63eb-4001-950c-97549f82a2ac,,split_by_expression,1315;4840
33,send_message,32,ABTest_test-first-person_alternative,,,,,Naiintindihan ko na ang mga panahong ito ay talagang mahirap.  Paki-type ang “Help” kung gusto mo ng dagdag na suporta o gabay. Usap tayo mamaya!,,,,,,,,,,,,,,,caa6f7c4-9806-4831-b95c-d42668e464a6,,execute_actions,1440;5040
34,send_message,32;32,ABTest_test-first-person_Default;,,,,,Naiintindihan naming mahirap talaga ang panahong ito. Paki-type ang “Help” kung gusto mo ng dagdag na suporta o gabay. Usap tayo mamaya!,,,,,,,,,,,,,,,e8ccf4d4-49b2-4440-b425-0f8dd9fa9615,,execute_actions,1190;5040
35,split_by_value,16,1,,has_number_eq,1,,@fields.child_nickname,,,,,,,,,,,,,,,7299e883-8958-423f-9368-622e8554e8aa,,split_by_expression,125;1040
36,send_message,35,,@fields.child_nickname,has_text,child_nickname,,"Step 1. Maging bukas, tapat, at magbigay ng suporta
Hayaan si @fields.child_nickname na sabihin ang kanyang iniisip. Tanungin sila ng mga tanong na hindi lamang masasagot ng “oo” o “hindi.” Tuklasin ang lawak ng kanilang kaalaman. ",,,,,,,,,,,,,,,b104d65a-0c7d-4996-adbb-0c1a55329d9f,,execute_actions,;1240
37,send_message,35,,,,,,"Step 1. Maging bukas, tapat, at magbigay ng suporta
Hayaan ang iyong anak na magsalita. Tanungin sila ng mga tanong na hindi lamang masasagot ng “oo” o “hindi.” Tuklasin ang lawak ng kanilang kaalaman. ",,,,,,,,,,,,,,,dc63d143-b94b-4513-8ebf-6d066ff1b83c,,execute_actions,250;1240
38,split_by_value,36;37,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,eefda5a7-d3c7-48d1-9c8d-4aa4627959b6,,split_by_expression,395;1440
39,send_message,38,,@fields.child_nickname,has_text,child_nickname,,"Laging sagutin nang tapat ang kanilang mga tanong. Isipin kung ilang taon si @fields.child_nickname at ang kaya na niyang maintindihan.
Maaaring takot o naguguluhan si @fields.child_nickname. Bigyan siya ng espasyo para masabi niya ang kanyang nararamdaman at ipaalam sa kanya na ikaw ay nariyan para sa kanya.",,,,,,,,,,,,,,,3305f1f0-b3a5-4049-a529-57383af9fe8a,,execute_actions,270;1640
40,send_message,38,,,,,,"Palaging sagutin ang kanilang mga katanungan ng totoo. Isipin kung gaano katanda ang iyong anak at kung gaano kadami ang kanilang naiintindihan.
Maaaring takot o naguguluhan ang iyong anak. Bigyan siya ng espasyo para masabi niya ang kanyang nararamdaman at ipaalam sa kanya na ikaw ay nariyan para sa kanya.",,,,,,,,,,,,,,,8c519fd6-893b-45c3-8fc4-22a4da269b31,,execute_actions,520;1640
41,split_by_value,16,2,,has_number_eq,2,,@fields.child_nickname,,,,,,,,,,,,,,,ec0f58b0-ddef-44d4-94df-c89ebc2fd71c,,split_by_expression,885;2040
42,send_message,41,,@fields.child_nickname,has_text,child_nickname,,"Step 2. Ok lang na hindi alam ang mga sagot.

Ok lang sabihing “Hindi natin alam, pero nagsusumikap tayong alamin ito; o hindi natin alam, ‘pero pinag-iisipan natin’.”  Gamitin ito bilang oportunidad para may bagong matutunan kasama ni @fields.child_nickname. Ang mga website ng WHO at UNICEF ay mahusay na paraan para matuto.",,,,,,,,,,,,,,,46354184-137c-44ad-a7a0-854deb2cf36e,,execute_actions,760;2240
43,send_message,41,,,,,,"Step 2. Ok lang na hindi alam ang mga sagot.

Ok lang sabihing “Hindi natin alam, pero nagsusumikap tayong alamin ito; o hindi natin alam, ‘pero pinag-iisipan natin’.”  Gamitin ito bilang oportunidad para may bagong matutunan kasama ng iyong anak. Magandang magsimula sa mga website ng WHO at UNICEF para matuto.",,,,,,,,,,,,,,,b1d7b994-364d-4a13-8d4b-ebc41ef5c7e7,,execute_actions,1010;2240
44,send_message,42;43,,,,,,"WHO: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public

UNICEF: https://www.unicef.org/coronavirus/covid-19 ",,,,,,,,,,,,,,,b5e821b7-3dce-4bfc-8259-d861bf22ddc7,,execute_actions,1010;2760
45,send_message,16,3,,has_number_eq,3,,"Step 3. Maging bayani at hindi bully
Ipaliwanag na ang COVID-19 ay walang kinalaman sa hitsura ng isang tao, saan sila nanggaling, o kung anong wika ang kanilang sinasalita. ",,,,,,,,,,,,,,,173346a0-78de-4098-82ab-25fb5cfb4162,,execute_actions,1480;1980
46,split_by_value,45,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,7e4edf85-5fac-42c4-8187-3926ba9be64b,,split_by_expression,1645;2400
