row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,6cf6a1fd-a960-4717-9423-5a44fe6c4297,,split_by_expression,1705;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nakausap mo na ba ang inyong anak na bata o teenager tungkol sa COVID-19?,Oo,Hindi,,,,,,,,,,,,,156ec9bd-560d-4b7a-8e1d-a139de5a3e99,,execute_actions,1580;200
3,send_message,1,,,,,,Magandang araw! Nakausap mo na ba ang inyong anak o teenager tungkol sa COVID-19?,Oo,Hindi,,,,,,,,,,,,,aedba44b-9b37-4f7c-9a85-96710e39c4fa,,execute_actions,1830;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,5a2cfcf7-0309-4e8e-a91e-f1982a5f0eca,,wait_for_response,1830;400
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,c24cf7bd-dfe5-4688-888e-04b372d2dc41,,execute_actions,620;340
6,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,b30fbc78-e501-4a47-b875-02372abe77c7,,execute_actions,1560;740
7,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,52e26108-3cf5-46bc-95d1-052e056b2497,,execute_actions,2900;420
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,52e26108-3cf5-46bc-95d1-052e056b2497,,execute_actions,2900;420
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,06c272a2-650f-4a5d-bf06-d4472309541e,,split_by_expression,475;440
11,send_message,10,,@fields.user_name,has_text,user_name,,"Magaling @fields.user_name, dahil nakahanap ka ng oras para dito! Kumusta ang kinalabasan nito?",Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,6d553079-484b-4057-911b-46c35d7f76bd,,execute_actions,350;640
12,send_message,10,,,,,,Mahusay dahil nakahanap ka ng oras para dito! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,1b4ca529-2a56-4521-b2c1-3887481cdad9,,execute_actions,600;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,7f651f8f-2e37-4404-b312-de3e4104b4ef,,wait_for_response,330;880
14,split_by_group,13,mahusay,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,999fe4d2-e8eb-4e66-b436-0c3a09694f60,,split_by_expression,125;1020
15,send_message,14,ABTest_test-first-person_alternative,,,,,Natutuwa akong marinig na naging maayos ito. Ang pakikipag-usap sa inyong mga anak tungkol sa COVID-19 ay makakatulong upang panatilihin silang ligtas!,,,,,,,,,,,,,,,fce5fba5-5ac1-4051-a251-b309e399ee60,,execute_actions,250;1220
16,send_message,14;14,ABTest_test-first-person_Default;,,,,,Masaya kaming marinig na maganda ang kinalabasan nito! Ang pakikipag-usap sa inyong mga anak tungkol sa COVID-19 ay makakatulong na panatilihin silang ligtas!,,,,,,,,,,,,,,,eb595a25-efbf-4bd2-badc-561f2d8946d8,,execute_actions,;1220
17,send_message,13,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,6451603d-457c-4505-a27a-92a831faa57d,,execute_actions,1130;1000
18,go_to,17,,,,,,10,,,,,,,,,,,,,,,,,,
