row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.from_theme,,,,,,,,,,,,,,,99056b74-8b79-437d-93d3-63274dd76733,,split_by_contact_field,260;
2,split_by_group,1,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,c8d00ca6-4250-4c67-a23f-473b6a0a8b11,,split_by_expression,1005;160
3,send_message,2,ABTest_test-first-person_alternative,,,,,Maraming pamilya ang pinagdadaanan ang pighati dulot ng COVID-19. Narito kami para suportahan ka at ang inyong pamilya sa mahirap na panahong ito.,,,,,,,,,,,,,,,66ec2bca-f368-4fd1-9b08-b4c3fbe1bb2e,,execute_actions,1130;360
4,send_message,2;2,ABTest_test-first-person_Default;,,,,,Maraming pamilya ang pinagdadaanan ang pighati dulot ng COVID-19. Narito kami para suportahan ka at ang inyong pamilya sa mahirap na panahong ito.,,,,,,,,,,,,,,,211f5cc2-5a65-403c-ac28-9c5d0929912d,,execute_actions,880;360
5,send_message,1,yes,@fields.from_theme,has_any_word,Yes,,"Narito ang 10 tips kung paano makayanan ang pagluluksa bilang isang magulang/tagapag-alaga:

1. Ang pag-aalaga sa iyong sarili ay nakakatulong sa inyong anak
2. Maging tapat at sabihin sa inyong mga anak
3. Ang mga bata ay nagluluksa sa iba’t-ibang paraan 
4. Maging mabait sa iyong sarili
5. Mga praktikal na bagay na maaari mong kailanganin
6. Maghanap ng grupo o tao na makakausap
7. Pagluluksa sa inyong sariling paraan
8. Ang pagrerelax ay nakakatulong sa pagkaya
9. Pagbibigay ng pagkakataon para magpaalam
10. One-on-one time kasama ang inyong anak

I-type ang ""1"" hanggang ""10"" para mas matuto pa tungkol sa mga tips na ito. I-type ang “H” para itigil ang tip na ito.",,,,,,,,,,,,,,,2e77e34c-31e2-4387-a9e2-fd76609e63dd,,execute_actions,400;1420
6,send_message,3;4,,,,,,Gusto mo ba ng ilang tips kung paano makayanan ang pagluluksa dulot ng COVID-19?,Oo,Hindi,,,,,,,,,,,,,e30abf86-7dc9-4e01-b8b0-e860266afd30,,execute_actions,1150;540
7,wait_for_response,6,,,,,know_more,,,,,,,,,,,,,,,,a36e7873-48a7-4a69-9fdc-ed0c0c9002c3,900,wait_for_response,380;700
8,go_to,7,Oo y o,,has_any_word,Yes,,5,,,,,,,,,,,,,,,,,,
9,send_message,7,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,97c0fe41-2ec4-42b6-a0c4-f2e086a4e69b,,execute_actions,1230;700
10,go_to,9,,,,,,6,,,,,,,,,,,,,,,,,,
11,send_message,7;7,Hindi n h;No Response,,has_any_word;,No;,,"Okay lang ‘yan! Maaari mong laging i-type ang ""Help"" kung nais mong matuto nang higit pa tungkol sa paano makayanan ang pagkawala ng mahal sa buhay dulot ng COVID-19.",,,,,,,,,,,,,,,058cc6ae-5758-482c-969a-108f98498594,,execute_actions,1290;1000
12,send_message,11,,,,,,"Kung may iba ka pang tanong tungkol sa COVID-19, maaari mong laging i-check ang inyong lokal na COVID-19 hotline:
Local Covid-19 Hotline - Department of Health (DOH): 02-894-COVID (02-894-26843) and 1555 (for mobile subscribers)

General Covid-19 Support - Department of Health (DOH) website:https://doh.gov.ph//",,,,,,,,,,,,,,,503895fa-4c7a-4110-956b-a5012ff5813b,,execute_actions,1310;1160
13,wait_for_response,5,,,,,list_of_tips,,,,,,,,,,,,,,,,9e055372-a90e-4e37-8adf-66c5dca307a3,,wait_for_response,280;2060
14,split_by_value,13,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,8af1f812-1de2-4ab4-b859-7c693f9ed14a,,split_by_expression,1675;2520
15,send_message,14,,@fields.user_name,has_text,user_name,,Mahusay @fields.user_name! Dapat mong ipagmalaki ang iyong sarili sa paghahanap mo ng mga paraan upang makakuha ng tulong para sa iyong sarili at sa iyong pamilya.,,,,,,,,,,,,,,,764c135a-f93d-4648-8d52-5ff43740828e,,execute_actions,1550;2720
16,send_message,14,,,,,,Mahusay! Dapat mong ipagmalaki ang iyong sarili sa paghahanap mo ng mga paraan upang makakuha ng tulong para sa inyong sarili at sa iyong pamilya.,,,,,,,,,,,,,,,b7aad81d-1a5c-479d-99c3-83862afa926b,,execute_actions,1800;2720
17,send_message,15;16,,,,,,"Kung may iba ka pang tanong tungkol sa COVID-19, maaari mong laging i-check ang inyong lokal na COVID-19 hotline:
Local Covid-19 Hotline - Department of Health (DOH): 02-894-COVID (02-894-26843) and 1555 (for mobile subscribers)

General Covid-19 Support - Department of Health (DOH) website:https://doh.gov.ph//",,,,,,,,,,,,,,,f41e2553-1495-4f9b-a431-cb5e659ca14e,,execute_actions,1800;2880
18,save_value,17,,,,,current type assessed,tip,,,,,,,,,,,,,,,5cf476b8-2ac5-4930-99fb-4091b9c96c36,,execute_actions,1820;3080
19,save_value,18,,,,,current activity,covid_bereavement,,,,,,,,,,,,,,,5cf476b8-2ac5-4930-99fb-4091b9c96c36,,execute_actions,1820;3080
20,start_new_flow,19,,,,,,PLH - Feedback - Feedback for content,,,,,,,,,,,,,,2d088e4d-2c71-4480-9cac-0403ba3c5461,cd3bc521-f1d9-4bb0-af12-7de7140cc406,,split_by_subflow,2110;3260
21,split_by_value,20,Complete,,,,,@fields.user_name,,,,,,,,,,,,,,,43be8f01-7eff-42a4-aa54-011062d4b3f0,,split_by_expression,1985;3400
22,send_message,21,,@fields.user_name,has_text,user_name,,Usap tayo mamaya @fields.user_name!,,,,,,,,,,,,,,,c24a31a2-742a-49b0-8b57-7d8a6efbcbcf,,execute_actions,1860;3600
23,send_message,21,,,,,,Usap tayo mamaya!,,,,,,,,,,,,,,,f4703f25-3625-4939-9178-cd899fa0e629,,execute_actions,2110;3600
24,send_message,13,1,,has_number_eq,1,,"1. Ang pag-aalaga sa iyong sarili ay nakakatulong sa inyong anak

Bagaman maituturing na ang pinakaimportanteng bagay ay ang siguraduhing mabuti ang kalagayan ng iyong mga anak, kapag inaalagaan mo ang inyong sarili, tinutulungan mo rin ang inyong anak.",,,,,,,,,,,,,,,9d83f049-8e42-4d49-a5a2-d3baa9f6e8cc,,execute_actions,;2220
