row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Responding to crises,,,,,,,,,,,,,,,39897b4b-8587-4bf7-843b-1490c33e6f6f,,execute_actions,100;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,79370b70-f68c-4e1b-8edb-db66878c2718,,split_by_subflow,100;140
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,10ab63be-52b6-4e31-b78e-2587a67e18ba,,split_by_contact_field,100;280
4,send_message,3,,,,,,"Kapag nagbabahagi ang ating mga anak ng isang bagay na nakakabahala, kailangan nating alalahaning manatiling kalmado, makinig, at maging bukas.",,,,,,,,,,,,,,,fa19c7ff-a7e3-445f-bab6-5e46e4d9e9ad,,execute_actions,600;180
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,f9da804e-7729-4c8d-9202-f463bf31558b,,split_by_contact_field,200;460
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video kung paano mo masusuportahan ang iyong teenager kapag nakakaranas sila ng mahihirap na sitwasyon.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Crisis_Support.m4v,,d141509f-2a63-4746-a990-d67b88cad7f9,,execute_actions,;560
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Pakinggan ang mensaheng ito kung paano mo masusuportahan ang iyong teenager kapag nakakaranas sila ng mahihirap na sitwasyon.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Crisis_Support.mp3,,,91517d5a-de7f-4b91-bb3b-20981e903efd,,execute_actions,240;580
8,wait_for_response,6;7,,,,,Result 3,,,,,,,,,,,,,,,,0b4001d0-ecc5-410a-a628-c5a09eb94e84,120,wait_for_response,80;820
9,send_message,5;8;8,;;No Response,,,,,"Narito ang ilang mga bagay na maaari mong gawin kapag nagbahagi sa iyo ang iyong teenager ng isang mahirap na sitwasyon:
Huminga nang malalim bago tumugon. 
Makinig sa kung anong gustong sabihin ng iyong anak. Pansinin kung ano ang kanilang nararamdaman.
Pansinin ang iyong nararamdaman. Tanungin ang iyong sarili, ""Ano ang kailangan ng aking anak ngayon?"" 
Bigyan ng katiyakan ang iyong anak na andiyan ka para sa kanila. 
Maaari mong atupagin ang mga konsekwensya mamaya pero sa ngayon, kailangan ka ng iyong anak.
Pag-usapan ang mga posibleng solusyon o mga susunod na aksyong gagawin. 
Paalalahanan muli ang iyong anak na mahal mo siya at pasalamatan siya sa pagsasabi nito sa iyo. ",,,,,,,,,,,,,,,ff921a5d-f975-440b-900b-d5bc09c094b8,,execute_actions,380;900
10,send_message,9,,,,,,Narito ang isang komiks na nagpapakita kung paano mo masusuportahan ang iyong anak kapag may problema.,,,,,,,,,,,,,,,b4983e85-4122-48a4-b463-bce37197ca16,,execute_actions,340;1400
11,send_message,10,,,,,,"Magulang: “Anong problema, mahal ko? Halika at umupo ka sa tabi ko at sabihin mo sa akin kung anong nangyari.” 

Anak: “Ang taong ‘yon... hinawakan niya ako..”

(1)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/disclosure_of_difficult_things_comic_1.png,,,,b4983e85-4122-48a4-b463-bce37197ca16,,execute_actions,340;1400
12,send_message,11,,,,,,"Magulang: “Sige lang... Nakikinig ako.” 

Anak: “... pinigilan niya ako... sabi sa akin mapapahamak daw ako kapag sinabi ko kahit kanino...”

(2)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/disclosure_of_difficult_things_comic_2.png,,,,b4983e85-4122-48a4-b463-bce37197ca16,,execute_actions,340;1400
13,send_message,12,,,,,,"Magulang: “Naniniwala ako sa iyo. Hindi ka mapapahamak. Hindi mo kasalanan iyon. Ito’y isang malaking bagay at hahanap tayo ng paraan para makuha mo ang tulong na kailangan mo. Saan kaya tayo pupunta para humingi ng tulong...?”

Anak: “Sa clinic? Pero pwede mo ba akong samahan?”

(3)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/disclosure_of_difficult_things_comic_3.png,,,,b4983e85-4122-48a4-b463-bce37197ca16,,execute_actions,340;1400
14,send_message,13,,,,,,"Magulang: “Oo, alam nila kung ano ang gagawin. Siyempre naman, sasamahan kita. Tandaan mo, hindi mo ito kasalanan. Mahal kita at malalampasan natin ito.” 

Anak: “Maraming salamat.”

(4)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/disclosure_of_difficult_things_comic_4.png,,,,b4983e85-4122-48a4-b463-bce37197ca16,,execute_actions,340;1400
15,send_message,14,,,,,,Naiintindihan kong maaaring napakahirap nito. Paki-type ang “Help” kung gusto mo ng dagdag na suporta o gabay.,,,,,,,,,,,,,,,4f31a4ea-7961-41bc-85ef-e3a21441b6c9,,execute_actions,760;1140
