row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Coping with crying,,,,,,,,,,,,,,,3ff73fdc-75fe-46dd-a43d-38237749d805,,execute_actions,890;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,3b5d0829-4a64-4e4e-9eca-b6a16cbbf2fc,,split_by_subflow,1090;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,6ae0b9a7-b4a6-4be2-98df-ef5d1449e0d4,,split_by_contact_field,560;180
4,split_by_value,3,,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,e3f0149c-f39e-4dc1-939b-ac6bfe9d7771,,split_by_expression,1690;340
5,send_message,4,man,@fields.gender_personalisation,has_any_word,man,,"Ang tunog ng umiiyak na sanggol ay maaaring nakaka-stress, lalo na para sa isang ama. Natural lamang na gusto mong patigilin ito. Maaari mo ring isipin na hindi ka isang mabuting magulang o ang iyong sanggol ay umiiyak para lamang inisin ka. Ngunit lahat ng sanggol ay umiiyak. Isa ito sa mga pangunahing paraan para masabi sa iyo ng isang sanggol na may kailangan siya.",,,,,,,,,,,,,,,2425b232-f8b6-4a1b-b1f9-850c719e1530,,execute_actions,1440;540
6,send_message,4,woman,@fields.gender_personalisation,has_any_word,woman,,"Ang tunog ng umiiyak na sanggol ay maaaring nakaka-stress, lalo na para sa isang ina. Natural lamang na gusto mong patigilin ito. Maaari mo ring isipin na hindi ka isang mabuting magulang o ang iyong sanggol ay umiiyak para lamang inisin ka. Ngunit lahat ng sanggol ay umiiyak. Isa ito sa mga pangunahing paraan para masabi sa iyo ng isang sanggol na may kailangan siya.",,,,,,,,,,,,,,,d6cf0229-4eaf-456d-b069-24191cfb8fb9,,execute_actions,1690;540
7,send_message,4,,,,,,"Ang tunog ng umiiyak na sanggol ay maaaring nakaka-stress, lalo na para sa isang magulang. Natural lamang na gusto mong patigilin ito. Maaari mo ring isipin na hindi ka isang mabuting magulang o ang iyong sanggol ay umiiyak para lamang inisin ka. Ngunit lahat ng sanggol ay umiiyak. Isa ito sa mga pangunahing paraan para masabi sa iyo ng isang sanggol na may kailangan siya.",,,,,,,,,,,,,,,02b91049-4b38-407d-bf0c-36dbbdfd066b,,execute_actions,1940;540
8,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,6b68ab9f-09a1-43ec-a66a-dffc0e2206a9,,split_by_contact_field,540;1240
9,split_by_value,8,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,06fca93b-fbfd-428a-8ebd-2eb11dfc5d7b,,split_by_expression,765;1440
10,send_message,9,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video na maaaring makatulong sa iyo kapag umiiyak si @fields.child_nickname.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Crying.m4v,,dcb35e4e-1bf8-42c7-85e4-5484fb392fa7,,execute_actions,640;1840
