row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Giving emotional support,,,,,,,,,,,,,,,9c861cd2-36a4-4bc4-9a60-dbe91d223550,,execute_actions,740;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,3f69d253-0706-48b9-9421-9dcc15b36629,,split_by_subflow,430;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,f9f284c5-10f8-4b00-9323-e56ddb8cea6f,,split_by_contact_field,410;280
4,send_message,3,,,,,,Maging bukas sa iyong mga anak. Sila ay nakakaranas din ng stress – minsan sa mga bagay na hindi pareho ng sa iyo. Hayaan silang ipahayag ang kanilang mga nararamdaman at tanggapin ang kanilang mga damdamin. Subukang pakinggan sila at pag-isipan kung ano ang kanilang nararamdaman.,,,,,,,,,,,,,,,62cc96ee-f8af-469c-8384-8f953b716263,,execute_actions,3290;520
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,26e59fd9-096c-40ba-90b7-7024526f3774,,split_by_contact_field,370;4560
6,split_by_value,5,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,ff82158c-66d1-48f0-a60e-0a01d8cbc873,,split_by_expression,145;4920
7,send_message,6,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video na maaaring makatulong sa iyong turuan si @fields.child_nickname paano pangasiwaan ang kanilang mga emosyon.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Emotional_Support.m4v,,5b05753a-2042-4cb2-bcf1-6f3b011da1f8,,execute_actions,20;5120
8,send_message,6,,,,,,Narito ang isang video na maaaring makatulong sa iyong turuan ang iyong anak paano pangasiwaan ang kanilang mga emosyon.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Emotional_Support.m4v,,010861b4-355f-4dcb-b491-34635f24ee18,,execute_actions,270;5120
9,split_by_value,5,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,3c47e2d3-34f9-4a33-8d84-13159949c3ff,,split_by_expression,945;4700
10,send_message,9,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang audio na mensahe na maaaring makatulong sa iyong turuan si @fields.child_nickname paano pangasiwaan ang kanilang mga emosyon.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Emotional_Support.mp3,,,dbf71468-9d31-408e-a078-b6fc46e8b672,,execute_actions,820;4900
11,send_message,9,,,,,,Narito ang isang audio na mensahe na maaaring makatulong sa iyong turuan ang iyong anak kung paano pangasiwaan ang kanilang mga emosyon.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Emotional_Support.mp3,,,937f9012-5ddb-4f10-83ec-1b7e84973ad3,,execute_actions,1070;4900
12,wait_for_response,10;11;7;8,,,,,Result 4,,,,,,,,,,,,,,,,f67f3046-c5a9-46fb-b092-3e4e84748ebf,60,wait_for_response,3370;5260
13,start_new_flow,12;12;5,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,1ae39602-45c0-40ae-8a47-1892d059801a,,split_by_subflow,1150;5680
14,send_message,4,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,3d4ee707-0323-40bb-afd0-436ec1285b73,,execute_actions,3290;760
15,wait_for_response,14,,,,,Result 12,,,,,,,,,,,,,,,,c0524bb8-5de7-4051-a9b9-70b3bacacf38,3600,wait_for_response,3290;4500
16,go_to,15,y Oo o,,has_any_word,Y,,5,,,,,,,,,,,,,,,,,,
17,send_message,15,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,2e134324-d297-4e1c-a012-c61e16dfc000,,execute_actions,4270;4480
18,go_to,17,,,,,,14,,,,,,,,,,,,,,,,,,
19,send_message,15;15,Hindi n h;No Response,,has_any_word;,No;,,"Okay lang 'yan! Puwede mong laging i-type ang ""Help"" kung gusto mong makatanggap ng mas maraming tip tungkol sa kung paano pangasiwaan ang pag-uugali ng iyong anak.",,,,,,,,,,,,,,,72967bb6-b7e5-407e-8edd-4d1f1e202e6e,,execute_actions,4290;5140
20,send_message,13;13,Complete;Expired,,,,,"Narito ang ilang tip sa kung paano tulungan ang iyong mga anak na pangasiwaan ang kanilang mga emosyon:

1. Maging bukas sa iyong anak
2. Ibahagi ang iyong mga nararamdaman
3. Tulungan ang iyong anak na pag-usapan ang damdamin
4. Pag-uusap tungkol sa mga mahihirap na emosyon
5. Pansinin ang mga positibong emosyon
6. Ipakita sa iyong anak na ikaw ay nagmamalasakit

Para mas matuto pa tungkol sa mga ito, i-type ang ""1"" hanggang ""6"". Maaari mo ring i-type ang ""H"" upang ihinto ang tip na ito.",,,,,,,,,,,,,,,1ffb85bd-9326-478d-ba27-51524b15e821,,execute_actions,1440;5820
21,wait_for_response,20,,,,,list_of_tips,,,,,,,,,,,,,,,,ccb93138-3afe-48f2-8e34-f7846afcc524,,wait_for_response,1440;6240
22,send_message,21,1,,has_number_eq,1,,"1. Maging bukas sa iyong anak

Ikaw ang lalapitan ng iyong anak para sa suporta at kapanatagan. Makinig sa iyong mga anak kapag sila ay nagkukuwento ng kanilang nararamdaman. Tanggapin ang kanilang nararamdaman at damayan mo sila.",,,,,,,,,,,,,,,017fb8bc-3ea2-439d-9f32-3beab5e1483e,,execute_actions,;6440
