row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Ignoring demanding behaviours,,,,,,,,,,,,,,,ad3c125d-c613-4286-9505-f07f8a9d0499,,execute_actions,2250;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,3eeceddc-9308-4fd1-8bdf-9841ef6c923e,,split_by_subflow,2250;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.user_name,,,,,,,,,,,,,,,5a790949-aa42-4a95-a161-a6986d874e64,,split_by_expression,1605;340
4,split_by_value,3,,@fields.user_name,has_text,user_name,,@fields.gender_personalisation,,,,,,,,,,,,,,,4a410d4e-1e84-4173-931b-7edbf9279026,,split_by_expression,1230;540
5,send_message,4,man,@fields.gender_personalisation,has_any_word,man,,Magandang araw @fields.user_name! Maraming ama ang nahihirapan kapag ang mga anak nila ay nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,7bdfbacb-69bd-4ed2-adfd-677f5ab86952,,execute_actions,980;940
6,send_message,4,woman,@fields.gender_personalisation,has_any_word,woman,,Magandang araw @fields.user_name! Maraming ina ang nahihirapan kapag ang mga anak nila ay may nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,8b8d3264-fecb-4a4e-b222-1f972191b236,,execute_actions,1230;940
7,send_message,4,,,,,,Magandang araw @fields.user_name! Maraming magulang ang nahihirapan kapag ang mga anak nila ay may nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,c0603fdd-2022-4e2e-bf7b-dac620650f57,,execute_actions,1480;940
8,split_by_value,3,,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,982ecd70-258d-451f-9276-5d1d440d700c,,split_by_expression,1980;740
9,send_message,8,man,@fields.gender_personalisation,has_any_word,man,,Magandang araw! Maraming ama ang nahihirapan kapag ang mga anak nila ay nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,b47e6020-defa-44ef-80e8-c45fcba3da39,,execute_actions,1730;940
10,send_message,8,woman,@fields.gender_personalisation,has_any_word,woman,,Magandang araw! Maraming ina ang nahihirapan kapag ang mga anak nila ay may nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,a19c8af7-1af0-496a-b645-3a097b9cbc69,,execute_actions,1980;940
11,send_message,8,,,,,,Magandang araw! Maraming magulang ang nahihirapan kapag ang mga anak nila ay may nag-aalboroto at iba pang mapagpumilit na kilos. Ang tip sa araw na ito ay tungkol sa kung paano ito mapapangasiwaan nang maayos.,,,,,,,,,,,,,,,8e9d0467-393e-49b6-b8cc-ca933653494b,,execute_actions,2230;940
12,split_by_value,10;11;5;6;7;9,,,,,,@fields.toolkit,,,,,,,,,,,,,,,d3804ecc-e8a7-4cd9-8213-500a4532689b,,split_by_contact_field,2330;1200
13,split_by_group,12,@results.skill,@fields.toolkit,has_phrase,already completed,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,dbe97fea-a960-48af-9d63-74d38b03ba4f,,split_by_expression,555;1320
14,send_message,13,ABTest_test-first-person_alternative,,,,,Alam kong nakuha mo na ang tip na ito (mahusay!). Gusto mo bang balikan at aralin itong muli?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,4d41eca3-f322-46a2-9ab8-b576c905263f,,execute_actions,680;1520
15,send_message,13;13,ABTest_test-first-person_Default;,,,,,Alam naming natanggap mo na ang tip na ito (mahusay!). Gusto mo bang balikan at aralin itong muli?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,140c6cf7-7a64-4020-a48e-0d679be5e847,,execute_actions,430;1520
16,send_message,12,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,5aadd784-13c3-4c55-8376-8d089507f123,,execute_actions,2290;1520
17,wait_for_response,14;15;16,,,,,know_more,,,,,,,,,,,,,,,,923faecc-9177-415c-b4ba-0ad312daae9e,,wait_for_response,2230;1700
18,save_value,17,Oo y o,,has_any_word,Yes,from theme,yes,,,,,,,,,,,,,,,244322f5-0b5e-404f-99cf-4245203f5efd,,execute_actions,740;2120
19,save_value,18,,,,,last interaction,@(now()),,,,,,,,,,,,,,,244322f5-0b5e-404f-99cf-4245203f5efd,,execute_actions,740;2120
20,start_new_flow,19,,,,,,PLH - Content - Positive - Behave - Ignore,,,,,,,,,,,,,,bf2d6233-394a-4416-b3a4-0beb60fc56b5,c5106c9c-bf10-42db-9252-c5ec0f6d2f9d,,split_by_subflow,740;2380
21,save_value,20,Complete,,,,from theme,no,,,,,,,,,,,,,,,641aa344-6a14-4d2d-97ca-6f589cd69fde,,execute_actions,780;2740
22,split_by_value,21,,,,,,@fields.user_name,,,,,,,,,,,,,,,a2ff44f5-c5ee-4ced-bdf7-7fc6541cc07a,,split_by_expression,125;2520
23,send_message,22,,@fields.user_name,has_text,user_name,,Tandaan na maaari mo ring baguhin ang uri ng mensahe na iyong natatanggap para sa mas matanda o mas batang anak. Piliin lamang ang “Tech Support”.  Usap tayo mamaya @fields.user_name!,,,,,,,,,,,,,,,e0f1c811-8e16-4577-b039-08900ce54573,,execute_actions,;2720
24,send_message,22,,,,,,Tandaan na maaari mo ring baguhin ang uri ng mensahe na iyong natatanggap para sa mas matanda o mas batang anak. Piliin lamang ang “Tech Support”.  Usap tayo mamaya!,,,,,,,,,,,,,,,f7208fc7-f48c-409c-81d3-e206827a80b3,,execute_actions,250;2720
25,save_value,20,Expired,,,,from theme,no,,,,,,,,,,,,,,,7b12c0ab-9160-43ef-9d0c-92f4465690e6,,execute_actions,2270;2140
26,save_value,25,,,,,has expired,tip,,,,,,,,,,,,,,,7b12c0ab-9160-43ef-9d0c-92f4465690e6,,execute_actions,2270;2140
27,send_message,26,,,,,,"Mukhang abala ka ngayon. Pwede mong i-type ang ""GoBack"" para ulitin ang parenting tip na ito o ""Help"" para sa iba pang suporta.",,,,,,,,,,,,,,,f317c9b8-e9b1-4064-8219-8aeb594c3d5e,,execute_actions,2270;2320
28,split_by_value,17,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,98fc190c-617a-4ebf-a33e-24e47300c018,,split_by_expression,2795;1760
29,send_message,28,,@fields.user_name,has_text,user_name,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,ff31ca4f-8c60-4de5-9c7f-297af9cdc721,,execute_actions,2670;1960
30,send_message,28,,,,,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya!",,,,,,,,,,,,,,,7d5f0b05-f261-4943-b599-d30ff1a2bfde,,execute_actions,2920;1960
31,save_value,29;30,,,,,last interaction,@(now()),,,,,,,,,,,,,,,454cd7bd-2684-4f13-a0a5-7cc296e5aea9,,execute_actions,2920;2120
32,send_message,17,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,3aee2a99-26a8-41f7-a231-31b825bd89b6,,execute_actions,2590;1260
33,save_value,32,,,,,last interaction,@(now()),,,,,,,,,,,,,,,bcb80d7e-8cf3-48f8-b8a6-d1582f1aa7f4,,execute_actions,2610;1580
34,go_to,33,,,,,,12,,,,,,,,,,,,,,,,,,
