row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Ignoring demanding behaviours,,,,,,,,,,,,,,,e36eef61-00a8-4ba4-966a-c497dbf5514e,,execute_actions,1800;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,cf88c1cb-4b99-4480-bdc3-7fc638322006,,split_by_subflow,1820;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,c3701f3c-9bf2-4ccf-b37f-2b47cc27e9d0,,split_by_contact_field,1510;300
4,split_by_value,3,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,5769daae-cd2d-464a-a45a-15daec729dc0,,split_by_expression,2535;340
5,send_message,4,,@fields.child_nickname,has_text,child_nickname,,"Huwag pansinin ang negatibong pagpapapansin at mapagpumilit na pag-uugali tulad ng pag-angal at pag-alboroto. Ang negatibong kilos ni @fields.child_nickname ay maaaring lumala sa simula, pero sa pagdaan ng panahon matututunan niyang hindi ito epektibo. Siguruhing pareho ang tugon lagi at maging matiyaga. At siguruhing binibigyan mo rin si @fields.child_nickname ng maraming positibong atensyon sa ibang pagkakataon. Kaya mo ‘yan!",,,,,,,,,,,,,,,6965e6a7-3015-4c49-a60b-2ddc450d97f6,,execute_actions,2410;540
6,send_message,4,,,,,,"Huwag pansinin ang negatibong pagpapapansin at mapagpumilit na pag-uugali tulad ng pag-angal at pag-aalboroto. Ang pag-uugali ng iyong anak ay maaaring lumala sa simula, ngunit sa pagdaan ng panahon matututunan niyang hindi ito epektibo. Siguruhing pareho ang tugon lagi at maging matiyaga. At siguruhing binibigyan mo rin ang iyong anak ng maraming positibong atensyon sa iba-ibang pagkakataon. Kaya mo ‘yan!",,,,,,,,,,,,,,,d2b90a71-0352-4e34-8b6a-136983dd53e9,,execute_actions,2660;540
7,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,6529b931-e836-4466-b9b7-ccc7628b1e50,,split_by_contact_field,950;960
8,split_by_value,7,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,91d20cdf-b22f-4d9c-9ef2-9458b70aa8c9,,split_by_expression,705;1120
9,send_message,8,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video upang matulungan kang pamahalaan ang pag-aalboroto ni @fields.child_nickname.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Ignore.m4v,,ec64d629-a50d-4d4e-bbfe-707106ba7387,,execute_actions,580;1520
10,send_message,8,,,,,,Narito ang isang video upang matulungan kang pamahalaan ang sumpong ng inyong anak.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Ignore.m4v,,7cd7ea5d-5057-477f-9175-148b0adc2ee0,,execute_actions,830;1520
11,split_by_value,7,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,37ef1725-f2b5-48e0-91f0-a6180cbe70cf,,split_by_expression,1675;1320
12,send_message,11,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang audio message upang matulungan kang pamahalaan ang pag-aalboroto ni @fields.child_nickname.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Ignore.mp3,,,d9a5067d-3d45-4699-837c-77f1c29a3807,,execute_actions,1550;1520
13,send_message,11,,,,,,Narito ang isang audio message upang matulungan kang pamahalaan ang pag-aalboroto ng iyong anak.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Ignore.mp3,,,8d62bbd7-f04c-4940-84e6-5ca48b554006,,execute_actions,1800;1520
14,wait_for_response,10;12;13;9,,,,,Result 5,,,,,,,,,,,,,,,,1a1575f2-f3e6-4773-867c-0ed7f8158976,120,wait_for_response,830;1740
15,start_new_flow,14;14;7,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,87df807d-295f-4df4-ae72-5244ef92251d,,split_by_subflow,2000;1780
16,send_message,5;6,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,9ff91550-8182-4ba0-85d2-0c3f1c377dda,,execute_actions,2370;840
17,wait_for_response,16,,,,,Result 1,,,,,,,,,,,,,,,,5d966c1e-ffe6-4a2b-befa-0854316cf33f,,wait_for_response,2330;1000
18,go_to,17,y Oo o,,has_any_word,Y,,7,,,,,,,,,,,,,,,,,,
19,send_message,17,Hindi n h,,has_any_word,No,,"Okay lang 'yan! Puwede mong laging i-type ang ""Help"" kung gusto mong makatanggap ng mas maraming tip tungkol sa kung paano pangasiwaan ang pag-uugali ng iyong anak.",,,,,,,,,,,,,,,e75b613e-4184-486a-94c5-befe745897ea,,execute_actions,2820;1620
20,send_message,17,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,df05f90b-e2b3-4fb0-a5ba-55b82b66ef85,,execute_actions,2940;780
21,go_to,20,,,,,,16,,,,,,,,,,,,,,,,,,
22,send_message,15;15,Complete;Expired,,,,,"Narito ang 6 na hakbang kung paano natin mababawasan ang negatibong pagpapapansin at pag-uugali tulad ng pag-aalboroto gamit ang tinatawag nating Ignore o hindi pagpansin:

1. Subukang ibaling ang atensyon ng iyong anak
2. Tiyaking ito ay isang kilos na maaari mong balewalain
3. Huwag pansinin ang kilos, hindi ang iyong anak
4. Purihin kaagad ang iyong anak para sa susunod na positibong kilos
5. Iwasan ang pabagu-bagong aksiyon kapag nambabalewala
6. Tiyaking binibigyan mo ng positibong atensyon ang iyong anak sa iba pang mga oras.

I-type ang ""1"" hanggang ""6"" para mas matuto pa tungkol sa mga tips na ito. Maaari mo ring i-type ang ""H"" para pumunta sa susunod.",,,,,,,,,,,,,,,54c6423b-cc6e-496d-b2cb-f5e4777ff309,,execute_actions,2310;1920
23,wait_for_response,22,,,,,list_of_tips,,,,,,,,,,,,,,,,dc749cad-d032-41fe-900a-a696053b8d7d,,wait_for_response,560;2380
24,send_message,23,1,,has_number_eq,1,,"1. Subukang ibaling ang atensyon ng iyong anak

Kapag nagsimula silang humingi ng isang bagay o umangal, subukan muna silang ibaling sa isang positibong kilos o aktibidad. Purihin sila para sa positibong kilos na iyon! ",,,,,,,,,,,,,,,5bf508f0-09cd-4c76-8c30-eed571587eb7,,execute_actions,250;2520
25,send_message,23,2,,has_number_eq,2,,"2. Tiyaking ito ay isang kilos na maaari mong balewalain

Ito ay mga kilos na tulad ng pag-angal, pagpupumilit, pagpapakitang-gilas, pag-aalboroto, at marami pang ibang negatibong pagpapapansin at mapagpumilit na kilos na maaaring magbigay sa atin ng ideya na ang bata ay masamang bata. Ngunit walang masamang bata, mahirap lang na pag-uugali!",,,,,,,,,,,,,,,6592be1a-27b6-4cd0-b336-046c247f8ba6,,execute_actions,1490;2520
26,send_message,25,,,,,,"Kung tutugon tayo sa mga pag-uugaling ito, matututunan ng ating anak na makakakuha sila ng atensyon sa pag-uugaling ito. Minsan natututunan din nilang makuha nila ang gusto nila kapag magpapatuloy sila sa paghingi.",,,,,,,,,,,,,,,6c2b4a3c-98bd-445c-8968-35a3cc54601a,,execute_actions,1490;3040
27,split_by_value,26,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,783305d8-3577-4723-9cd0-d8f1d1200a96,,split_by_expression,1095;3260
28,send_message,27,,@fields.child_nickname,has_text,child_nickname,,"Halimbawa, kung umaangal si @fields.child_nickname dahil gusto niya ng kendi o tsokolate sa tindahan, maaari mo munang sabihin na ""hindi"" ngunit pagkatapos ay papayag ka din kay @fields.child_nickname kapag nagsimula na siyang mag-alboroto. Nangyayari ito sa ating lahat!",,,,,,,,,,,,,,,f102c11e-ab35-4f1a-911d-4824a44ea1e8,,execute_actions,970;3460
29,send_message,27,,,,,,"Halimbawa, kung ang inyong anak ay umaangal dahil gusto niya ng kendi o tsokolate sa tindahan, maaari mo munang sabihin na ""hindi"" ngunit pagkatapos ay papayag ka din sa inyong anak kapag nagsimula na siyang mag-alboroto. Nangyayari ito sa ating lahat!",,,,,,,,,,,,,,,d7590f1a-e597-4f4f-a17c-f6949903b0ab,,execute_actions,1220;3460
30,split_by_value,23,3,,has_number_eq,3,,@fields.child_nickname,,,,,,,,,,,,,,,ec423f22-0a24-4308-9ac5-2479c6ca60d6,,split_by_expression,2165;2560
31,send_message,30,,@fields.child_nickname,has_text,child_nickname,,"3. Balewalain ang pag-uugali, hindi ang iyong anak.

Ang hindi pagpapansin sa kilos ng inyong anak ay nangangahulugang pag-aalis ng pisikal at verbal na atensyon. Dapat ay alam mo pa rin ang ginagawa ni @fields.child_nickname.",,,,,,,,,,,,,,,ea3c576d-d719-419d-b832-8f139985ca33,,execute_actions,2040;2760
