row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Solving problems with your teen,,,,,,,,,,,,,,,20043002-ede3-40ac-920f-f5c1e198802c,,execute_actions,740;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,b351c5b2-1b62-40f2-b6df-a2a0a2c0f689,,split_by_subflow,720;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,8210aae1-3f26-4947-9d4b-8b1033c216db,,split_by_contact_field,410;460
4,split_by_value,3,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,9928f49a-174c-45af-9a40-20725de64a3a,,split_by_expression,1145;220
5,send_message,4,,@fields.child_nickname,has_text,child_nickname,,"Tulungan si @fields.child_nickname na matutong lutasin ang kanilang mga problema. Habang tumatanda ang mga bata, nagiging mas independent sila at minsan ay sinusubukan nila ang mga limitasyong nilikha natin upang mapanatili silang ligtas. ",,,,,,,,,,,,,,,038beda7-1dbb-4ed2-8b0e-a2b99bc19a7d,,execute_actions,1020;420
6,send_message,4,,,,,,"Tulungan ang inyong anak/teenager na matutong lumutas ng kanilang mga problema. Habang tumatanda ang mga bata, nagiging mas independent sila at minsan ay sinusubukan nila ang mga limitasyong nilikha natin upang mapanatili silang ligtas. ",,,,,,,,,,,,,,,9d88c8a0-c93d-42e5-a856-076a9d72805a,,execute_actions,1270;420
7,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,e91cba97-5553-4521-8810-2d61ab7436f5,,split_by_contact_field,410;980
8,split_by_value,7,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,bbfab181-470a-4e33-970c-e6da9e0f44c6,,split_by_expression,125;1120
9,send_message,8,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video upang matulungan kang turuan si @fields.child_nickname ng mga kasanayan sa paglutas ng problema! ,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Problem_Solving.m4v,,4a302748-89bb-4ce4-9b01-ab366516cc60,,execute_actions,;1320
10,send_message,8,,,,,,Narito ang isang video upang matulungan kang turuan ang iyong anak ng mga kasanayan sa paglutas ng problema! ,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Problem_Solving.m4v,,6327721d-8fbd-46ca-b549-fc4ffe37bd27,,execute_actions,250;1320
11,split_by_value,7,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,7925fff5-6a4f-4c28-bdf0-2ddd2326af1a,,split_by_expression,595;1340
12,send_message,11,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang audio message upang matulungan kang turuan si @fields.child_nickname ng mga kasanayan sa paglutas ng problema! ,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Problem_Solving.mp3,,,00ff4fbe-9642-4e02-9b61-3346ebc20395,,execute_actions,470;1540
13,send_message,11,,,,,,Narito ang isang audio message upang matulungan kang turuan ang iyong anak ng mga kasanayan sa paglutas ng problema sa iyong anak! ,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Problem_Solving.mp3,,,c31f41c3-066e-431e-9567-1df49cb001b4,,execute_actions,720;1540
14,wait_for_response,10;12;13;9,,,,,Result 4,,,,,,,,,,,,,,,,7fae102d-3ec6-4dec-ac54-ae623414fc62,120,wait_for_response,310;1720
15,send_message,14;14;7,;No Response;,,,,,Nakaka-stress ang mga hamon. Ngunit makatutulong talaga ang kasanayan sa paglutas ng problema. Mayroong anim na pangunahing mga hakbang para sa paglutas ng problema:,,,,,,,,,,,,,,,9c710d18-24c6-40bf-b235-27c05a68c1e8,,execute_actions,3410;1680
16,send_message,15,,,,,,"1. Tukuyin ang problema
2. Mag-isip ng mga posibleng solusyon
3. Alamin kung ano ang mga resulta ng bawat solusyon
4. Pumili ng isang solusyon 
5. Subukan ito!
6. Gumana ba ito? Mahusay! Kung hindi ito gumana, subukan ang iba pang solusyon",,,,,,,,,,,,,,,3ff24d84-d1af-4895-ad1b-ef83c754d173,,execute_actions,3530;1840
17,send_message,5;6,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,12331972-3874-419a-9053-735246a72cca,,execute_actions,1000;620
18,wait_for_response,17,,,,,Result 6,,,,,,,,,,,,,,,,68131729-aa62-4ed4-8d32-ddc8ace2027e,3600,wait_for_response,1000;780
19,go_to,18,y Oo o,,has_any_word,Y,,7,,,,,,,,,,,,,,,,,,
20,send_message,18,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,7ef1494a-91ea-46dc-aa4a-14612e222028,,execute_actions,3530;620
21,go_to,20,,,,,,17,,,,,,,,,,,,,,,,,,
22,send_message,18;18,Hindi n h;No Response,,has_any_word;,No;,,"Okay lang 'yan! Puwede mong laging i-type ang ""Help"" kung gusto mong makatanggap ng mas maraming tip tungkol sa kung paano pangasiwaan ang pag-uugali ng iyong anak.",,,,,,,,,,,,,,,8add3b96-228f-406f-aced-ba99fd4daf81,,execute_actions,3550;980
23,send_message,16,,,,,,Gusto mo pa bang magkaroon ng dagdag kaalaman?,Oo,Hindi,,,,,,,,,,,,,ac7904d7-f1db-4e27-8aae-146bc60d8465,,execute_actions,410;2020
24,wait_for_response,23,,,,,Result 2,,,,,,,,,,,,,,,,ce0e8071-d0ed-40f0-a0de-f3752285285a,,wait_for_response,390;2260
25,send_message,24,Oo y o,,has_any_word,Yes,,Maaari rin nating turuan ang ating mga anak ng parehong mga hakbang.,,,,,,,,,,,,,,,36268c19-5ade-4007-96ba-78d6ba16b07b,,execute_actions,1350;2360
26,send_message,25,,,,,,"Kapag may nangyaring masama, madalas sumasama ang loob natin at sinisisi ang ating mga anak. Ngunit ang talagang kailangan nila ay ang isang taong makatutulong sa kanila sa mga problema. 
Huminto ka muna! Magkaroon ng kamalayan tungkol sa galit at stress. Huminga ng malalim o magbilang hanggang 10 bago ka tumugon. Pagkatapos ay tumugon sa isang mahinahon na paraan.",,,,,,,,,,,,,,,aef57be0-067a-458f-b5ff-f7faa225d37f,,execute_actions,3120;2480
27,split_by_value,26,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,8502233f-504f-4298-94f4-cab7cc6614f6,,split_by_expression,3265;2780
28,send_message,27,,@fields.child_nickname,has_text,child_nickname,,"Subukang maghanap ng mga solusyon nang magkasama:
• Payagan si @fields.child_nickname na ipahayag kung ano ang kaniyang nararamdaman at tanggapin ang kaniyang mga damdamin. 
• Subukang makinig kay @fields.child_nickname at tingnan ang mga bagay ayon sa kaniyang pananaw. 
• Pasalamatan @fields.child_nickname sa pagiging bukas at pagtitiwala sa iyo",,,,,,,,,,,,,,,7a5d3acc-85d9-436a-a84c-d3c158ca051a,,execute_actions,3140;2980
29,send_message,27,,,,,,"Subukang maghanap ng mga solusyon nang magkasama:
• Payagan ang inyong teenager na ipahayag kung ano ang kanilang nararamdaman at tanggapin ang kanilang nararamdaman. 
• Subukang makinig sa inyong teenager at tingnan ang mga bagay ayon sa kanilang pananaw. 
• Pasalamatan ang inyong teenager sa pagiging bukas at pagtitiwala sa iyo",,,,,,,,,,,,,,,4d38ec47-5cde-4ad9-b927-852917d22f2c,,execute_actions,3390;2980
30,send_message,24;28;29,Hindi n h;;,,has_any_word;;,No;;,,(1),,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_decisions_comic_1.png,,,,83fea3de-1715-437c-8153-641585a248ce,,execute_actions,350;3240
31,send_message,30,,,,,,(2),,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_decisions_comic_2.png,,,,83fea3de-1715-437c-8153-641585a248ce,,execute_actions,350;3240
32,send_message,31,,,,,,(3),,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_decisions_comic_3.png,,,,83fea3de-1715-437c-8153-641585a248ce,,execute_actions,350;3240
33,send_message,32,,,,,,(4),,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_decisions_comic_4.png,,,,83fea3de-1715-437c-8153-641585a248ce,,execute_actions,350;3240
34,start_new_flow,33,,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,e694718c-d68d-48cc-9e40-aad25780b39c,,split_by_subflow,1330;3380
35,split_by_group,34;34,Complete;Expired,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,3bc68993-7a7d-4920-a995-650442ddd3ec,,split_by_expression,2245;3540
36,split_by_group,35,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,b64d8dbb-2945-4f26-b450-068111688646,,split_by_expression,2745;3940
37,split_by_value,36,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,b711e5e6-d7e4-44d2-95ff-fa901e5e8f12,,split_by_expression,2995;4740
