row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Shared reading,,,,,,,,,,,,,,,94ada383-6c63-496c-b24b-115b2cd37214,,execute_actions,1180;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,26ea647d-c541-43aa-99a1-2fcfda09c650,,split_by_subflow,1220;80
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,c3f909fd-935f-4dc4-9ed2-8fa59ba3776f,,split_by_contact_field,1160;220
4,split_by_value,3,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,9a8599ef-ba2e-4224-b55d-71f404e47930,,split_by_expression,2105;340
5,send_message,4,,@fields.child_nickname,has_text,child_nickname,,"Ang pagbabasa ng libro kasama ang inyong anak ay maaaring maging magandang instrumento sa pagkatuto ng iyong anak. Pwede kang gumamit ng mga simpleng larawan sa mga libro, magasin, o pahayagan upang gumawa ng maraming mga bagay na ikatutuwa mo at ni @fields.child_nickname.",,,,,,,,,,,,,,,e197e8c1-f5a1-4f2c-94a4-0deefd7b308e,,execute_actions,1980;540
6,send_message,4,,,,,,"Ang pagbabasa ng libro kasama ang iyong anak ay maaaring maging magandang instrumento sa pagkatuto ng inyong anak. Pwede kang gumamit ng mga simpleng larawan sa mga libro, magasin, o pahayagan upang gumawa ng maraming mga bagay na ikatutuwa ninyo ng inyong anak.",,,,,,,,,,,,,,,bbac6754-c201-4884-aac2-30cd1f70cc78,,execute_actions,2230;540
7,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,fe69e720-ef23-4e4f-a849-e64ed0f48d97,,split_by_contact_field,1160;800
8,send_message,7,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video na magdadala sa iyo sa nakabahaging aktibidad ng pagbabasa ng libro!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Shared_Book_Reading.m4v,,d9c79c70-750f-47d1-aa08-d71aa783ea01,,execute_actions,250;900
9,send_message,7,medium,@fields.type_of_media,has_any_word,Medium,,Narito ang isang audio message na magdadala sa iyo sa nakabahaging aktibidad sa pagbabasa ng libro!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Shared_Book_Reading.mp3,,,7004f9d1-4ccd-45c6-90d9-e359b6ae62cb,,execute_actions,1220;940
10,wait_for_response,8;9,,,,,Result 4,,,,,,,,,,,,,,,,9faaaae9-e56f-48e5-8044-f36b6bf8c5a7,60,wait_for_response,250;1320
11,start_new_flow,10;10;7,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,4abcfa39-098d-4728-b207-59415ffc9869,,split_by_subflow,2290;1320
12,send_message,5;6,,,,,,Nais mo bang mas malaman kung paano mo matutulungan malinang ang iyong anak sa pamamagitan ng pagbabahagi ng libro?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/parent_sharing_book_with_child_on_couch.jpg,,,,aa129316-c794-4260-bc38-158c64fabe16,,execute_actions,3090;300
13,wait_for_response,12,,,,,Result 1,,,,,,,,,,,,,,,,04e3bd28-87ad-475b-8bc6-c5b36651f95f,3600,wait_for_response,2310;780
14,go_to,13,Oo y o,,has_any_word,Yes,,7,,,,,,,,,,,,,,,,,,
15,send_message,13,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,7abd1bdb-b39e-4fa4-9880-77ac52e17fca,,execute_actions,3110;800
16,go_to,15,,,,,,12,,,,,,,,,,,,,,,,,,
17,split_by_value,13;13,Hindi n h;No Response,,has_any_word;,No;,,@fields.user_name,,,,,,,,,,,,,,,e4a323b6-0089-4643-88dd-a648fea8fcb0,,split_by_expression,2905;1000
18,send_message,17,,@fields.user_name,has_text,user_name,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,2aa7c65c-da5a-45c0-a9d5-20de48f74ddc,,execute_actions,2780;1200
19,send_message,17,,,,,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya!",,,,,,,,,,,,,,,d38f1454-b06c-40f2-863c-91be08b045ee,,execute_actions,3030;1200
20,send_message,11;11,Complete;Expired,,,,,"Narito ang ilang mga tip para sa pagbabahagi ng mga libro sa iyong anak:
1. Sundan ang interes ng iyong anak
2. Gumamit ng masiglang boses
3. Pagtuturo at pagbibigay ng pangalan
4. Maging positibo at magbigay ng suporta
5. Paggawa ng mga aksyon at links
6. Pag-uusap tungkol sa damdamin
7. Magandang pagsamahin ang mga sanggol at mga libro
I-type ang ""1"" hanggang ""7"" para mas matuto pa tungkol sa mga tips na ito. Maaari mo ring i-type ang ""H"" para pumunta sa susunod.",,,,,,,,,,,,,,,c88b8584-5b65-435a-b27b-ba81ee869949,,execute_actions,2290;1460
21,wait_for_response,20,,,,,list_of_tips,,,,,,,,,,,,,,,,afaf3aef-e17d-4358-9d96-1a926f61d4a0,,wait_for_response,1080;1740
22,split_by_group,21,Hindi n h,,has_any_word,No,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,f8ed7fbd-9ddd-4909-b98c-515623f31c4f,,split_by_expression,4395;1760
23,split_by_group,22,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,1d612c0c-dc4f-45ac-88c9-26532e0a69f5,,split_by_expression,4895;2160
24,split_by_value,23,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,ff08b58a-f818-4622-a211-c575d4b7d8c7,,split_by_expression,5145;2960
25,send_message,24,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nagdagdag ka ng isa pang antas sa inyong Masayang Tahanan! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,e2d3c507-40a1-42e8-9a0b-2a7640ee4b12,,execute_actions,5020;3160
26,send_message,24,,,,,,"Mahusay! Nagdagdag ka ng isa pang antas sa inyong Masayang Tahanan! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,713bd9a0-e2af-4729-9452-dbe9707de55d,,execute_actions,5270;3160
27,split_by_value,23;23,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,42f51eec-056f-4d16-8c75-3e90988faee3,,split_by_expression,4645;2760
28,send_message,27,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nakapagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang iyong anak. Ang pagbabasa ng libro kasama ang iyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,79dccf79-e5e0-4651-9ade-1bd73a45da65,,execute_actions,4520;3160
29,send_message,27,,,,,,"Mahusay! Nakapagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,71522cef-bbd3-4b1a-a808-a3cec2723f2f,,execute_actions,4770;3160
30,split_by_group,22;22,ABTest_test-gamification_Default;,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,b4b435d8-179b-40e8-a30c-a6160c1ad59e,,split_by_expression,3895;1960
31,split_by_value,30,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,f6572fcf-3c43-45f1-8b70-ee756152571f,,split_by_expression,4145;2560
32,send_message,31,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nagdagdag ka ng isa pang antas sa inyong Masayang Tahanan! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,39593d68-0cf0-4203-a890-49f6608048ea,,execute_actions,4020;3160
33,send_message,31,,,,,,"Mahusay! Nagdagdag ka ng isa pang antas sa inyong Masayang Tahanan! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,73706abf-6c4a-4c2e-81a1-86b6deff82aa,,execute_actions,4270;3160
34,split_by_value,30;30,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,3cb3f910-576a-4e72-a5f0-fd4cd1904ac6,,split_by_expression,3645;2360
35,send_message,34,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nakapagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang iyong anak. Ang pagbabasa ng libro kasama ang iyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,06111c78-1ffb-4ecb-ade2-7c6b1ff45d90,,execute_actions,3520;3160
36,send_message,34,,,,,,"Mahusay! Nakapagdagdag ka ng isa pang kasanayan sa iyong Parenting Toolkit! Sa mga susunod na araw, subukan mong magbasa o tumingin-tingin sa isang libro o magasin kasama ang inyong anak. Ang pagbabasa ng libro kasama ang inyong anak ay makatutulong sa kanilang matutong magsalita, mag-isip, at magpokus ng mas maayos. Hinahasa rin nito ang kanilang utak!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/congratulation.jpg,,,,c0e0540d-8100-4e16-97cd-58d2daf6ced3,,execute_actions,3770;3160
37,save_value,25;26;28;29;32;33;35;36,,,,,current type assessed,tip,,,,,,,,,,,,,,,68d34bf4-a63c-4a03-841f-1646dfbc2af5,,execute_actions,2430;5380
38,save_value,37,,,,,current activity,book_sharing,,,,,,,,,,,,,,,68d34bf4-a63c-4a03-841f-1646dfbc2af5,,execute_actions,2430;5380
39,start_new_flow,38,,,,,,PLH - Feedback - Feedback for content,,,,,,,,,,,,,,2d088e4d-2c71-4480-9cac-0403ba3c5461,30a877f2-77f7-4c0a-ae82-87f7c7380923,,split_by_subflow,2430;5540
40,split_by_value,39;39,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,33245435-6787-4dc3-9033-934c082b6342,,split_by_contact_field,2700;5680
41,split_by_value,40,yes,@fields.from_theme,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,966ea2e7-ad4d-4bff-bb96-e43ad8b07a1a,,split_by_expression,2575;6040
42,send_message,41,,@fields.user_name,has_text,user_name,,"Tandaan na pwede mong i-type ang ""Help"" kung gusto mo ng iba pang tips o suporta tungkol sa pagiging magulang. Pwede mo ring baguhin ang uri ng mensaheng matatanggap mo para sa mas matanda o mas batang anak. Piliin lamang ang “Technical Support.” Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,1c6c6444-98d6-4ebd-9c3d-c2289dadb727,,execute_actions,2450;6240
