row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,052b2724-1a3c-4eec-8cab-146cc8d6775c,,split_by_expression,1475;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nagkaroon ba ng pagkakataon na mag-usap kayo ng inyong anak tungkol sa pagbabudget ng pamilya?,Oo,Hindi,,,,,,,,,,,,,6ce2ebb3-b6f7-4b9d-8213-700d1c8be571,,execute_actions,1350;200
3,send_message,1,,,,,,Magandang araw! Nagkaroon ba ng pagkakataon na mag-usap kayo ng inyong anak tungkol sa pagbabudget ng pamilya?,Oo,Hindi,,,,,,,,,,,,,e753f672-5148-4321-85e0-deb385575c1a,,execute_actions,1600;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,8ab0028c-7d52-4243-9767-026d4719c4f7,,wait_for_response,1600;360
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,2c7568ba-e21d-44b9-bf1f-b63fe00453e8,,execute_actions,640;340
6,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,46e3174a-3915-4e9d-aa05-aab002bb8887,,execute_actions,1330;700
7,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,46daf36c-efe0-4c6f-82a3-755eb92f99cb,,execute_actions,3170;420
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,46daf36c-efe0-4c6f-82a3-755eb92f99cb,,execute_actions,3170;420
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,0ac6cc06-45ae-4c2a-b7c4-99afa66ee8e4,,split_by_expression,495;440
11,send_message,10,,@fields.user_name,has_text,user_name,,Mahusay @fields.user_name at naglaan ka ng oras na gawin ito! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,0af57dd9-81ed-49a6-8164-089f6ef1ae7c,,execute_actions,370;640
12,send_message,10,,,,,,Mahusay at naglaan ka ng oras na gawin ito! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,8e0fe80a-126c-403b-b1b3-fa1deabd6d90,,execute_actions,620;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,cbe17c6d-7314-4388-9e9f-3808d1283e72,,wait_for_response,350;800
14,split_by_group,13,mahusay,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,55ad5362-3101-4931-9888-3fc8fa1dd897,,split_by_expression,145;1020
15,send_message,14,ABTest_test-first-person_alternative,,,,,"Masaya akong marinig na maganda ang kinalabasan nito! Ang pagpaplano ng budget ng pamilya nang magkakasama ay makakatulong sa inyong magkaroon ng sapat na perang panggastos kada buwan, at mabawasan din ang mga pagtatalo!",,,,,,,,,,,,,,,900e8290-d3a7-4726-b7df-50eeb6ca5324,,execute_actions,270;1220
16,send_message,14;14,ABTest_test-first-person_Default;,,,,,"Masaya kaming marinig na maganda ang kinalabasan nito! Ang pagpaplano ng budget ng pamilya nang magkakasama ay makakatulong sa inyong magkaroon ng sapat na perang panggastos kada buwan, at mabawasan din ang mga pagtatalo!",,,,,,,,,,,,,,,625c278b-ddb5-4ac3-8411-2fd5e684a7d7,,execute_actions,20;1220
17,send_message,13,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,06de6281-9f78-4786-b907-a38a277627d3,,execute_actions,1130;800
18,go_to,17,,,,,,10,,,,,,,,,,,,,,,,,,
19,split_by_value,13;13;6,sakto lang;hindi mabuti;,,has_any_word;has_any_word;,Neutral;Bad;,,@fields.user_name,,,,,,,,,,,,,,,96835a69-c40a-40df-8d75-b3db7c8b3d6b,,split_by_expression,2075;1320
20,send_message,19,,@fields.user_name,has_text,user_name,,Okay lang ‘yan @fields.user_name! Saan ka nahirapan sa diskusyon ninyo ng inyong pamilya tungkol sa pagbabudget?,Ayaw kong sabihin sa aking pamilya kung gaano kalaki ang kinikita ko,"Kapag gumagawa ng budget, hindi kami magkasundo sa kung ano ang pangangailangan at ano ang kagustuhan lang",Hindi ko naintindihan kung anong gagawin,Ayaw akong samahan ng aking anak na bata o teenager sa pagba-budget,Nawalan ako ng oras para kausapin ang aking anak na bata o teenager tungkol sa pagba-budget ng pamilya,,,,,,,,,,af150d35-302b-4254-aecb-c69b8464f4d4,,execute_actions,1950;1520
21,send_message,19,,,,,,Okay lang ‘yan! Saan ka nahirapan sa diskusyon ninyo ng iyong pamilya tungkol sa pagba-budget?,Ayaw kong sabihin sa aking pamilya kung gaano kalaki ang kinikita ko,"Kapag gumagawa ng budget, hindi kami magkasundo sa kung ano ang pangangailangan at ano ang kagustuhan lang",Hindi ko naintindihan kung anong gagawin,Ayaw akong samahan ng aking anak na bata o teenager sa pagba-budget,Nawalan ako ng oras para kausapin ang aking anak na bata o teenager tungkol sa pagba-budget ng pamilya,,,,,,,,,,f806a79d-b1d3-4ddf-bc1f-5631d6f23fb1,,execute_actions,2200;1520
22,wait_for_response,20;21,,,,,checkin_problem,,,,,,,,,,,,,,,,ca44347f-fd02-41de-9a66-46ba85c905af,,wait_for_response,1310;2080
23,send_message,22,ayaw kong sabihin sa aking pamilya kung gaano kalaki ang aking kinikita ,,has_only_phrase,I did not want to tell my family how,,"Normal lang na maranasan ito. Hindi mo kailangang sabihin ang eksaktong halaga ng kinikita mo; maaari kang magbigay ng tantiyang halaga. Maaari mong sabihing, “Sa bahay na ito, mayroon tayong ganitong halaga bawat buwan” imbes na, “Ito ang kinikita kong pera”.",,,,,,,,,,,,,,,3254bb04-3a02-4824-9ffa-332c7246f5ab,,execute_actions,1190;2680
24,split_by_value,22,"kapag nagba-budget, hindi kami magkasundo sa kung ano ang pangangailangan at ano ang kagustuhan lang",,has_only_phrase,"When budgeting, we could not agree o",,@fields.child_nickname,,,,,,,,,,,,,,,37a8a8a4-750a-422c-9d53-dd0ad83c079f,,split_by_expression,1785;2280
25,send_message,24,,@fields.child_nickname,has_text,child_nickname,,"Normal lang na maranasan ang hamong ito. Minsan magkakaiba ang mga pangangailangan at kagustuhan ng mga tao. Kapag pinag-usapan ninyo ito, makakatulong ito sa inyo ni @fields.child_nickname na mauunawaan ang isa’t isa, respetuhin ang mga pagkakaiba ninyo, at makikita kung saan kayo puwedeng magkasundo.",,,,,,,,,,,,,,,7f9197c5-ebaf-4321-ab13-299f36091715,,execute_actions,1660;2680
26,send_message,24,,,,,,"Normal lang na maranasan ang hamong ito. Minsan magkakaiba ang mga pangangailangan at kagustuhan ng mga tao. Kapag pinag-usapan ninyo ito, makakatulong ito sa inyo ng inyong anak na mauunawaan ang isa’t isa, respetuhin ang mga pagkakaiba ninyo, at makikita kung saan kayo puwedeng magkasundo.",,,,,,,,,,,,,,,06776dae-2fe3-4e21-adc7-e971d6e2925f,,execute_actions,1910;2680
27,split_by_value,22,hindi ko naintindihan kung ano ang gagawin,,has_only_phrase, I did not understand what to do,,@fields.child_nickname,,,,,,,,,,,,,,,b6b89e3b-9861-4a1d-a343-96fb354e5ed3,,split_by_expression,2755;2980
28,split_by_group,27,,@fields.child_nickname,has_text,child_nickname,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,2d6e961d-7887-4cd4-8a34-3aa439265e9a,,split_by_expression,2505;3180
29,send_message,28,ABTest_test-first-person_alternative,,,,,Nalulungkot akong marinig ito. Alam ko na maaaring mahirap ito! Subukan kaya nating daanan muli ang mga impormasyon? Si @fields.child_nickname o iba pang miyembro ng pamilya ay maaaring tumulong sa iyo! ,,,,,,,,,,,,,,,515d6aa6-73cf-4c87-b573-6812f9a76d0f,,execute_actions,2630;3580
30,send_message,28;28,ABTest_test-first-person_Default;,,,,,Nalulungkot kaming marinig ito. Alam namin na maaaring mahirap ito! Subukan kaya nating daanan muli ang mga impormasyon? Si @fields.child_nickname o iba pang miyembro ng pamilya ay maaaring tumulong sa iyo! ,,,,,,,,,,,,,,,ec782472-a504-4061-9889-aa4a610c9564,,execute_actions,2380;3580
31,split_by_group,27,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,ac7d7025-9b6c-4303-86db-4e1502c27beb,,split_by_expression,3005;3380
32,send_message,31,ABTest_test-first-person_alternative,,,,,Nalulungkot akong marinig ito. Alam ko na maaaring mahirap ito! Bakit hindi natin muling balikan ang nilalaman? Ang inyong teenager o iba pang miyembro ng pamilya ay maaaring tumulong sa inyo! ,,,,,,,,,,,,,,,fe608d9c-7fa5-4935-966f-1ceb06faa738,,execute_actions,3130;3580
33,send_message,31;31,ABTest_test-first-person_Default;,,,,,Nalulungkot kaming marinig ito. Alam namin na maaaring mahirap ito! Bakit hindi natin muling balikan ang nilalaman? Ang inyong teenager o iba pang miyembro ng pamilya ay maaaring tumulong sa iyo! ,,,,,,,,,,,,,,,4d4b4c6f-9c1c-4b03-8550-42e60c2a2559,,execute_actions,2880;3580
34,split_by_value,22,ayaw akong samahan ng aking batang o teenager sa pagbabudget,,has_only_phrase,My child or teen did not want to do ,,@fields.child_nickname,,,,,,,,,,,,,,,d5e1cfed-f597-4620-b927-595dc106ebdb,,split_by_expression,3375;2480
35,send_message,34,,@fields.child_nickname,has_text,child_nickname,,"Normal lang na maranasan ang hamong ito. Subukang simulan ang pagbabudget kasama ang ibang nakatatanda sa bahay. Posibleng mapukaw ang interes ni @fields.child_nickname kapag nakita ang ginagawa ninyo. Ang paggawa ng budget ay maaaring seryoso pakinggan, ngunit subuking gawin itong masaya – puwedeng gawing laro sa inyong One-on-One time! Tandaang purihin ang inyong anak kapag natapos kayo sa gawain!",,,,,,,,,,,,,,,5513496e-8f8b-4765-ac52-7f34d27e5f94,,execute_actions,3250;2680
36,send_message,34,,,,,,"Normal lang na maranasan ang hamong ito. Subukang simulan ang pagbabudget kasama ang ibang nakatatanda sa bahay. Posibleng mapukaw ang interes ng inyong anak kapag makita ang inyong ginagawa. Ang paggawa ng budget ay maaaring seryoso pakinggan, ngunit subuking gawin itong masaya – puwedeng gawing laro sa inyong One-on-One time! Tandaang purihin ang inyong anak kapag natapos kayo sa gawain!",,,,,,,,,,,,,,,e6205a08-4298-4d15-9df6-0260a69ffb4f,,execute_actions,3500;2680
