row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,70e4d4f3-dde9-4afd-aa8b-cedadaf91cc4,,split_by_expression,1455;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nakausap mo ba ang iyong anak tungkol sa mga ligtas at hindi ligtas na lugar sa inyong komunidad?,Oo,Hindi,,,,,,,,,,,,,8289efde-0ac2-4a5a-8821-0b50f5da8c3c,,execute_actions,1330;200
3,send_message,1,,,,,,Magandang araw! Nakausap mo ba ang inyong anak tungkol sa mga ligtas at hindi ligtas na lugar sa inyong komunidad?,Oo,Hindi,,,,,,,,,,,,,c2ed00a8-b373-4145-bc18-a65823add3cb,,execute_actions,1580;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,a59338b5-5f0f-4acb-8d41-dd5af790c513,,wait_for_response,1580;380
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,a2cc5d3f-f9e2-4980-ba4b-61cef5510ef3,,execute_actions,620;340
6,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,2ac5af20-edc0-42d6-a957-a6b8d3dddc2a,,execute_actions,1310;720
7,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,339fffde-9253-4992-8838-290abf5e00dd,,execute_actions,2400;420
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,339fffde-9253-4992-8838-290abf5e00dd,,execute_actions,2400;420
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,63fb7078-64b9-4765-9e17-b5074e06c176,,split_by_expression,475;440
11,send_message,10,,@fields.user_name,has_text,user_name,,"Magaling @fields.user_name, dahil nakahanap ka ng oras para dito! Kumusta ang kinalabasan nito?",Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,41984a64-f83c-46cb-801d-746331e5c085,,execute_actions,350;640
12,send_message,10,,,,,,Mahusay dahil nakahanap ka ng oras para dito! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,8559ef88-4c3d-4a4b-8d11-8b206c97382d,,execute_actions,600;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,ef268d20-22ae-40cf-b2b3-20b558ddf138,,wait_for_response,330;880
14,split_by_group,13,mahusay,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,1e08c4fa-decc-4084-9c31-568bc86fd954,,split_by_expression,125;1020
15,send_message,14,ABTest_test-first-person_alternative,,,,,Masaya akong malaman na maganda ang kinalabasan nito. Ang pagkakaroon ng diskusyon kasama ang inyong anak tungkol sa mga ligtas at delikadong lugar sa komunidad ay makatutulong na panatilihin ang kanilang kaligtasan!,,,,,,,,,,,,,,,5406f5a8-e010-48a8-9c5a-8e493aa81aa3,,execute_actions,250;1220
16,send_message,14;14,ABTest_test-first-person_Default;,,,,,Masaya kaming marinig na maganda ang kinalabasan nito! Ang pagkakaroon ng diskusyon kasama ang inyong anak tungkol sa mga ligtas at delikadong lugar sa komunidad ay makatutulong na panatilihin ang kanilang kaligtasan!,,,,,,,,,,,,,,,3b26f5a9-498a-45ac-affe-6c4d0af47670,,execute_actions,;1220
17,send_message,13,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,d96ac719-e935-4953-9a57-cf1cbf83d737,,execute_actions,1130;1000
18,go_to,17,,,,,,10,,,,,,,,,,,,,,,,,,
19,split_by_value,13;13;6,sakto lang;hindi mabuti;,,has_any_word;has_any_word;,Neutral;Bad;,,@fields.child_nickname,,,,,,,,,,,,,,,61a19ca6-3dc2-448e-a97d-241c5f9e92e3,,split_by_expression,1805;1320
20,send_message,19,,@fields.child_nickname,has_text,child_nickname,,Okay lang ‘yan! Ano ang naging mahirap sa pakikipag-usap kay @fields.child_nickname tungkol sa mga ligtas at delikadong lugar?,Hindi kami nagkasundo ng aking anak na bata o teenager sa kung aling mga lugar ang hindi ligtas,Kinilala ng anak ko ang bahay ng isang taong pinagkakatiwalaan ko bilang hindi ligtas para sa kanya. Nagulat ako at hindi ko alam kung ano ang aking gagawin,Pinagpilitan ng aking batang anak o teenager na ang isang lugar gaya ng bar ay maaari nilang puntahan. Hindi ko alam kung paano kumbinsihin ang anak ko na hindi ito ligtas na lugar,"Bilang nakatatanda, nararamdaman kong responsibilidad kong protektahan ang aking batang anak o teenager. Nung sinabi ko sa aking batang anak o teenager kung aling mga lugar ang hindi ligtas, nagalit siya sa akin",Nahirapan akong alamin ang mapagkukunan ng tulong sa aming komunidad dahil hindi masyadong pamilyar sa akin ang aming lugar,Nawalan ako ng oras para kumpletuhin ang gawaing ito,,,,,,,,,1b75cbe2-55da-4bb3-8bf7-12abc9c8a857,,execute_actions,1680;1520
21,send_message,19,,,,,,Okay lang ‘yan! Ano ang naging mahirap sa pakikipag-usap sa iyong anak tungkol sa mga ligtas at delikadong lugar?,Hindi kami nagkasundo ng aking anak na bata o teenager sa kung aling mga lugar ang hindi ligtas,Kinilala ng anak ko ang bahay ng isang taong pinagkakatiwalaan ko bilang hindi ligtas para sa kanya. Nagulat ako at hindi ko alam kung ano ang aking gagawin,Pinagpilitan ng aking batang anak o teenager na ang isang lugar gaya ng bar ay maaari nilang puntahan. Hindi ko alam kung paano kumbinsihin ang anak ko na hindi ito ligtas na lugar,"Bilang nakatatanda, nararamdaman kong responsibilidad kong protektahan ang aking batang anak o teenager. Nung sinabi ko sa aking batang anak o teenager kung aling mga lugar ang hindi ligtas, nagalit siya sa akin",Nahirapan akong alamin ang mapagkukunan ng tulong sa aming komunidad dahil hindi masyadong pamilyar sa akin ang aming lugar,Nawalan ako ng oras para kumpletuhin ang gawaing ito,,,,,,,,,b4ada45a-9e88-4ec7-9505-9b9c088cbadb,,execute_actions,1930;1520
22,wait_for_response,20;21,,,,,checkin_problem,,,,,,,,,,,,,,,,62e9735d-b51a-4e94-ba12-5dda33136d6c,,wait_for_response,1290;2080
23,send_message,22,hindi kami nagkasundo ng aking batang anak o teenager sa kung aling mga lugar ang hindi ligtas,,has_only_phrase,My child or teen and I disagreed on ,,"Normal lang ‘yan! Mabuti at nasubukan ninyo ang activity! Kapag tayo ay nakikinig sa ating mga anak, kahit hindi tayo sang-ayon sa sinasabi nila, matututunan nating intindihin ang kanilang pag-iisip. Subukang maghanap ng oras upang magawa muli ang activity. Ngayon, subukang makinig nang maigi at ipakita mong naiintindihan mo sila bago magbahagi ng iyong saloobin.",,,,,,,,,,,,,,,b6f290b5-c28e-4c63-b179-f0e80269c7c3,,execute_actions,1170;2280
24,send_message,22,kinilala ng anak ko ang bahay ng isang taong pinagkakatiwalaan ko bilang hindi ligtas para sa kanya. Nagulat ako at hindi ko alam kung anong gagawin ko,,has_only_phrase,My child or teen identified the hous,,"Normal lang makaranas ng ganito. Nakakagulat talagang malaman kapag mayroon tayong kilala o pinagkakatiwalaan na posibleng pahamak sa ating mga anak. Maghanap ka ng puwedeng makausap tungkol dito, maaaring isang kaibigan o support service, upang makakuha ka ng angkop na tulong. Kapag nakakaramdam na ng stress, alalahaning tumigil muna nang sandali.",,,,,,,,,,,,,,,0b480c4f-5cfe-41d8-a034-a4b9c74a07ff,,execute_actions,1640;2280
25,split_by_value,22,pinagpilitan ng aking batang anak o teenager na ang isang lugar gaya ng bar ay maaari nilang puntahan. Hindi ko alam kung paano siya kukumbinsihin na hindi ito ligtas na lugar para sa kanya,,has_only_phrase,My child or teen insisted that a pla,,@fields.child_nickname,,,,,,,,,,,,,,,c1000eb1-d735-4c91-9451-85eef0a79487,,split_by_expression,2235;2580
26,send_message,25,,@fields.child_nickname,has_text,child_nickname,,"Normal lang na maranasan ito. Subukang gumawa ng ligtas na espasyo kung saan puwede kayong mag-usap ni @fields.child_nickname kung kailan pareho kayong kalmado. Pakinggan kung bakit sa tingin nila ligtas ang isang lugar, at pagkatapos ay ibahagi mo rin ang iyong pananaw kung paano ito maaaring maging delikado. Pag-isipang gumawa ng patakaran kasama ang inyong anak kung saan sila ay mag-eenjoy habang nananatiling ligtas. Mas makikinig ang ating mga anak kapag kalmado tayong makipag-usap sa kanila.",,,,,,,,,,,,,,,c9c43e6e-f262-47da-92cf-fd980fe15f82,,execute_actions,2110;2780
27,send_message,25,,,,,,"Normal lang na maranasan ito. Subukang gumawa ng ligtas na espasyo kung saan puwede kayong mag-usap ng inyong anak kapag pareho kayong kalmado. Pakinggan kung bakit sa tingin nila ligtas ang isang lugar, at pagkatapos ay ibahagi mo rin ang iyong pananaw kung paano ito maaaring maging delikado. Pag-isipang gumawa ng patakaran kasama ang iyong anak kung saan sila ay mag-eenjoy habang nananatiling ligtas. Mas makikinig ang ating mga anak kapag kalmado tayong makipag-usap sa kanila.",,,,,,,,,,,,,,,82e956db-a831-44dd-b819-0ed7f953c02a,,execute_actions,2360;2780
28,send_message,22,"bilang nakatatanda, nararamdaman kong responsibilidad kong protektahan ang aking anak na bata o teenager. Nung sinabi ko kung aling mga lugar ang hindi ligtas, nagalit siya sa akin",,has_only_phrase,"As an adult, I feel I am responsible",,"Nalulungkot kaming marinig na nahihirapan ka rito. Posibleng may alam ang ating mga anak tungkol sa komunidad at teknolohiya na hindi natin napapansin. Kapag sinasasama natin ang ating anak sa paggawa ng mapa, nararamdaman nila na sila ay naririnig at pinapahalagahan, at ito rin ay makatutulong upang magkasundo kayo sa isang plano na napgakasunduan ng lahat.",,,,,,,,,,,,,,,1e47d06d-07ff-49b3-8729-e7fbf0e171d6,,execute_actions,2500;2280
29,send_message,22,nahirapan akong alamin ang mapagkukunan ng tulong sa aming komunidad dahil hindi masyadong pamilyar sa akin ang aming lugar,,has_only_phrase,It was hard to identify resources av,,"Mahirap malaman ang lahat ng detalye tungkol sa ating mga komunidad. Isama ang isa pang miyembro ng pamilya o kaibigan sa inyong paggawa ng mapa. Puwede niyo ring bisitahin ang ilan sa mga serbisyo sa inyong komunidad at itanong kung anong mga ginagawa nila. Kapag mas marami ang alam natin, mas mapoprotektahan natin ang ating mga pamilya!",,,,,,,,,,,,,,,220b82f2-703d-466e-bdb8-f8a2a318477d,,execute_actions,2720;2280
30,send_message,22,nawalan ako ng oras para kumpletuhin ang gawaing ito,,has_only_phrase,I did not have any time to do this a,,"Maaaring mahirap makahanap ng oras sa isang araw, dahil sa trabaho, mga gawaing-bahay, at iba pa. Mayroon ka bang kahit 10 minuto ngayong linggo upang makasama ang iyong anak at mapag-usapan ang mga ligtas at delikadong lugar? Ito ay talagang mahalaga!",,,,,,,,,,,,,,,bb0080c0-d019-4a9f-bef2-56a80b0d1aa1,,execute_actions,2960;2280
31,send_message,22,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,213f9400-2399-443e-948a-35aef618aa55,,execute_actions,2680;1700
