row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,7095cba3-578b-4bc5-90c1-4f11068bb7aa,,split_by_expression,1955;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,8b2a6775-85ed-4b81-8658-154e0e9dcc13,,split_by_expression,1705;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Magandang araw @fields.user_name! Nanatili ka bang kalmado noong si @fields.child_nickname ay nagbahagi ng isang sensitibo o mahirap na bagay?,Oo,Hindi,,,,,,,,,,,,,6831903c-d9ee-45f3-97cc-3c27b55dfb1b,,execute_actions,1580;600
4,send_message,2,,,,,,Magandang araw @fields.user_name! Nanatili ka bang kalmado noong nagbahagi ang iyong teenager ng isang sensitibo o mahirap na bagay?,Oo,Hindi,,,,,,,,,,,,,252ce055-cb13-4d6d-8210-246aa2e1546a,,execute_actions,1830;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,da62fc10-c589-4983-886b-5ca6b35a84c7,,split_by_expression,2205;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Magandang araw! Nanatili ka bang kalmado noong si @fields.child_nickname ay nagbahagi ng isang sensitibo o mahirap na bagay?,Oo,Hindi,,,,,,,,,,,,,9f1b6043-3b7f-407e-81a0-685f976ac1bd,,execute_actions,2080;600
7,send_message,5,,,,,,Magandang araw! Nanatili ka bang kalmado noong nagbahagi ang iyong teenager ng isang sensitibo o mahirap na bagay?,Oo,Hindi,,,,,,,,,,,,,77087a4d-8875-4056-8ca8-f3965568e4d6,,execute_actions,2330;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,75dbe2a8-318e-41ac-aba7-763fa88d2a66,,wait_for_response,2330;760
9,save_value,8,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,085db768-7080-48bd-acda-3eb1aec71df6,,execute_actions,620;740
10,save_value,8,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,c21fc683-7999-4b37-bcad-3162febd0b11,,execute_actions,1560;1100
