row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,18bca914-6644-40d8-809a-28a493d7ff73,,split_by_expression,1125;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Ikaw ba ay nahihirapan sa tuwing umiiyak ang inyong sanggol?,Oo,Hindi,,,,,,,,,,,,,94adc7ab-bd27-45b8-9e42-d85e587dc734,,execute_actions,1000;200
3,send_message,1,,,,,,Magandang araw! Ikaw ba ay nahihirapan sa tuwing umiiyak ang iyong sanggol?,Oo,Hindi,,,,,,,,,,,,,8c91f545-b1de-4285-b3ec-4d5b48757463,,execute_actions,1250;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,b2e165e1-1f77-44d6-a708-2421c4587428,,wait_for_response,1250;420
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,58352748-c3fd-42d6-bb5b-53b9036feeb7,,execute_actions,2050;640
6,split_by_value,4,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,fddaa973-91de-4dc0-8843-c2b270e5c843,,split_by_expression,245;660
7,save_value,6,,@fields.user_name,has_text,user_name,last interaction,@(now()),,,,,,,,,,,,,,,fc07e1b9-6e8f-4ee0-80b7-12a4c02948e7,,execute_actions,120;860
8,send_message,7,,,,,,"Magandang marinig na nakakayanan mo ito, @fields.user_name. Hindi ito isang madaling bagay, kaya purihin ang inyong sarili dahil kinakaya mo!",,,,,,,,,,,,,,,fc07e1b9-6e8f-4ee0-80b7-12a4c02948e7,,execute_actions,120;860
9,save_value,6,,,,,last interaction,@(now()),,,,,,,,,,,,,,,40034430-ed79-474a-ae04-ac08e5e6803c,,execute_actions,370;860
10,send_message,9,,,,,,"Magandang marinig na nakakayanan mo ito. Hindi ito isang madaling bagay, kaya purihin ang inyong sarili dahil kinakaya mo!",,,,,,,,,,,,,,,40034430-ed79-474a-ae04-ac08e5e6803c,,execute_actions,370;860
11,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,f251292a-a438-4d0b-a2e3-72757265857d,,execute_actions,2340;380
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,f251292a-a438-4d0b-a2e3-72757265857d,,execute_actions,2340;380
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,5,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,e30663f5-8165-47d6-af9e-c54c6a9542d5,,split_by_expression,1925;960
15,send_message,14,,@fields.child_nickname,has_text,child_nickname,,Nalulungkot kaming marinig na nahihirapan ka dito. Ano ang naging mahirap sa pagpapatahan kay @fields.child_nickname?,Hindi ako nanatiling kalmado,Nagalit ako,Nalula ako sa bigat o dami ng aking kinakaharap,Di tumitigil ang pag-iyak ng aking sanggol,,,,,,,,,,,8e52539a-54c9-45ff-812a-e5e5babff78e,,execute_actions,1800;1160
16,send_message,14,,,,,,Nalulungkot kaming marinig na nahihirapan ka dito. Ano ang naging mahirap sa pagpapatahan ng inyong sanggol?,Hindi ako nanatiling kalmado,Nagalit ako,Nalula ako sa bigat o dami ng aking kinakaharap,Di tumitigil ang pag-iyak ng aking sanggol,,,,,,,,,,,7a0af72f-1ab8-4600-b93c-1122bc25ec06,,execute_actions,2050;1160
17,wait_for_response,15;16,,,,,checkin_problem,,,,,,,,,,,,,,,,758cdbdc-4a90-430c-badb-7b63abc4a9f1,,wait_for_response,1780;1400
18,split_by_value,17,hindi ako nanatiling kalmado,,has_only_phrase,I didn't stay calm,,@fields.child_nickname,,,,,,,,,,,,,,,b0ad33b7-958b-4444-aaad-754f618b5b36,,split_by_expression,1495;1600
19,send_message,18,,@fields.child_nickname,has_text,child_nickname,,"Normal ang makaranas nito. Totoong mahirap manatiling kalmado kapag si @fields.child_nickname ay umiiyak, pero huwang kang susuko! Subukang mag-isip ng mga puwedeng gawin na makatutulong sa iyo, tulad ng paghinga nang malalim ng ilang beses. Maaari nitong mabawasan ang inyong stress at palinawin ang inyong pag-iisip. ",,,,,,,,,,,,,,,17dd2222-325f-4c63-81b2-da6c4ac15f47,,execute_actions,1370;2600
20,send_message,18,,,,,,"Normal lang na maranasan ito. Totoong mahirap manatiling kalmado kapag ang inyong anak ay umiiyak, pero huwag kang susuko! Subukang mag-isip ng mga puwedeng gawin na makatutulong sa iyo, tulad ng paghinga nang malalim ng ilang beses. Maaari nitong mabawasan ang inyong stress at palinawin ang inyong pag-iisip. ",,,,,,,,,,,,,,,35771b1f-b854-48a6-bda3-7cd2fa1c48a7,,execute_actions,1620;2600
21,split_by_value,17,nagalit ako,,has_only_phrase,I got angry,,@fields.child_nickname,,,,,,,,,,,,,,,26fb30f8-b3b9-4f4e-9448-749b4788fbd2,,split_by_expression,2215;1800
22,send_message,21,,@fields.child_nickname,has_text,child_nickname,,"Nalulungkot kaming marinig na nahihirapan ka rito. Kapag nagsisimula ka nang makaramdam ng galit dahil si @fields.child_nickname ay hindi tumitigil sa pag-iyak, okay lang na iwan muna siyang nakahiga sa isang ligtas na lugar at lumayo ka muna saglit at tumigil nang sandali. Ang pagtigil nang sandali ay makatutulong sa iyong tumugon nang mas maayos. Manatiling malapit kay@fields.child_nickname. Para masubaybayan mo siya. I-check si @fields.child_nickname kada 5 hanggang 10 minuto.",,,,,,,,,,,,,,,4d010979-56db-4ae7-8b7b-23aa68d1769f,,execute_actions,2090;2600
23,send_message,21,,,,,,"Nalulungkot kaming marinig na nahihirapan ka rito. Kapag nagsisimula ka nang makaramdam ng galit dahil hindi tumitigil sa pag-iyak ang inyong anak, okay lang na iwan muna siyang nakahiga sa isang ligtas na lugar at lumayo ka muna saglit at tumigil nang sandali. Ang pagtigil nang sandali ay makatutulong sa inyong tumugon nang mas maayos. Manatiling malapit sa inyong sanggol para masubaybayan siya. Balik-balikan ang inyong sanggol kada 5-10 minuto.",,,,,,,,,,,,,,,c17fa58a-f5f5-4a77-9a6f-c2fa8e91528b,,execute_actions,2340;2600
24,send_message,17,nalula ako sa dami o bigat ng aking kinakaharap,,has_only_phrase,I felt overwhelmed,,"Normal lang na maramdaman na tila napakadami mong hinaharap bilang magulang. Lahat ng mga magulang ay nakakaramdam nito. Subukang tawagan ang isang malapit na kamag-anak o kaibigan. Minsan sapat na ang mayroong nakakausap, pero kung mabigat pa din ang iyong nararamdaman, humingi ka ng tulong. Ang paghingi ng tulong ay isang tanda ng kalakasan. Kaya mo ‘yan!",,,,,,,,,,,,,,,033a4a11-f1bd-4054-b532-7f47ade24bc6,,execute_actions,2560;2600
25,split_by_value,17,hindi tumitigil ang pag-iyak ng aking sanggol ,,has_only_phrase,My baby won't stop crying ,,@fields.child_nickname,,,,,,,,,,,,,,,056993aa-c5ae-45e3-9a1f-afa09d748263,,split_by_expression,3155;2000
