row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,a1217a69-8728-46d7-a417-3daaa1296bbe,,split_by_expression,1955;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,c61a95c0-1bf6-4bfd-a1e8-ad904e85a0bb,,split_by_expression,1705;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Magandang araw @fields.user_name! Nabigyan mo ba ng suporta sa pag-aaral si @fields.child_nickname nitong mga nakaraang mga araw?,Oo,Hindi,,,,,,,,,,,,,28b8224e-7904-4cbd-8486-b8327c63fc06,,execute_actions,1580;600
4,send_message,2,,,,,,Magandang araw @fields.user_name! Nabigyan mo ba ng suporta sa pag-aaral ang inyong anak nitong mga nakaraang mga araw?,Oo,Hindi,,,,,,,,,,,,,08ff1e48-f1c1-4e26-84ab-82f5e9f4f8b6,,execute_actions,1830;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,f8fc6928-9fae-4291-9eab-2ccc200c617a,,split_by_expression,2205;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Magandang araw! Nabigyan mo ba ng suporta sa pag-aaral si @fields.child_nickname nitong mga nakaraang mga araw?,Oo,Hindi,,,,,,,,,,,,,800f89f4-a2be-4332-a09b-8ba658875bc6,,execute_actions,2080;600
7,send_message,5,,,,,,Magandang araw! Nabigyan mo ba ng suporta sa pag-aaral ang inyong anak nitong mga nakaraang mga araw?,Oo,Hindi,,,,,,,,,,,,,246a4260-2c51-4a77-8588-91700f69d936,,execute_actions,2330;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,b0bab225-9ccf-4f81-bafd-2847654e228f,,wait_for_response,2330;760
9,save_value,8,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,71e4e42d-d5c7-4c41-b82b-49811c4b0b92,,execute_actions,620;740
10,save_value,8,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,1de93c86-cd22-4059-b5ee-bd6751e54f17,,execute_actions,1560;1100
11,send_message,8,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,836995de-60cd-40d8-8337-b5cdff6008f6,,execute_actions,3400;820
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,836995de-60cd-40d8-8337-b5cdff6008f6,,execute_actions,3400;820
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,9,,,,,,@fields.user_name,,,,,,,,,,,,,,,68ced76d-897a-4e60-8c76-1a74cdc85122,,split_by_expression,475;840
15,send_message,14,,@fields.user_name,has_text,user_name,,Mahusay @fields.user_name! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,54f5f3cb-893d-4827-b3ab-875256bf6895,,execute_actions,350;1040
16,send_message,14,,,,,,Mahusay! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,f42fc9f0-8638-4caa-b5c2-e81517d9ec24,,execute_actions,600;1040
17,wait_for_response,15;16,,,,,checkin_how,,,,,,,,,,,,,,,,dc1aca26-28f3-42a1-ad03-bbd18a7ef51d,,wait_for_response,330;1280
18,split_by_group,17,mahusay,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,e9052a69-41a1-46ec-8f18-ccb8fac3ecff,,split_by_expression,125;1620
19,send_message,18,ABTest_test-first-person_alternative,,,,,"Masaya akong malaman na maganda ang kinalabasan nito. Ayon sa mga pag-aaral, ang pagbibigay-suporta ng magulang ay nakakatulong sa pagkatuto ng anak at sa mga karangalang nakukuha nila sa paaralan!",,,,,,,,,,,,,,,fb629f43-a197-434d-85ca-dfdb81495ac6,,execute_actions,250;1820
