row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,461f9650-e170-4c10-9e56-0adceb8fca43,,split_by_expression,1515;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nagamit mo ba ang mga tip para suportahan ang mga positibong relasyon sa pamilya?,Oo,Hindi,,,,,,,,,,,,,5f48715a-4cd8-4fb5-acc7-6e64a5e6fb2a,,execute_actions,1390;200
3,send_message,1,,,,,,Magandang araw! Nagamit mo ba ang mga tip para suportahan ang mga positibong relasyon sa pamilya?,Oo,Hindi,,,,,,,,,,,,,9c8c28a0-9c8f-4cbf-a979-4b6e8608c408,,execute_actions,1640;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,03776c81-edd9-4347-aea3-3521fe8d38e4,,wait_for_response,1950;380
5,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,0e3fe458-63e8-4322-8ad6-afb1d6a6ede1,,execute_actions,1930;740
6,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,41a1f3a9-19f2-40a3-b06a-4c5e3d03eb27,,execute_actions,2500;500
7,save_value,6,,,,,last interaction,@(now()),,,,,,,,,,,,,,,41a1f3a9-19f2-40a3-b06a-4c5e3d03eb27,,execute_actions,2500;500
8,go_to,7,,,,,,1,,,,,,,,,,,,,,,,,,
9,split_by_value,4,Oo y o,,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,720f4103-fa39-42e4-a3a9-2ed9c3054cf9,,split_by_expression,755;520
10,save_value,9,,@fields.user_name,has_text,user_name,last interaction,@(now()),,,,,,,,,,,,,,,cee90251-4257-4d0e-8eb1-6580fc639283,,execute_actions,630;720
11,send_message,10,,,,,,Mahusay at naglaan ka ng oras para gawin ito @fields.user_name. Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,cee90251-4257-4d0e-8eb1-6580fc639283,,execute_actions,630;720
12,save_value,9,,,,,last interaction,@(now()),,,,,,,,,,,,,,,afa6f7fd-3c05-4203-888c-7685b6168c68,,execute_actions,880;720
13,send_message,12,,,,,,Mahusay at nabigyan mo ito ng oras. Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,afa6f7fd-3c05-4203-888c-7685b6168c68,,execute_actions,880;720
14,wait_for_response,11;13,,,,,checkin_how,,,,,,,,,,,,,,,,2208a18e-2352-4384-addb-389f3f09d5a9,,wait_for_response,610;980
15,split_by_group,14,mahusay,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,8c175a96-9b0b-4e2a-9a1d-71adc205e6d9,,split_by_expression,185;1100
16,send_message,15,ABTest_test-first-person_alternative,,,,,Masaya akong marinig na maganda ang kinalabasan nito! Ang pagbubuo ng relasyon sa pamilya na puno ng suporta ay nagdudulot ng masaya at mapayapang tahanan!,,,,,,,,,,,,,,,9f5461ac-9486-4efd-97ca-cf4e4584600d,,execute_actions,310;1300
17,send_message,15;15,ABTest_test-first-person_Default;,,,,,Masaya kaming marinig na maganda ang kinalabasan nito! Ang pagbubuo ng relasyon sa pamilya na puno ng suporta ay nagdudulot ng masaya at mapayapang tahanan!,,,,,,,,,,,,,,,19cb2d70-9e3d-468f-b488-0cfbb525abcc,,execute_actions,60;1300
18,send_message,14,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,8471e23d-8bb0-458d-a5a8-28c01c6a1230,,execute_actions,1640;1020
19,go_to,18,,,,,,9,,,,,,,,,,,,,,,,,,
20,send_message,14;14;5,sakto lang;hindi mabuti;,,has_any_word;has_any_word;,Neutral;Bad;,,Okay lang ‘yan! Ano para sa iyo ang mahirap tungkol sa pagsuporta sa positibong mga relasyon sa pamilya?,Nahihirapan akong gumamit ng positibong pananalita sa pakikipag-usap sa aking pamilya,Hindi ko alam kung paano hikayatin ang ibang miyembro ng aking pamilya na tumulong sa pagbuo ng maayos na sistema ng suporta sa aming tahanan,Hindi ko alam kung paano ipakita sa iba na ako ay nakikinig sa kanila,Ako ay pagod na at nalulula sa dami at laki ng aking kinakaharap,Hindi ko alam kung ano ang maaari kong i-ambag para sa maayos na sistema ng suporta sa aming tahanan,,,,,,,,,,e56d43c8-0c30-49de-b048-6daadcb3e0c3,,execute_actions,2540;1380
21,wait_for_response,20,,,,,checkin_problem,,,,,,,,,,,,,,,,750dbe3c-8dc6-4d3d-968e-28890614e61a,,wait_for_response,1950;1680
22,split_by_group,21,nahihirapan akong gumamit ng positibong pananalita habang kinakausap ang aking pamilya,,has_only_phrase,I am finding it difficult to use pos,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,4d861606-c4b7-48b7-b327-19fe415f4af6,,split_by_expression,1785;2080
23,send_message,22,ABTest_test-first-person_alternative,,,,,"Naiintindihan ko! Sa susunod na mapansin mong nagagalit ka na, subukang huminga nang malalim. Matutulungan ka nitong manatiling kalmado at mapangasiwaan ang iyong mga emosyon. Kaya mo ‘yan! ",,,,,,,,,,,,,,,24ce5c45-d7d0-484e-b8bb-c75c7d007e63,,execute_actions,1910;2480
24,send_message,22;22,ABTest_test-first-person_Default;,,,,,"Naiintindihan namin! Sa susunod na mapansin mong nagagalit ka na, subukang huminga nang malalim. Matutulungan ka nitong manatiling kalmado at mapangasiwaan ang iyong mga emosyon. Kaya mo ‘yan! ",,,,,,,,,,,,,,,7eef7e9c-b095-4138-a9bf-267846fd6d86,,execute_actions,1660;2480
25,split_by_group,21,hindi ko alam kung paano hikayatin ang ibang miyembro ng aking pamilya para bumuo ng maayos na sistema ng suporta sa aming tahanan,,has_only_phrase,I don't know how to get others in my,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,d7da9658-95eb-4d05-8a1a-4701bad70516,,split_by_expression,2255;2280
26,send_message,25,ABTest_test-first-person_alternative,,,,,"Naiintindihan ko! Maaari mong subukan sa pamamagitan ng pagmodelo ng ugaling gusto mong makita sa iba. Malaking impluwensya rin sa pag-uugali ng ating mga anak kung paano tayo magsalita at kumilos! Subukang makipag-usap ng maayos sa lahat ng miyembro ng iyong pamilya, mga matatanda at bata...at tingnan kung anong mangyayari!",,,,,,,,,,,,,,,26d882de-a291-4a37-9d1d-ff65f3d1f005,,execute_actions,2380;2480
27,send_message,25;25,ABTest_test-first-person_Default;,,,,,"Naiintindihan namin! Maaari mong subukan sa pamamagitan ng pagmodelo ng ugaling gusto mong makita sa iba. Malaking impluwensya rin sa pag-uugali ng ating mga anak kung paano tayo magsalita at kumilos! Subukang makipag-usap ng maayos sa lahat ng miyembro ng iyong pamilya, mga matatanda at bata...at tingnan kung anong mangyayari!",,,,,,,,,,,,,,,4fc7de5a-e95d-4dab-9e5c-5b69c637db10,,execute_actions,2130;2480
