row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,2705f527-569c-49be-84ce-0499736d9835,,split_by_expression,1005;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nasubukan mo na bang isali ang iyong kinakasama sa paggawa mo ng desisyon kamakailan lang?,Oo,Hindi,,,,,,,,,,,,,f22ec596-b26e-4d03-b577-96e260b60499,,execute_actions,880;200
3,send_message,1,,,,,,Magandang araw! Nasubukan mo na bang isali ang iyong kinakasama sa paggawa mo ng desisyon kamakailan lang?,Oo,Hindi,,,,,,,,,,,,,ae8bf6da-eed6-4eba-993e-1b2c5037fdfb,,execute_actions,1130;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,bf066e7f-ad95-4dc7-86b4-bdc0b5088882,,wait_for_response,1130;360
5,split_by_value,4,Oo y o,,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,01303e40-e616-4335-a372-22454dc6f120,,split_by_expression,555;500
6,send_message,5,,@fields.user_name,has_text,user_name,,Mahusay @fields.user_name! Ang pakikipag-usap at pakikipagtulungan sa iyong kinakasama ay maaaring magdulot ng pagbabago!,,,,,,,,,,,,,,,e6829329-4cea-4b62-bf54-a9e46f964602,,execute_actions,430;700
7,send_message,5,,,,,,Mahusay! Ang pakikipag-usap at pakikipagtulungan sa iyong kinakasama ay maaaring magdulot ng pagbabago!,,,,,,,,,,,,,,,224364f7-cd28-4960-84fe-41b7e5a376af,,execute_actions,680;700
8,save_value,6;7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,c4e8fb50-6e48-4c33-8576-0d83ede1b3dc,,execute_actions,410;840
9,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,2436588c-0dc8-48a3-8e04-6f6d1511999f,,execute_actions,1230;760
10,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,a771e121-21e6-4623-8c80-14b2e544831d,,execute_actions,1450;260
11,save_value,10,,,,,last interaction,@(now()),,,,,,,,,,,,,,,a70af18a-628b-4fca-a76c-bbfc511e30f1,,execute_actions,1450;400
12,go_to,11,,,,,,1,,,,,,,,,,,,,,,,,,
13,send_message,8,,,,,,Kumusta ang iyong naging karanasan?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,7c87ce15-9ca8-4e28-b6f9-cac571050514,,execute_actions,410;1160
14,wait_for_response,13,,,,,checkin_how,,,,,,,,,,,,,,,,47d0ec2b-4bd8-4015-9ff9-0f35fe3fe371,,wait_for_response,410;1320
15,send_message,14,mahusay,,has_any_word,Great,,Mahusay ‘yan!,,,,,,,,,,,,,,,c2594253-4c50-47d0-85c7-9bdf66c9a648,,execute_actions,330;1500
16,send_message,14,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,2318d536-3b58-499f-97eb-2b8a1d7e61ff,,execute_actions,860;1460
17,go_to,16,,,,,,13,,,,,,,,,,,,,,,,,,
18,split_by_group,14;9,saktong sama;,,has_any_word;,Neutral bad;,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,b05a7379-d989-44bd-a32c-823bae30398f,,split_by_expression,1655;860
