row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,d39390f0-a7c2-4b61-aef8-8a3586cccbc3,,split_by_expression,1395;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,a2c14693-3c19-4c1b-9dc8-51c9b858336f,,split_by_expression,1145;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Magandang araw @fields.user_name! Naisama mo ba si @fields.child_nickname sa paglutas ng mga problema?,Oo,Hindi,,,,,,,,,,,,,8986b239-38e6-4408-bf54-696efce0ca94,,execute_actions,1020;600
4,send_message,2,,,,,,Magandang araw @fields.user_name! Naisama mo ba ang inyong anak o teenager sa paglutas ng mga problema?,Oo,Hindi,,,,,,,,,,,,,6f849526-dc53-43cf-a893-45e9feb368b0,,execute_actions,1270;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,8f790be4-713b-4d3b-8b26-9dd9ec766521,,split_by_expression,1645;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Magandang araw! Naisama mo ba si @fields.child_nickname sa paglutas ng mga problema?,Oo,Hindi,,,,,,,,,,,,,acd25c4d-6683-4fe4-ae97-a14f22a2f272,,execute_actions,1520;600
7,send_message,5,,,,,,Magandang araw! Naisama mo ba ang inyong anak o teenager sa paglutas ng mga problema?,Oo,Hindi,,,,,,,,,,,,,783a3e88-f3a0-42ea-8f1b-b90fd2ad12ba,,execute_actions,1770;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,2d98efd2-1c36-4f3d-b24e-5c86b0ed4651,,wait_for_response,1000;780
9,save_value,8,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,5ed1faec-cfe9-4db9-bbd2-7b1aa14c5c78,,execute_actions,980;1140
10,send_message,8,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,40c9b9a5-f5f6-440e-b99d-2f4271a38f88,,execute_actions,2300;840
11,save_value,10,,,,,last interaction,@(now()),,,,,,,,,,,,,,,40c9b9a5-f5f6-440e-b99d-2f4271a38f88,,execute_actions,2300;840
12,go_to,11,,,,,,1,,,,,,,,,,,,,,,,,,
13,split_by_value,8,Oo y o,,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,41a94122-8e1e-4fa7-937b-e59034dfad05,,split_by_expression,305;940
14,save_value,13,,@fields.user_name,has_text,user_name,last interaction,@(now()),,,,,,,,,,,,,,,90b46d7d-7e20-4508-86e8-6c5157407f3a,,execute_actions,180;1140
15,send_message,14,,,,,,Mahusay at sinubukan mo ito @fields.user_name! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,90b46d7d-7e20-4508-86e8-6c5157407f3a,,execute_actions,180;1140
16,save_value,13,,,,,last interaction,@(now()),,,,,,,,,,,,,,,48face2b-d299-49d5-8246-f76a590cb43d,,execute_actions,430;1140
17,send_message,16,,,,,,Magaling at sinubukan mo! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,48face2b-d299-49d5-8246-f76a590cb43d,,execute_actions,430;1140
18,wait_for_response,15;17,,,,,checkin_how,,,,,,,,,,,,,,,,6780c221-320a-4970-be06-1287961424e1,,wait_for_response,430;1360
19,send_message,18,mahusay,,has_any_word,Great,,"Mahusay! Ipagpatuloy mo lang yan! Kapag mas madalas mong sinasali ang inyong mga anak sa paglutas ng mga problema, mas lalo silang matututong gawin ito nang mag-isa.",,,,,,,,,,,,,,,351ff8ae-aad3-4fd7-a329-afd74be26bf6,,execute_actions,;1720
20,send_message,18,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,a34eabfd-19b8-46cc-892b-c4e75fc35384,,execute_actions,800;1840
21,go_to,20,,,,,,13,,,,,,,,,,,,,,,,,,
22,split_by_value,18;18;9,sakto lang;hindi mabuti;,,has_any_word;has_any_word;,Neutral;Bad;,,@fields.user_name,,,,,,,,,,,,,,,e5aad4e6-d9e6-4308-9fec-b1d6c956c430,,split_by_expression,2055;1380
23,send_message,22,,@fields.user_name,has_text,user_name,,Okay lang ‘yan @fields.user_name! Saan ka nahirapan?,Nakalimutan ko ang mga hakbang sa paglutas ng mga problema,Hindi kami nagkasundo sa iisang solusyon na maaari naming subukan at kami ay nagtalo,Nagalit ang aking anak na bata o teenager at ayaw niyang pag-usapan ang problema,Hindi ako nagkaroon ng pagkakataon na isama ang aking mga anak sa paghahanap ng solusyon sa aming problema,,,,,,,,,,,26ef95af-b67e-4b41-9ef6-af49af206bf1,,execute_actions,1930;1580
24,send_message,22,,,,,,Okay lang ‘yan! Saan ka nahirapan?,Nakalimutan ko ang mga hakbang sa paglutas ng mga problema,Hindi kami nagkasundo sa iisang solusyon na maaari naming subukan at kami ay nagtalo,Nagalit ang aking anak na bata o teenager at ayaw niyang pag-usapan ang problema,Hindi ako nagkaroon ng pagkakataon na isama ang aking mga anak sa paghahanap ng solusyon sa aming problema,,,,,,,,,,,c769f30f-e73a-4ded-aa3c-c30c168132d0,,execute_actions,2180;1580
25,wait_for_response,23;24,,,,,checkin_problem,,,,,,,,,,,,,,,,e3a1c8f9-88f6-4196-b223-bd308af9af67,,wait_for_response,1890;1880
