row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,896a11b9-6d2e-488c-82c6-fd54da53242c,,split_by_expression,2395;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,38388ed4-760d-495f-ab54-38d7ab6ddf86,,split_by_expression,2145;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Magandang araw @fields.user_name! Nasubukan mo na bang ibaling ang atensyon ni @fields.child_nickname kapag siya ay gumagawa ng hindi magandang kilos?,Oo,Hindi,,,,,,,,,,,,,50bb9476-6f8b-46cb-9fd8-620b8c6f6b95,,execute_actions,2020;600
4,send_message,2,,,,,,Magandang araw @fields.user_name! Nasubukan mo na bang ibaling ang atensyon ng iyong anak kapag siya ay gumagawa ng hindi magandang kilos?,Oo,Hindi,,,,,,,,,,,,,670fd861-887a-4111-b647-2d3dcd7ed6e3,,execute_actions,2270;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,3ec73cbf-1c2d-4202-81a8-f500a7a6c15d,,split_by_expression,2645;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Magandang araw! Nasubukan mo na bang ibaling ang atensyon ni @fields.child_nickname kapag siya ay gumagawa ng hindi magandang kilos?,Oo,Hindi,,,,,,,,,,,,,ecebdcdd-0f51-484a-839d-cfa6fb7990aa,,execute_actions,2520;600
7,send_message,5,,,,,,Magandang araw! Nasubukan mo na bang ibaling ang atensyon ng iyong anak kapag siya ay gumagawa ng hindi magandang kilos?,Oo,Hindi,,,,,,,,,,,,,85efec73-1712-4752-afd3-64fafbcab4b7,,execute_actions,2770;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,904fa405-c0cb-4e76-9174-40a35c6c1813,,wait_for_response,2000;800
9,save_value,8,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,56f13045-1894-4d03-a7b3-f81660e53948,,execute_actions,3260;1580
10,send_message,9,,,,,,"Ok lang 'yan. Minsan mahirap maalala ito. Sa susunod na mapansin mo na hindi mapakali ang inyong anak, subukang ibaling ang kanilang atensyon sa ibang bagay. Pwede kayong maglaro ng masayang game nang magkasama!",,,,,,,,,,,,,,,56f13045-1894-4d03-a7b3-f81660e53948,,execute_actions,3260;1580
11,send_message,8,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,8af841ec-3d4c-49c6-b22c-3345989f5b68,,execute_actions,3460;740
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,8af841ec-3d4c-49c6-b22c-3345989f5b68,,execute_actions,3460;740
