row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,d028130d-88f2-4c84-b319-b96211e01b34,,split_by_expression,1145;
2,send_message,1,,@fields.child_nickname,has_text,child_nickname,,Nakagawa ka ba ng ISANG patakaran o pang-araw-araw na gawain kasama ni @fields.child_nickname?,Oo,Hindi,,,,,,,,,,,,,77e46645-9adc-4458-8fc8-e81aa0651916,,execute_actions,1020;200
3,send_message,1,,,,,,Nakapagtatag ka ba ng isang patakaran o araw-araw na iskedyul kasama ang iyong bata o teenager?,Oo,Hindi,,,,,,,,,,,,,58823727-4696-45f3-8dd5-154302fd8e70,,execute_actions,1270;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,4f50ee4e-a407-4734-9f63-302c666c7d6b,,wait_for_response,1270;400
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,c604c319-96d9-458a-b7d5-be5c96f87494,,execute_actions,410;500
6,send_message,5,,,,,,"Nakakatuwang marinig ito! Tandaan, kapag mas sinasama natin ang ating mga anak sa pagbubuo ng mga patakaran, mas susundin nila ito!",,,,,,,,,,,,,,,5f9f8ee2-5e08-4fe6-93f7-48facd3a71ee,,execute_actions,410;600
7,split_by_value,4,Hindi n h,,has_any_word,No,,@fields.child_nickname,,,,,,,,,,,,,,,161a5aae-a2d7-4777-8346-de259af87ced,,split_by_expression,1495;620
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Pasensiya na at hindi mo pa nagawa ito. Maupo kasama ni @fields.child_nickname at subukan muli sa araw na ito. Ang pagsali ng iyong mga anak ay maghihikayat sa kanila na sundin ang patakaran nang mas madalas! ,,,,,,,,,,,,,,,8bbe7a09-4e47-4318-9cda-8dbaefe30605,,execute_actions,1370;820
9,send_message,7,,,,,,Pasensiya na kung hindi mo pa nagawa ito. Maupo kasama ng iyong batang anak o teenager at subukan muli sa araw na ito. Ang pagsali ng iyong mga anak ay maghihikayat sa kanila na sundin ang patakaran nang mas madalas! ,,,,,,,,,,,,,,,99c58df2-4d98-454e-9954-d83b06871f41,,execute_actions,1620;820
10,save_value,8;9,,,,,last interaction,@(now()),,,,,,,,,,,,,,,1d4cb213-6f1a-4165-b385-1ffaebfb7cfd,,execute_actions,1910;1020
11,send_message,4,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,ae8fd10b-1f43-482c-9045-6df3ff22fea6,,execute_actions,2210;420
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,4507d363-359a-4690-9a59-8bdc3fc410af,,execute_actions,2210;540
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
