row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Helping your children learn,,,,,,,,,,,,,,,2813fff0-344e-4767-a6c6-6c99fd7d5f1d,,execute_actions,1000;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,b9b0caec-4b14-473e-95a9-0a48597722b7,,split_by_subflow,980;120
3,send_message,2;2,Complete;Expired,,,,,"Nakagambala ang COVID-19 sa pag-aaral ng ating mga anak dahil sa mga pagsara ng paaralan at online learning. Normal lamang na mataranta, lalong lalo na kung nababahala din tayo sa trabaho at pera. ",,,,,,,,,,,,,,,797f18be-2d85-40a0-bcf0-aed3fd449340,,execute_actions,650;260
4,split_by_value,3,,,,,,@fields.toolkit,,,,,,,,,,,,,,,df8db311-5559-4e43-844b-49b058a0effd,,split_by_contact_field,650;700
5,split_by_group,4,@results.skill,@fields.toolkit,has_phrase,already completed,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,2ffb574a-756b-4b17-8034-c87aa6647e4c,,split_by_expression,165;440
6,send_message,5,ABTest_test-first-person_alternative,,,,,Alam kong nakuha mo na ang tip na ito (mahusay!). Gusto mo bang balikan at aralin itong muli?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/Family_writing_together.jpg,,,,f88b7c73-4197-4707-a55f-75e6e49faecd,,execute_actions,290;640
7,send_message,5;5,ABTest_test-first-person_Default;,,,,,Alam naming natanggap mo na ang tip na ito (mahusay!). Gusto mo bang balikan at aralin itong muli?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/Family_writing_together.jpg,,,,96928772-8361-4886-9a53-69f777d7a7ee,,execute_actions,40;640
8,send_message,4,,,,,,Gusto mo bang malaman kung papaano suportahan ang iyong mga anak sa online learning at pagbabalik sa paaralan?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/Family_writing_together.jpg,,,,324aae9a-0dcd-4d9b-999c-1719e3bf2e49,,execute_actions,1260;420
9,wait_for_response,6;7;8,,,,,know_more,,,,,,,,,,,,,,,,00a8eca6-d127-4169-ae16-7931ae305b3e,,wait_for_response,470;860
10,save_value,9,Oo y o,,has_any_word,Yes,from theme,yes,,,,,,,,,,,,,,,1335accf-5db5-4ba6-bf67-80ae08e215d5,,execute_actions,1240;940
11,save_value,10,,,,,last interaction,@(now()),,,,,,,,,,,,,,,1335accf-5db5-4ba6-bf67-80ae08e215d5,,execute_actions,1240;940
12,start_new_flow,11,,,,,,PLH - Content - Positive - Education,,,,,,,,,,,,,,d281a3b5-b601-492a-9a2c-da0a67303ec3,e18bdd83-0b7e-44ee-84f7-c4888ed38511,,split_by_subflow,1240;1320
13,save_value,12,Expired,,,,has expired,tip,,,,,,,,,,,,,,,13c9d136-a5d0-4ecc-aeb8-60feaaab855b,,execute_actions,1660;1300
14,send_message,13,,,,,,"Mukhang abala ka ngayon. Pwede mong i-type ang ""GoBack"" para ulitin ang parenting tip na ito o ""Help"" para sa iba pang suporta.",,,,,,,,,,,,,,,fba54b6b-4619-416d-99f0-6bb4a69b4cc8,,execute_actions,1680;1420
15,save_value,12;14,Complete;,,,,from theme,no,,,,,,,,,,,,,,,74587484-6f5b-488b-a8a6-1dd89db5bc03,,execute_actions,1160;1540
16,split_by_value,9,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,f6cf639a-14e5-469b-ab02-9c1001fa717b,,split_by_expression,815;1040
17,send_message,16,,@fields.user_name,has_text,user_name,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,5e105183-b9c7-4df0-9116-c8a9c53ade1e,,execute_actions,690;1240
18,send_message,16,,,,,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya!",,,,,,,,,,,,,,,3769a9d1-a60f-4789-959f-83fe5265e49e,,execute_actions,940;1240
19,save_value,17;18,,,,,last interaction,@(now()),,,,,,,,,,,,,,,f375f094-b131-4da7-a6e5-b46ce84f4e85,,execute_actions,940;1420
20,send_message,9,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,c0b64b7f-9a04-4442-9f9c-16e8f2a0f1a0,,execute_actions,;1000
21,save_value,20,,,,,last interaction,@(now()),,,,,,,,,,,,,,,e349de85-5678-497f-b6b5-0aa9c075e707,,execute_actions,;1340
22,go_to,21,,,,,,4,,,,,,,,,,,,,,,,,,
