row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Keeping it positive,,,,,,,,,,,,,,,0663d099-c6a8-4fe9-8166-31a9af0e1d8d,,execute_actions,1350;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,7f08369f-f153-4339-b1ac-d07e3ff4cafb,,split_by_subflow,1430;140
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,fb1b4aaa-1d73-4dd8-9367-ab9fe5193d8a,,split_by_contact_field,740;120
4,split_by_value,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,@fields.user_name,,,,,,,,,,,,,,,b8251852-dfed-49b8-8af4-01af395f3a66,,split_by_expression,905;260
5,send_message,4,,@fields.user_name,has_text,user_name,,"Magandang araw @fields.user_name! Ang pag-aalaga ng mga bata ay minsan mahirap...kahit pa sa mga panahon ng kasiyahan. Minsan, hindi natin napapansin ang mabubuting gawi ng ating mga anak. Ngunit kapag sila ay gumagawa ng hindi magandang kilos, maaari itong magdulot ng matinding stress!",,,,,,,,,,,,,,,2ea49b90-2c79-4962-ba3d-227dbf10ad71,,execute_actions,780;460
6,send_message,4,,,,,,"Magandang araw! Ang pag-aalaga ng mga bata ay minsan mahirap...kahit pa sa mga panahon ng kasiyahan. Minsan, hindi natin napapansin ang mabubuting gawi ng ating mga anak. Ngunit kapag sila ay gumagawa ng hindi magandang kilos, maaari itong magdulot ng matinding stress!",,,,,,,,,,,,,,,d761c32f-df9d-45f4-beef-45b9eceb38d4,,execute_actions,1030;460
7,send_message,5;6,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,fa4d0dd5-b020-45ec-87f1-1f64be522b55,,execute_actions,1450;580
8,wait_for_response,7,,,,,know_more,,,,,,,,,,,,,,,,83db6ccf-b1e5-49a6-bf69-4f04b05f0c57,,wait_for_response,3320;740
9,save_value,8,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,3ff104cd-a863-49a8-975b-4c75dd6e7bc4,,execute_actions,1390;1280
10,split_by_value,9,,,,,,@fields.type_of_media,,,,,,,,,,,,,,,112f6664-e668-46e0-aeaf-88297b354369,,split_by_contact_field,450;680
11,split_by_value,10,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,6cecffaf-ae4c-4584-9b63-a615a0b67391,,split_by_expression,125;780
