row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Keeping your child safe online,,,,,,,,,,,,,,,b731849e-0e74-4d6c-a19e-9914c45c7575,,execute_actions,340;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,712a8a43-3186-497a-836a-9f9f95710ed8,,split_by_subflow,520;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,7a1c2674-be28-480b-ae4d-a065c8d0eea5,,split_by_contact_field,180;820
4,send_message,3,,,,,,Mas marami na tayong oras na iginugugol online. Ang pagiging konektado ay nakatutulong na manatiling positibo tayo…pero may mga panganib din ito.,,,,,,,,,,,,,,,d5eedd42-cedf-4358-bb98-4a3b73c2aa02,,execute_actions,2680;1160
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,5b9e3f30-e9d9-4c5e-b550-8c6eea39f509,,split_by_contact_field,180;4220
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video na makatutulong upang maiwasan ang mga panganib online.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Online_Safety.m4v,,c743935e-b4da-4310-8222-e9a3aaf3e644,,execute_actions,40;4400
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Pwedeng pakinggan itong mensahe na makatutulong upang maiwasan ang mga panganib online.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Online_Child_Safety.mp3,,,939e1eba-837b-4348-b15d-d9f757f909fb,,execute_actions,340;4400
8,wait_for_response,6;7,,,,,Result 6,,,,,,,,,,,,,,,,9c694994-c0b3-4095-b163-929ce3edfad2,120,wait_for_response,20;4620
9,start_new_flow,5;8;8,;;No Response,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,30794066-5f17-4608-ac6d-cd2e135be918,,split_by_subflow,240;7220
10,send_message,4,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,5ac8f517-490d-4b2a-8f4f-aa160e59cc68,,execute_actions,500;3220
