row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Keeping your child safe online,,,,,,,,,,,,,,,785072c0-89f7-43d1-ab6e-7cfe264c0b9f,,execute_actions,610;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,215be7b7-2c4d-4b4e-8ae3-a9a98c47b1b2,,split_by_subflow,1060;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,5ca883d0-ecd3-4cb2-af9b-e33524b4ff9b,,split_by_contact_field,350;280
4,send_message,3,,,,,,Ang ating mga nakababatang anak at teenager ay mas marami nang iginugugol na oras online. Ang pagiging konektado ay nakatutulong sa kanila na manatiling positibo...pero may mga panganib din ito.,,,,,,,,,,,,,,,61025f26-dcb7-49a7-a18c-bfeded7dcb99,,execute_actions,1120;520
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,451e4d79-f810-411d-8482-014096be1f26,,split_by_contact_field,670;840
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video upang mapanatiling ligtas ang inyong anak sa internet.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Online_Child_Safety.m4v,,61dbdca0-e078-4923-a82a-a5d795180bb6,,execute_actions,350;940
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Narito ang isang audio message na pwedeng pakinggan upang mapanatiling ligtas ang mga anak mo sa loob ng internet.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Online_Child_Safety.mp3,,,88d4bc8a-c43f-4d42-b7c6-f71ec13af26a,,execute_actions,630;960
8,wait_for_response,6;7,,,,,Result 4,,,,,,,,,,,,,,,,421c40d6-0cd7-4b29-9596-ed9b2a37d183,120,wait_for_response,370;1320
9,start_new_flow,5;8;8,;;No Response,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,66d26200-b337-450a-885d-e622d73271b1,,split_by_subflow,1060;1320
10,send_message,4,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/children_sitting_on_a_couch_with_tablet.jpg,,,,d54c41ba-e696-4792-b9fb-383e102c68d2,,execute_actions,3710;560
11,wait_for_response,10,,,,,Result 3,,,,,,,,,,,,,,,,8a2d6ed0-4535-4415-9943-b2ae98af25e5,3600,wait_for_response,3050;780
12,go_to,11,Oo y o,,has_any_word,Yes,,5,,,,,,,,,,,,,,,,,,
13,send_message,11,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,e3431d06-24df-4f7a-8453-7046d9e1c5a7,,execute_actions,4180;820
14,go_to,13,,,,,,10,,,,,,,,,,,,,,,,,,
15,split_by_value,11;11,Hindi n h;No Response,,has_any_word;,No;,,@fields.user_name,,,,,,,,,,,,,,,a37a6d08-8218-4821-afe1-e6c2bb39ab8d,,split_by_expression,3565;1000
