row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Setting household rules,,,,,,,,,,,,,,,205f8870-6ecf-4d3f-a066-f1a19b146727,,execute_actions,160;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,63170fb3-f685-4c67-8a32-e45b927a43ab,,split_by_subflow,120;140
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,df00fb0f-2aa1-48ee-8d73-fcb50c38cd5b,,split_by_contact_field,120;360
4,send_message,3,,,,,,Ang mga panuntunan sa bahay ay makatutulong sa ating mga anak upang maging ligtas sa mga potensyal na panganib sa loob at labas ng bahay. Nakatutulong din sila sa ating mga anak para malaman nila kung ano ang mga inaasahan natin sa kanila.,,,,,,,,,,,,,,,9e860a03-8419-4e39-8469-13fa10fc94a6,,execute_actions,580;520
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,dfeed5cf-e558-4e85-b130-14b93c9f50f0,,split_by_contact_field,160;1360
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video para malaman kung papaano mo masasali ang inyong mga anak sa paglikha ng mga panuntunang pambahay.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Household_Rules.m4v,,1e0ba8dc-b7fa-45e7-827b-ac83ddb99015,,execute_actions,;1640
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Narito ang isang audio message na pwede mong pakinggan tungkol sa kung papaano mo maisasali ang inyong mga anak sa paglikha ng mga panuntunan sa bahay.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Household_Rules.mp3,,,8fc3946f-3c30-4998-b43d-f5181e3c0c08,,execute_actions,200;1460
8,wait_for_response,6;7,,,,,Result 3,,,,,,,,,,,,,,,,0fe6a9d0-7023-4443-bac3-f75be0cca164,120,wait_for_response,180;1800
9,send_message,5;8;8,;;No Response,,,,,"Narito ang ilang mga simpleng paraan para maglikha ng panuntunang pambahay kasama ang inyong mga anak: 

• Isali ang inyong anak sa paglikha ng mga panuntunang pambahay.
• Gawing tiyak at malinaw ang inyong mga panuntunan.
• Siguraduhin na naiintindihan ng inyong anak ang mga dahilan kung bakit kayo lumilikha ng mga panuntunan sa bahay.
• Gawing patas at praktikal ang inyong panuntunan sa bahay (tulad ng mga bilin).
• Ang mga simpleng papuri at premyo ay makakatulong sa inyong anak upang sumunod sa mga panuntunan sa bahay.
• Paisa-isang patakaran lamang.",,,,,,,,,,,,,,,16f86f4f-24f6-4566-ba36-64c9322e7fbe,,execute_actions,180;1940
10,send_message,9,,,,,,Ang mga bata at teeanger ay mas madalas maging online ngayon. Narito ang isang komiks tungkol sa kung paano makagagawa ng ligtas at mabuting gawi patungkol sa internet tulad ng pag-schedule ng oras online at offline.,,,,,,,,,,,,,,,e0ca3af8-aa71-4576-b661-a0b366aa15d4,,execute_actions,180;3840
11,send_message,10,,,,,,"Magulang: “Juan, mukhang madalas mo na ginagamit ang iyong tablet. Sa tingin mo, bakit ko inaalala ito?"" 

Anak: “Um...kasi hindi ko ginagawa ang gawain ko sa paaralan?” 

(1)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_a_tech_agreement_with_your_teen_comic_1.png,,,,e0ca3af8-aa71-4576-b661-a0b366aa15d4,,execute_actions,180;3840
12,send_message,11,,,,,,"Magulang: “Oo, iyan ang isang dahilan.  Mahalaga na tutukan mo pa rin ang iyong mga gawain sa paaralan. Gusto ko ring nakikita ka na mas aktibo. Siguro puwede tayong gumawa ng patakaran sa bahay tungkol sa paggamit ng gadget. Ano sa tingin mo ang patas na limitasyon bawat araw? 

Anak: “Um...dalawang oras kada araw?”

(2)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_a_tech_agreement_with_your_teen_comic_2.png,,,,e0ca3af8-aa71-4576-b661-a0b366aa15d4,,execute_actions,180;3840
13,send_message,12,,,,,,"Magulang: “Hmmm...sa tingin ko ay masyadong matagal ito. Marami ka pang ibang gawain sa araw-araw.” 

Anak: “Paano kaya kung isang oras para sa paglaro, at isang oras para sa pag-aaral?”

(3)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_a_tech_agreement_with_your_teen_comic_3.png,,,,e0ca3af8-aa71-4576-b661-a0b366aa15d4,,execute_actions,180;3840
14,send_message,13,,,,,,"Magulang: “Mukhang reasonable naman iyon. Gusto ko rin sana na gawin mo muna ang mga gawain mo sa paaralan bago gumamit ng gadget. Mula ngayon, ang patakaran natin sa bahay ay gagawin mo muna ang iyong homework bago gumamit ng gadget, at puwede kang magkaroon ng isang oras para sa paglaro at isang oras para sa mga gawaing pag-aaral. Okay?” 

Anak: “Okay.”

(4)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/making_a_tech_agreement_with_your_teen_comic_4.png,,,,e0ca3af8-aa71-4576-b661-a0b366aa15d4,,execute_actions,180;3840
15,start_new_flow,14,,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,a758f8be-e57e-4f2e-b997-8cc45ad451b1,,split_by_subflow,480;3680
16,split_by_group,15;15,Complete;Expired,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,a9d8ef83-fe32-40eb-b334-6cfc716ff121,,split_by_expression,1985;2160
17,split_by_group,16,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,ea80b0a7-6aba-4a87-9445-49b1957ca7b3,,split_by_expression,2485;2560
18,split_by_value,17,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,43e80e8f-4b3a-41e6-b002-a2414a5c98d6,,split_by_expression,2735;3360
19,send_message,18,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nakadagdag ka ng isa pang antas sa inyong Masayang Tahanan. Sa mga susunod na araw, subukang gumawa ng isang patakaran sa bahay kasama ang inyong anak. Tandaan, kapag kasama ang inyong anak sa paggawa ng mga patakaran sa bahay, mas malamang na sundin nila ito. Ito ay isang daan tungo sa tagumpay!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,d668d7a6-b642-4d95-9918-ae10dbb51ca4,,execute_actions,2610;3560
20,send_message,18,,,,,,"Mahusay! Nakadagdag ka ng isa pang antas sa inyong Masayang Tahanan. Sa mga susunod na araw, subukang gumawa ng isang patakaran sa bahay kasama ang inyong anak. Tandaan, kapag kasama ang inyong anak sa paggawa ng mga patakaran sa bahay, mas malamang na sundin nila ito. Ito ay isang daan tungo sa tagumpay!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,5571bd4e-fc46-47d3-9fad-3a24033211bd,,execute_actions,2860;3560
21,split_by_value,17;17,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,cbec8b41-17f7-42ad-8195-f2589ad756cf,,split_by_expression,2235;3160
22,send_message,21,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! May naidagdag ka na isa pang kasanayan sa inyong Parenting Toolkit. Sa mga susunod na araw, subukang gumawa ng isang patakaran sa bahay kasama ang inyong anak. Tandaan, kapag kasama ang inyong anak sa paggawa ng mga patakaran sa bahay, mas malamang na sundin nila ito. Ito ay isang daan tungo sa tagumpay!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,24a66d1f-fad0-441c-9c6e-e0cf06f5e95f,,execute_actions,2110;3560
23,send_message,21,,,,,,"Mahusay! May naidagdag ka na isa pang kasanayan sa inyong Parenting Toolkit. Sa mga susunod na araw, subukang gumawa ng isang patakaran sa bahay kasama ang inyong anak. Tandaan, kapag kasama ang inyong anak sa paggawa ng mga patakaran sa bahay, mas malamang na sundin nila ito. Ito ay isang daan tungo sa tagumpay!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,132b95ea-db71-422c-b47d-14d63b2b0958,,execute_actions,2360;3560
