row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Understanding safe/unsafe touch,,,,,,,,,,,,,,,563cf64b-54ca-41db-933b-40b90d2ef722,,execute_actions,1240;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,bd03235f-65c7-4bab-a9e3-6ce6340ac158,,split_by_subflow,1240;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,dfbe1970-f4d0-4e2c-a9d6-8d219b41a3b3,,split_by_contact_field,1220;380
4,send_message,3,,,,,,"Nakakatakot isipin na kailangan nating pag-usapan ang pagmamalabis at abuso kasama ang ating anak. Hindi tayo sigurado sa sasabihin. Ngunit may mga simpleng bagay na makatutulong na ipaintindi sa kanila kung kailan hindi OK na sila'y mahawakan, at pwede nila tayong kausapin kung may mangyayaring ganito. ",,,,,,,,,,,,,,,90448b56-f3ab-4095-b47d-370c67152160,,execute_actions,690;360
5,send_message,4,,,,,,"Kapag magkasama kayo't naglalakad o may ginagawa nang sabay, mas madali silang kausapin. ",,,,,,,,,,,,,,,2eb8035f-eb7b-4288-b501-a4aef6f72e50,,execute_actions,180;420
6,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,b7b486c2-9150-467e-82d3-6d9aba974adb,,split_by_contact_field,1120;1320
7,split_by_value,6,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,3cbb733f-d16e-487c-a047-add772e0b8bc,,split_by_expression,935;1480
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video para malaman kung paano mo mapoprotektahan si @fields.child_nickname.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Good_Bad_Touch.m4v,,24539080-505f-48b4-8150-12ed5bb8dc20,,execute_actions,810;1680
9,send_message,7,,,,,,Pwedeng panoorin itong video para malaman kung papaano mo maproprotektan ang iyong anak.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Good_Bad_Touch.m4v,,4d664ef4-05a9-49c0-9d4b-2ee89fb0ca95,,execute_actions,1060;1680
10,split_by_value,6,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,2cf5ab15-837d-4024-a41c-0c6f6d501a19,,split_by_expression,1465;1740
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang audio message para malaman kung paano mo mapoprotektahan si @fields.child_nickname.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Good_Bad_Touch.mp3,,,9fa8d746-5f31-4ea2-a970-90c094d4e0fc,,execute_actions,1340;1940
12,send_message,10,,,,,,Narito ang isang audio message para malaman kung papaano protektahan ang inyong anak.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Good_Bad_Touch.mp3,,,e269ae86-8aeb-4e97-b8a9-1ae7ff5305de,,execute_actions,1590;1940
13,wait_for_response,11;12;8;9,,,,,Result 4,,,,,,,,,,,,,,,,aba91b88-498b-4e85-9d53-293c5b8cbb44,120,wait_for_response,1060;2040
14,start_new_flow,13;13;6,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,8cf1ebb6-909e-427c-8bcc-210a819d441a,,split_by_subflow,1100;2220
15,send_message,5,,,,,,Gusto mo bang malaman kung papaano maproprotektahan ang inyong anak laban sa abuso?,Oo,Hindi,,,,,,,,,,,,,9992f69e-e775-4ae0-a5db-0b168427174e,,execute_actions,650;720
16,wait_for_response,15,,,,,Result 1,,,,,,,,,,,,,,,,212c5990-a2a9-4b92-bc2b-2fc5504fc3fa,,wait_for_response,710;1100
17,save_value,16,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,1dea1022-ba65-4e8b-b27d-e5c9cfa6bbf5,,execute_actions,650;1240
18,go_to,17,,,,,,6,,,,,,,,,,,,,,,,,,
19,split_by_value,16,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,7edd8c49-02e7-4947-99a7-1574536b114a,,split_by_expression,2085;880
20,send_message,19,,@fields.user_name,has_text,user_name,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,ce837477-247d-4a6f-8fdc-b530654a04e5,,execute_actions,1960;1080
21,send_message,19,,,,,,"Okay lang ‘yan! I-type lamang ang ""Help"" sakaling kailanganin mo ng suporta sa iyong mga anak. Usap tayo mamaya!",,,,,,,,,,,,,,,14cda2b5-8d15-4367-ad69-c2d5e9f3e7a2,,execute_actions,2210;1080
22,save_value,20;21,,,,,last interaction,@(now()),,,,,,,,,,,,,,,969642ba-0bba-4462-a9c2-08ea8cdab0e9,,execute_actions,2250;1260
23,send_message,16,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,86c9628f-ddd4-4fd3-a394-289260840456,,execute_actions,1630;620
24,save_value,23,,,,,last interaction,@(now()),,,,,,,,,,,,,,,2440a5e2-837e-4bea-bb86-0cca5658fd8c,,execute_actions,1670;740
25,go_to,24,,,,,,15,,,,,,,,,,,,,,,,,,
