row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,ff44469c-1e24-4c38-b69e-c41cc752d6d0,,split_by_expression,425;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Talagang mahirap kontrolin ang galit. Huminto at magpahinga kapag nararamdaman mong malapit ka nang magalit sa inyong mga anak o sa ibang tao.,,,,,,,,,,,,,,,f183a652-0290-44a1-88a3-6abd23523e5a,,execute_actions,300;200
3,send_message,1,,,,,,Magandang araw! Talagang mahirap kontrolin ang galit. Huminto at magpahinga kapag nararamdaman mong malapit ka nang magalit sa inyong mga anak o sa ibang tao.,,,,,,,,,,,,,,,d1e0bc9f-f528-47b0-9b93-49746506d3d1,,execute_actions,550;200
4,send_message,2;3,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,f5a3d12d-febd-4821-b6d5-c8b77bb6a0e4,,execute_actions,180;400
5,wait_for_response,4,,,,,know_more,,,,,,,,,,,,,,,,62fe2df0-3523-4ce8-a437-f60fdeda27e2,,wait_for_response,180;540
6,send_message,5,Oo y o,,has_any_word,Yes,,"Pumunta muna sa kahit saan sa loob ng 5 minuto upang maayos mo ang inyong pakiramdam. Kapag ikaw ay may ligtas na bakuran, lumabas muna. Kakayanin mo ito!",,,,,,,,,,,,,,,5fd823fa-f9e2-4ecd-912e-482169b6f347,,execute_actions,20;680
7,save_value,6,,,,,last interaction,@(now()),,,,,,,,,,,,,,,5fd823fa-f9e2-4ecd-912e-482169b6f347,,execute_actions,20;680
8,split_by_value,7,,,,,,@fields.type_of_media,,,,,,,,,,,,,,,f7ac21b3-a9b6-47f9-94bb-a51b2bb9bf7a,,split_by_contact_field,180;920
9,send_message,8,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video upang makatulong maiwasan ang galit!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Anger_Management.m4v,,f49afa6c-ea7e-46e2-8c4c-1557d2111f97,,execute_actions,;1020
10,send_message,8,medium,@fields.type_of_media,has_any_word,Medium,,Narito ang audio message upang maiwasan ang galit!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/relaxation/fil/dealing_with_anger.mp3,,,7a1a3b8f-d61a-48ff-b927-205e6a192f9e,,execute_actions,260;1020
11,wait_for_response,10;9,,,,,Result 1,,,,,,,,,,,,,,,,d1361804-2512-463d-9450-f62c79ddd9ca,120,wait_for_response,20;1160
12,send_message,11;11;8,;No Response;,,,,,"Alam mo ba na ang mga pananaliksik ay nagsasabi na kapag nakokontrol mo ang iyong galit o gumagawa ka ng mga bagay na positibo, nakakatulong ka sa pag-improve ng brain development ng inyong anak? Maging proud ka sa inyong sarili kapag nagagawa mo ito!",,,,,,,,,,,,,,,9784aecc-755d-423c-b5c4-c4df5028fef8,,execute_actions,1450;800
13,split_by_value,12,,,,,,@fields.age_group_for_tips,,,,,,,,,,,,,,,1ae4d699-8c91-4d5e-96da-e602426470e9,,split_by_contact_field,1470;1060
14,split_by_value,13,baby,@fields.age_group_for_tips,has_any_word,Baby,,@fields.child_nickname,,,,,,,,,,,,,,,706fe956-90e8-40fa-87a8-6a0c99b6a76b,,split_by_expression,1265;1180
15,send_message,14,,@fields.child_nickname,has_text,child_nickname,,"Kapag ikaw ay nagagalit dahil ayaw tumigil ni @fields.child_nickname sa pag-iyak, okay lang na iwan mo muna siyang nakahiga sa ligtas na lugar, katulad ng crib, at lumayo muna sandali. Manatiling malapit kay@fields.child_nickname. para masubaybayan mo siya. Balik-balikan si @fields.child_nickname kada 5 hanggang 10 minuto.",,,,,,,,,,,,,,,c65db140-79da-4a2d-bb12-f2c9b0ffb3d9,,execute_actions,1140;1380
16,send_message,14,,,,,,"Kapag ikaw ay nagagalit dahil ayaw tumigil ng iyong sanggol sa pag-iyak, okay lang na iwan mo muna siyang nakahiga sa ligtas na lugar, katulad ng crib, at lumayo muna sandali. Manatiling malapit sa iyong sanggol para masubaybayan siya. Balik-balikan ang iyong sanggol kada 5-10 minuto.",,,,,,,,,,,,,,,da70bd26-c2d7-4dbe-8647-a5e8be3648f6,,execute_actions,1390;1380
17,split_by_value,13;15;16,,,,,,@fields.user_name,,,,,,,,,,,,,,,341e3a85-dfe7-4555-94b3-4affba31dee0,,split_by_expression,935;1700
18,send_message,17,,@fields.user_name,has_text,user_name,,"Sana nakatulong iyon! Tandaan na pwede mong i-type ang ""Help"" anumang oras na kailangan mo ng gawain na makakatulong sa iyong mag-relax o mabawasan ang stress. Usap tayo mamaya @fields.user_name!",,,,,,,,,,,,,,,f7f6331b-e457-444d-816c-73170578a55a,,execute_actions,810;1900
19,send_message,17,,,,,,"Sana nakatulong iyon! Tandaan na pwede mong i-type ang ""Help"" anumang oras na kailangan mo ng gawain na makakatulong sa iyong mag-relax o mabawasan ang stress. Usap tayo mamaya!",,,,,,,,,,,,,,,11f312c5-8e93-422e-a7a9-5d9612e8bfa4,,execute_actions,1060;1900
20,send_message,5,Hindi n h,,has_any_word,No,,"Okay lang ‘yan! Pwede mong i-type ang ""Help"" "" anumang oras kung kailangan mo ng gawain na makakatulong sa iyong mag-relaks o magbawas ng stress. Usap tayo mamaya!",,,,,,,,,,,,,,,61ecbd8f-3cf5-45fe-9998-d9a53c7a8fba,,execute_actions,1490;540
21,save_value,20,,,,,last interaction,@(now()),,,,,,,,,,,,,,,61ecbd8f-3cf5-45fe-9998-d9a53c7a8fba,,execute_actions,1490;540
22,send_message,5,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,fcbd73ec-4250-47bb-9828-a37ad390357a,,execute_actions,690;500
23,save_value,22,,,,,last interaction,@(now()),,,,,,,,,,,,,,,fcbd73ec-4250-47bb-9828-a37ad390357a,,execute_actions,690;500
24,go_to,23,,,,,,4,,,,,,,,,,,,,,,,,,
