row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Keeping healthy,,,,,,,,,,,,,,,878d8f2e-df70-46d8-8024-4a5088461970,,execute_actions,2380;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,0f7985f1-fc6d-4497-abce-ad3b3b1889cc,,split_by_subflow,2380;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,83ab28f4-f8a3-4ca0-8752-40121a0058bd,,split_by_contact_field,2950;220
4,split_by_value,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,@fields.user_name,,,,,,,,,,,,,,,85d5c203-2e94-44f1-bb8f-f8057cee267e,,split_by_expression,2135;280
5,send_message,4,,@fields.user_name,has_text,user_name,,"Magandang araw @fields.user_name! Kumusta ang pakiramdam mo? Kung nakakaramdam ka ng pagkataranta o stress, narito ang isang masayang gawain para mawala ang iyong stress.",,,,,,,,,,,,,,,1481b614-477a-42b1-a2f8-9fa6ac018418,,execute_actions,2010;480
6,send_message,4,,,,,,"Magandang araw! Kumusta ang pakiramdam mo? Kung nakakaramdam ka ng pagkataranta o stress, narito ang isang masayang gawain para mawala ang iyong stress.",,,,,,,,,,,,,,,604a6aa4-c121-4857-8247-d160124e09d8,,execute_actions,2260;480
7,send_message,5;6,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/dancing_family.jpg,,,,d66fc8ec-a3b6-4ed7-9872-c1547084f5bf,,execute_actions,2260;660
8,wait_for_response,7,,,,,know_more,,,,,,,,,,,,,,,,9884f4af-4df4-41e3-a6df-3cd4380d2698,,wait_for_response,2340;820
9,save_value,8,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,8a1484b0-44f0-48ce-a9cf-5931c006f5bf,,execute_actions,100;900
10,split_by_value,9,,,,,,@fields.type_of_media,,,,,,,,,,,,,,,d596e2aa-cced-4186-8cdd-9a92c1e49fae,,split_by_contact_field,80;1300
11,send_message,10,high,@fields.type_of_media,has_any_word,High,,Narito ang isang nakakaaliw na video ng pisikal na gawain na makakatulong sa iyo sa paglabas ng stress at para manatiling malusog!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Exercise.m4v,,6467557d-4e27-40d5-bd9e-6ffe93843843,,execute_actions,;1620
12,send_message,10,medium,@fields.type_of_media,has_any_word,medium,,Narito ang isang mensahe para gabayan ka sa isang nakakaaliw na gawaing pisikal!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/Exercise.mp3,,,fc142c3f-5181-4ad0-8168-fb05edfa680e,,execute_actions,1930;1460
13,wait_for_response,11;12,,,,,Result 4,,,,,,,,,,,,,,,,c313e896-a369-4d19-aed8-bb45c5aa0ab6,120,wait_for_response,100;1820
14,send_message,10;13;13,;;No Response,,,,,Tumayo at i-unat ang iyong mga balikat pataas na para bang inaabot mo ang langit. Magkunwaring tinutulak palayo ang mga ulap at hayaang sikatan ka ng araw. Mag-unat sa magkabilang gilid. Mag-unat sa harap at sa likod.,,,,,,,,,,,,,,,51d1ac51-eabb-40b9-9abc-e764f879fa19,,execute_actions,2560;1460
15,send_message,14,,,,,,"Hayaang nakabitin lamang ang kamay sa iyong tagiliran. Habang ikaw ay humihinga paloob, i-akyat ang parehong balikat sa tenga, pagsalubungin ang mga mata, ilong, at bibig sa gitna ng iyong mukha, at pigilan ang paghinga. Ilabas ang hininga at i-relax ang mga balikat at katawan.",,,,,,,,,,,,,,,3a068873-d080-4dc9-9eb6-9a933cd8fab6,,execute_actions,2540;1680
16,send_message,15,,,,,,"I-relax ang mga braso at hayaang gumalaw galaw sa iyong tagiliran, at paikutin ang itaas na bahagi ng katawan. Dapat matamaan ng iyong mga balikat ang iyong likod habang ikaw ay paulit-ulit na umiikot sa magkabilang direksyon.",,,,,,,,,,,,,,,94dd016b-87e6-46a3-a064-669afa74a798,,execute_actions,2520;1900
17,send_message,16,,,,,,"Ilagay ang isang paa sa harap ng isa pa at gumawa ng maliliit na bilog gamit ang bukong-bukong, alalahaning umikot-ikot sa parehong tagiliran. Gumawa ng apat na bilog sa bawat paa sa lahat ng direksyon.",,,,,,,,,,,,,,,39265759-a5c3-4c62-943b-e03bd402d4d5,,execute_actions,2500;2140
18,send_message,17,,,,,,"Ngayon, alug-alugin mo ang iyong katawan nang mabilis. Alugin mo nang pataas! Alugin mo nang pababa! Alugin mo sa iba't-ibang direksyon!",,,,,,,,,,,,,,,8b9e2042-ad76-4e64-a2f7-e629b299a712,,execute_actions,2500;2380
19,send_message,18,,,,,,Ipikit ang mga mata at i-angat ang mga braso dahan-dahan sa itaas ng iyong ulo habang humihinga nang papasok. Ibaba ang mga braso dahan-dahan sa tagiliran habang humihinga palabas.,,,,,,,,,,,,,,,e138fcf8-0998-4a5d-8e18-da1ba4a19729,,execute_actions,2480;2560
20,send_message,19,,,,,,Bigyan ng pagkakataon ang sarili na pagnilayan ang iyong karanasan.,,,,,,,,,,,,,,,448934f2-6563-4601-a45a-a14e226a2807,,execute_actions,2480;2760
21,start_new_flow,20,,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,49b41d6d-b8fa-4c9a-9e98-bf43179dc401,,split_by_subflow,1890;2780
22,split_by_group,21;21,Complete;Expired,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,517bd1b9-6d6e-4d99-b018-7b73443b3a31,,split_by_expression,1015;2960
23,split_by_group,22,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,5602b823-dfb8-4a0f-a8dc-8588b1f9af6e,b12f5898-d783-4c11-8311-d046f3bae031,,split_by_expression,1515;3360
24,split_by_value,23,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,2b7a3b43-2db6-4983-95c3-c3c379f5eb97,,split_by_expression,1765;4160
25,send_message,24,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! Nakadagdag ka ng isa pang antas sa iyong Masayang Tahanan. Sa mga susunod na araw, subukang mag-ehersisyo araw-araw. Magandang paraan ito para mabawasan ang stress at mapanatili ang malusog na pangangatawan. Kahit limang minuto lang sa isang araw ay makakagawa na ng pagbabago!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,20107849-fe4a-41eb-8e85-0eff111b7dc1,,execute_actions,1640;4360
26,send_message,24,,,,,,"Mahusay! Nakadagdag ka ng isa pang antas sa iyong Masayang Tahanan. Sa mga susunod na araw, subukang mag-ehersisyo araw-araw. Magandang paraan ito para mabawasan ang stress at mapanatili ang malusog na pangangatawan. Kahit limang minuto lang sa isang araw ay makakagawa na ng pagbabago!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,77c007bb-49a7-449e-9fc6-08df871d4402,,execute_actions,1890;4360
27,split_by_value,23;23,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,2c8a5f87-8898-4080-a90e-36eb872875d2,,split_by_expression,1265;3960
28,send_message,27,,@fields.user_name,has_text,user_name,,"Mahusay @fields.user_name! May naidagdag ka na isa pang kasanayan sa iyong Parenting Toolkit. Sa mga susunod na araw, subukang mag-ehersisyo araw-araw. Magandang paraan ito para mabawasan ang stress at mapanatili ang malusog na pangangatawan. Kahit limang minuto lang sa isang araw ay makakagawa na ng pagbabago!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/house_of_support/house_type/european/age_group/baby/family_type/normal/house_12.jpg,,,,c7b13896-b41f-4172-9ee2-133c499b4f7a,,execute_actions,1140;4360
