row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Taking a Pause,,,,,,,,,,,,,,,d1c7481d-b6c7-4c90-bc50-4f1be0245392,,execute_actions,310;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,22e31c0a-662d-45fd-b275-64150786621b,,split_by_subflow,290;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,a9dba51a-90fd-4bf9-86fa-e9d2896e8868,,split_by_contact_field,310;260
4,send_message,3;3,yes;,@fields.from_theme;,has_any_word;,Yes;,,Ang Tumigil nang Sandali ay isang simpleng gawain para makapagrelax na maaari mong gawin tuwing nararamdaman mong ikaw ay stressed o nag-aalala. Makakatulong din ito kapag naiirita ka sa iyong anak o nakagawa siya ng mali.,,,,,,,,,,,,,,,e80a7e2e-240b-40c3-9928-03a413afb1e9,,execute_actions,310;400
5,send_message,4,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,3c28fd6b-d876-4770-8c1e-a9def5c3a4f2,,execute_actions,310;640
6,wait_for_response,5,,,,,Result 1,,,,,,,,,,,,,,,,76b90e21-1f8d-43c4-9c9d-a67d2d521b85,,wait_for_response,;860
7,split_by_value,6,Oo y o,,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,eacd6295-e42e-4cb1-a4fa-0653b03efa7f,,split_by_contact_field,2680;100
8,send_message,7,high,@fields.type_of_media,has_any_word,High,,Narito ang isang video tungkol sa kung paano manatiling kalmado at pamahalaan ang stress sa ating mga buhay na napaka-busy.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/Keep_Calm_And_Manage_Stress_Including_Take_A_Pause.m4v,,2a3b8861-25d4-492f-88ce-1fa88f17fa6d,,execute_actions,2580;240
9,send_message,7,medium,@fields.type_of_media,has_any_word,medium,,Narito ang isang mensahe para makatulong sa iyo na tumigil nang sandali!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/relaxation/fil/take_a_pause.mp3,,,b2bf21c6-2f2a-46dd-b5b9-8a058fc7c720,,execute_actions,2800;260
10,wait_for_response,8;9,,,,,Result 3,,,,,,,,,,,,,,,,80aca0a9-c5b2-43ba-9cc8-552d357ecf65,120,wait_for_response,2600;440
11,send_message,10;10;7,;No Response;,,,,,"Sabay tayong tumigil nang sandali! Huminga nang malalim at tanungin ang sarili, ""Ano ang iniisip ko?""

Pansinin kung ang iyong mga iniisip ay positibo o negatibo. Pansinin kung ang iyong mga nararamdaman ay kaaya-aya o hindi. Anuman ang iyong nararamdaman, okay lang 'yan. Pansinin kung anong nararamdaman ng iyong katawan. Pansinin kung may masakit o tensiyonado. 
Ituon ang pansin sa iyong paghinga habang papasok at palabas ito. Gawin ito nang humigit-kumulang na sampung hininga. 
Ngayon, palawakin ang iyong kamalayan sa buong katawan. Pakinggan ang mga tunog sa kuwarto. 
Maglaan ng ilang sandali para pagnilayan kung may nag-iba ba sa iyong pakiramdam. ",,,,,,,,,,,,,,,31185234-648b-4fdf-b67e-4680528de721,,execute_actions,3080;160
12,send_message,11,,,,,,Narito ang komiks para ipaalala na ikaw ay maaaring tumigil nang sandali!,,,,,,,,,,,,,,,a31e1747-87c7-4c08-9c1b-90ab183e8e9a,,execute_actions,2760;960
13,send_message,12,,,,,,"“Paano ko ito malalampasan?”

(1)",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/comic/managing_stress_comic_1.png,,,,a31e1747-87c7-4c08-9c1b-90ab183e8e9a,,execute_actions,2760;960
