row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,fcc4b235-066a-4878-b690-f2b5c716a801,,split_by_expression,1875;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Nagkaroon ka ba ng limang minuto o mahigit pa para sa One-on-One Time kasama ang iyong mga anak sa araw na ito?,Oo,Hindi,,,,,,,,,,,,,1faab69c-dcb8-46c7-88e0-9d8414189dba,,execute_actions,1750;200
3,send_message,1,,,,,,Magandang araw! Nagkaroon ka ba ng limang minuto o mahigit pa para sa One-on-One Time kasama ang iyong mga anak sa araw na ito?,Oo,Hindi,,,,,,,,,,,,,65bca871-f778-4cee-8512-88fbe5ac4a16,,execute_actions,2250;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,ac658024-33c3-4ec8-b8d5-aa0151a979fc,,wait_for_response,2250;380
5,save_value,4,Oo y o,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,526f8c67-5034-4f07-80f5-aa0550e4a64a,,execute_actions,870;340
6,save_value,4,Hindi n h,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,5b8eb97e-c201-4bdc-9570-636b2316ebc3,,execute_actions,2270;740
7,save_value,4,,,,,last interaction,@(now()),,,,,,,,,,,,,,,7705caf2-7f6a-435f-92df-56ed398c8063,,execute_actions,4960;700
8,send_message,7,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,3c0acb8c-d5f3-450c-9e0e-e5317d0bd04b,,execute_actions,5350;320
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,b56f20fa-3f92-47d1-97c9-faf50ca0c545,,split_by_expression,745;440
11,send_message,10,,@fields.user_name,has_text,user_name,,Mabuti ‘yan @fields.user_name! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,849c50e7-bb59-4022-8cde-9b89e2c483ca,,execute_actions,620;640
12,send_message,10,,,,,,Mabuti ‘yan! Kumusta ang kinalabasan nito?,Mahusay,Sakto lang,Hindi mabuti,,,,,,,,,,,,e5c4440f-58e4-4819-a9d9-670d6200f30b,,execute_actions,870;640
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,e250fe44-8222-4187-8489-6d5b40fd807c,,wait_for_response,870;780
14,split_random,13,mahusay,,has_any_word,Great,,,,,,,,,,,,,,,,,f152da5e-15a0-468b-857a-b3db0643f631,,split_by_random,1050;1040
15,split_by_value,14,1,,,,,@fields.user_name,,,,,,,,,,,,,,,6135ccc4-eb71-429e-a403-33bf7d880f00,,split_by_expression,165;1120
16,send_message,15,,@fields.user_name,has_text,user_name,,Mabuti ‘yan @fields.user_name! Ipinapakita ng One-on-One Time sa iyong mga anak na mahalaga sila sa iyo. Ito ay talagang nakakagawa ng pagbabago!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,016f9745-913a-4356-937d-e3e397bedc66,,execute_actions,40;1520
17,send_message,15,,,,,,Mabuti 'yan! Ipinapakita ng One-on-One Time sa iyong mga anak na mahalaga sila sa iyo. Ito ay talagang nakakagawa ng pagbabago!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,41975ad2-b89a-420c-bcb1-48e545323301,,execute_actions,290;1520
18,send_message,14,2,,,,,Mahusay! Ang paggugol ng One-on-One Time kasama ang iyong mga anak ay maaaring manghikayat sila na mas tumulong nang madalas. Mabuti ang ginagawa mo!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,f45746b2-2936-4ec4-9136-eb649f454df7,,execute_actions,1030;1540
19,split_by_value,14,3,,,,,@fields.user_name,,,,,,,,,,,,,,,8ea7d9fc-523d-48e8-a461-fadd0b2ad407,,split_by_expression,2125;1560
20,send_message,19,,@fields.user_name,has_text,user_name,,Mahusay @fields.user_name! Nakakatulong ang One-on-One Time sa pagtatag ng malakas at positibong relasyon sa pagitan mo at ng iyong mga anak. Subukan mo itong gawin araw-araw!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,1aeafc48-4aa8-4aa7-a10e-db1a4d7a8e88,,execute_actions,2000;1960
21,send_message,19,,,,,,Mahusay! Nakakatulong ang One-on-One Time sa pagtatag ng malakas at positibong relasyon sa pagitan mo at ng iyong mga anak. Subukan mo itong gawin araw-araw!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,309faf2a-a0c5-46a9-a95f-e213b8783308,,execute_actions,2250;1960
22,split_by_value,14,4,,,,,@fields.user_name,,,,,,,,,,,,,,,7ce6fe27-bb73-489a-8e05-fb892bd1368b,,split_by_expression,3365;1760
23,send_message,22,,@fields.user_name,has_text,user_name,,Salamat sa pagsisikap na ipakita sa iyong mga anak na sila ay minamahal at pinahahalagahan. Karapat-dapat kang bigyan ng gintong bituin @fields.user_name!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,9bde7aa4-5d00-4f1d-95b9-afd1c714939f,,execute_actions,3240;1960
24,send_message,22,,,,,,Salamat sa pagsisikap na ipakita sa iyong mga anak na sila ay minamahal at pinahahalagahan. Karapat-dapat kang bigyan ng gintong bituin!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,19d98993-62c3-4d64-acf2-4b6fe79c9000,,execute_actions,3490;1960
25,split_by_value,14,5,,,,,@fields.user_name,,,,,,,,,,,,,,,1ea92a46-fe0a-4304-9895-2b5b88d3b7c0,,split_by_expression,5145;1320
26,send_message,25,,@fields.user_name,has_text,user_name,,"Mahusay! Ang One-on-One Time kasama ng iyong mga anak, ay nagbibigay ng tsansa para malaman mo ang kanilang mga hilig at kakayahan. Isa kang bituin @fields.user_name!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/you_deserve_a_star.jpg,,,,8f940778-02b5-4fdd-b1ef-fb1b260b299b,,execute_actions,5020;1520
