row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,One-on-one time,,,,,,,,,,,,,,,88392a88-fb23-4c07-bd97-e34ea1a28b9b,,execute_actions,600;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,399a50e1-b2aa-41d0-92bc-03a0ecd52eb0,,split_by_subflow,540;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,adc23672-7299-46dc-937e-45fae42140e2,,split_by_contact_field,520;280
4,send_message,3,,,,,,"Mamuhunan sa One-on-One Time! Kapag mas madalas kang naglalaan ng oras kasama ang iyong mga anak, lalo silang makikinig sa iyo at magpapakabait din sa ibang pagkakataon. Ito ay talagang epektibo!",,,,,,,,,,,,,,,90ff1ca3-c12a-4907-8201-091261b16d63,,execute_actions,1010;340
5,split_by_value,4,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,62c9860c-db23-4edf-939f-368e227f0fc7,,split_by_expression,660;580
6,split_by_value,3;5,yes;yes,@fields.from_theme;@parent.results.fromwelcome,has_any_word;has_any_word,Yes;Yes,,@fields.type_of_media,,,,,,,,,,,,,,,f3479d35-2774-487e-92f7-738f0733d36e,,split_by_contact_field,990;1060
7,split_by_value,6,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,603e879f-8683-462f-acda-4d7f57beee1e,,split_by_expression,125;1220
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang video tungkol sa paglaan ng One-on-One time kasama si @fields.child_nickname!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/One_On_One_Time_Children.m4v,,bbf60fd6-eb24-410b-b64d-23e4afbb3c06,,execute_actions,;1420
9,send_message,7,,,,,,Narito ang isang video tungkol sa paglaan ng one-on-one time kasama ang iyong anak!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/fil/One_On_One_Time_Children.m4v,,48050e84-c7b6-4cd6-b341-58a5b9081ef0,,execute_actions,250;1420
10,split_by_value,6,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,53e0815b-3bd1-45ef-adc3-6121bef97486,,split_by_expression,865;1440
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,Narito ang isang mensahe tungkol sa paglaan ng One-on-One time kasama si @fields.child_nickname!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/One_On_One_Time_Children.mp3,,,aac49783-100c-4534-b023-bbcec615f460,,execute_actions,740;1640
12,send_message,10,,,,,,Narito ang isang mensahe tungkol sa paglaan ng One-on-One Time kasama ang iyong anak!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/fil/One_On_One_Time_Children.mp3,,,42218a1d-442b-490e-97b0-d1e78ad90465,,execute_actions,990;1640
13,wait_for_response,11;12;8;9,,,,,Result 6,,,,,,,,,,,,,,,,a2d8d3d3-e7ce-4cc0-8a14-c25d8159bcfc,120,wait_for_response,600;1860
14,send_message,13;13;6,;No Response;,,,,,"Ang One-on-One Time kasama ang iyong mga anak ay libre at nakakaaliw. Napapadama nito sa mga bata na sila ay minamahal at pinangangalagaan, at pinapakitang sila ay mahalaga. Dinadagdagan din nito ang kanilang kumpiyansa at bilib sa sarili!",,,,,,,,,,,,,,,fd4be5df-440c-43b4-9e0d-600e335a7bd6,,execute_actions,3730;2680
15,send_message,5,,,,,,Nais mo bang malaman ang tungkol sa tip na ito?,Oo,Hindi,,,,,,,,,,,,,aa2da602-2745-4f36-900a-a853ea77fd9e,,execute_actions,3810;260
16,wait_for_response,15,,,,,Result 10,,,,,,,,,,,,,,,,f44b16cd-cd95-4419-85d2-84af6b193e4d,,wait_for_response,3710;540
17,go_to,16,y Oo o,,has_any_word,Y,,6,,,,,,,,,,,,,,,,,,
18,send_message,16,Hindi n h,,has_any_word,No,,"Okay lang 'yan! Puwede mong laging i-type ang ""Help"" kung gusto mong makatanggap ng mas maraming tip tungkol sa kung paano pangasiwaan ang pag-uugali ng iyong anak.",,,,,,,,,,,,,,,7aaeadfb-8047-4507-9b9b-180bd1a728be,,execute_actions,4470;700
19,send_message,16,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,51c4da30-3f3d-4b06-9570-1192c891bda8,,execute_actions,4820;480
20,go_to,19,,,,,,15,,,,,,,,,,,,,,,,,,
21,send_message,14,,,,,,Gusto mo pa bang magkaroon ng dagdag kaalaman?,Oo,Hindi,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/kneeling_down_listening.jpg,,,,695ed9cc-c35b-4a43-92cd-a55ba27f946c,,execute_actions,3750;2900
22,wait_for_response,21,,,,,Result 12,,,,,,,,,,,,,,,,be6a73d3-c7cd-4348-9bd2-aeeeeee58062,,wait_for_response,1030;3060
23,start_new_flow,22,Oo y o,,has_any_word,Yes,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,0e127490-76cc-48c6-b0c6-e5c32c06a78b,,split_by_subflow,1030;3580
24,split_by_value,22,Hindi n h,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,a2a7d2f4-7a36-46f7-88f9-7dd274874225,,split_by_expression,3975;3080
25,send_message,24,,@fields.user_name,has_text,user_name,,Okay lang ‘yan! Maaari mong i-type ang “Tulong” kapag gusto mo pang matuto tungkol sa pagkakaroon ng One-on-One Time kasama ang iyong anak. Usap tayo mamaya @fields.user_name!,,,,,,,,,,,,,,,98866fe2-d01f-4690-a01a-3f979b9e6157,,execute_actions,3850;3280
26,send_message,24,,,,,,Okay lang ‘yan! Maaari mong i-type ang “Help” kapag gusto mo pang matuto tungkol sa pagkakaroon ng One-on-One Time kasama ang iyong anak. Usap tayo mamaya!,,,,,,,,,,,,,,,4a707220-1380-42d2-baf3-9a8bff369581,,execute_actions,4350;3280
27,save_value,25;26,,,,,last interaction,@(now()),,,,,,,,,,,,,,,630d5bc3-2829-40ac-b461-84f5794ba1f4,,execute_actions,4370;3620
28,send_message,22,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,a9fcb5d5-c435-4160-bb5e-d3267af1cb3e,,execute_actions,1300;3420
29,go_to,28,,,,,,21,,,,,,,,,,,,,,,,,,
