row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_value,start,,,,,from theme,no,,,,,,,,,,,,,,,fab674f9-25e5-4f5a-b00a-0c7e6b9807fe,,execute_actions,960;
2,split_by_group,1,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,90812a84-ef35-4a12-9889-123083b7ba72,,split_by_expression,565;120
3,send_message,2,ABTest_test-first-person_alternative,,,,,Paano kita matutulungan sa iyong mga anak?,Mga aktibidad na gagawin kasama ang aking anak,Pangangasiwa ng mahirap na pag-uugali,Emosyonal na pagsuporta sa aking anak,Pagpapanatiling ligtas sa aking anak,Pagtulong sa gawaing pang-eskwela,Pag-uusap tungkol sa COVID-19,Pagharap sa problema,Pagsuporta sa mga batang may kapansanan,Impormasyon tungkol sa child development,Bumalik sa help menu,,,,,6c5f0ad3-f644-4b4d-867a-4c5980be7699,,execute_actions,690;320
4,send_message,2;2,ABTest_test-first-person_Default;,,,,,Paano ka namin matutulungan sa iyong mga anak?,Mga aktibidad na gagawin kasama ang aking anak,Pangangasiwa ng mahirap na pag-uugali,Emosyonal na pagsuporta sa aking anak,Pagpapanatiling ligtas sa aking anak,Pagtulong sa gawaing pang-eskwela,Pag-uusap tungkol sa COVID-19,Pagharap sa problema,Pagsuporta sa mga batang may kapansanan,Impormasyon tungkol sa child development,Bumalik sa help menu,,,,,11b83403-99b1-47bc-93e7-e86909fc6bbb,,execute_actions,440;320
5,wait_for_response,3;4,,,,,response_child,,,,,,,,,,,,,,,,720a9d2b-cc0c-432b-b47f-ba8b924a2516,,wait_for_response,140;680
6,start_new_flow,5,mga gawain,,has_any_word,activities,,PLH - Handler - Activity,,,,,,,,,,,,,,a962e2fd-b75f-4a46-b930-41658dc89f0a,214ff8ac-4c88-4673-99e5-ebb656a4004c,,split_by_subflow,;1660
7,start_new_flow,5,pag-uugali,,has_any_word,behaviour,,PLH - Content - Extra - Behave,,,,,,,,,,,,,,6ec3c018-d7e9-4649-91f6-80d95d5ca5ed,ee925956-10e5-4933-b5f7-93fcf3aa05c2,,split_by_subflow,120;1320
8,start_new_flow,5,emosyonal,,has_any_word,emotional,,PLH - Content - Positive - Behave - Emotion,,,,,,,,,,,,,,530536dd-3ac9-475c-b80b-b0b0659535cd,dfb3c861-c5cc-4172-ba95-7695191800a2,,split_by_subflow,260;1180
9,start_new_flow,5,covid-19,,has_any_word,Covid-19,,PLH - Content - Extra - COVID,,,,,,,,,,,,,,8c6fb5bf-5f90-4a33-8fdb-ecd3ffd4b906,8d2e58fa-b17a-4cbe-a74c-25b6f319cc08,,split_by_subflow,1020;900
10,start_new_flow,5,problema,,has_any_word,Crisis,,PLH - Content - Positive - Behave - Crisis,,,,,,,,,,,,,,8b191a0a-6f36-4b8b-8211-d0883ce2d564,579b845d-ea46-49f3-83e0-6b5a6e5f3416,,split_by_subflow,1520;780
