row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.next_tip_main,,,,,,,,,,,,,,,0f580213-0117-4eb9-a761-e5b17ca9a017,,split_by_contact_field,460;40
2,start_new_flow,1,4,@fields.next_tip_main,has_number_eq,4,,PLH - Content - Positive - Introduction,,,,,,,,,,,,,,afaf6a89-ab4b-410e-935b-0c0138957a52,b49cdce1-d1a0-4d5a-8aec-09aac94cff87,,split_by_subflow,20;160
3,split_by_value,1,5,@fields.next_tip_main,has_number_eq,5,,@fields.age_group_for_tips,,,,,,,,,,,,,,,574bffd7-b2ee-4b5d-ac52-61fef83c0dd5,,split_by_contact_field,260;220
4,start_new_flow,3,baby,@fields.age_group_for_tips,has_any_word,Baby,,PLH - Supportive - Activities for babies,,,,,,,,,,,,,,f11b99bb-15a8-4120-b767-df879ba708d7,e7a40629-42a1-4c0b-a546-da6f0b744c5a,,split_by_subflow,220;320
5,start_new_flow,3,,,,,,PLH - Content - Positive - Positive instructions,,,,,,,,,,,,,,b1e03180-c408-4311-8ebe-fbbaf623d635,d2ae1c1c-31cb-4004-a86f-3e53d01eec70,,split_by_subflow,260;480
6,split_by_value,1,6,@fields.next_tip_main,has_any_word,6,,@fields.age_group_for_tips,,,,,,,,,,,,,,,778086cd-2389-4719-a6d9-7ccfe5664c57,,split_by_contact_field,40;480
7,start_new_flow,6,baby,@fields.age_group_for_tips,has_any_word,Baby,,PLH - Content - Positive - Book sharing - Timed intro,,,,,,,,,,,,,,c8fe4261-f046-499a-87b8-02b0d6f832c4,f647fb31-acb8-4153-a9a3-342da640bc21,,split_by_subflow,240;620
8,start_new_flow,6,,,,,,PLH - Content - Positive - Behave - Praise - Timed intro,,,,,,,,,,,,,,99fa3778-38a3-4135-8e06-0766f70e5b32,1046d3e9-68f3-4b61-bf3d-e75ad4815994,,split_by_subflow,20;720
9,start_new_flow,1,7,@fields.next_tip_main,has_any_word,7,,PLH - Content - Positive - Behave - Routines - Timed intro,,,,,,,,,,,,,,04d446a8-a4f3-45dc-b1d7-d9749682f6f0,0f4e2c40-0a64-45c3-b20c-d938f2bdfb77,,split_by_subflow,500;200
10,split_by_value,1,9,@fields.next_tip_main,has_any_word,9,,@fields.age_group_for_tips,,,,,,,,,,,,,,,c7cd9ee9-f80a-42dc-a379-56d5f7cc6c58,,split_by_contact_field,1360;200
11,start_new_flow,10,,,,,,PLH - Supportive - Covid,,,,,,,,,,,,,,f40a3a39-2ba6-476c-8bd8-ce171420a03d,3554dfb1-2fa7-49c8-b5f7-d8cf2b9462ae,,split_by_subflow,1540;60
12,split_by_value,1,10,@fields.next_tip_main,has_any_word,10,,@fields.age_group_for_tips,,,,,,,,,,,,,,,941b66af-86b2-4cbd-9841-4af1dea4d92a,,split_by_contact_field,1220;1420
13,start_new_flow,12,baby,@fields.age_group_for_tips,has_any_word,Baby,,PLH - Supportive - Activities for babies,,,,,,,,,,,,,,f11b99bb-15a8-4120-b767-df879ba708d7,bf082f14-ecc7-4fe4-b9f6-feded8d38fa5,,split_by_subflow,980;1440
14,start_new_flow,12,,,,,,PLH - Content - Positive - Rules,,,,,,,,,,,,,,60b7961b-13a8-4670-a966-748ec8f06766,a734229b-bb1c-44b5-bfa3-74c42873c079,,split_by_subflow,1300;1540
15,split_by_value,1,,,,,,@fields.next_tip_main,,,,,,,,,,,,,,,587e27b1-e044-4d11-926b-ce31e17b5a98,,split_by_contact_field,540;760
16,split_by_value,15,11,@fields.next_tip_main,has_any_word,11,,@fields.age_group_for_tips,,,,,,,,,,,,,,,24087199-4ef1-4c14-b7f8-96cf8095119a,,split_by_contact_field,40;860
17,start_new_flow,10;16,baby;baby,@fields.age_group_for_tips;@fields.age_group_for_tips,has_any_word;has_any_word,Baby;Baby,,PLH - Supportive - Activities for babies,,,,,,,,,,,,,,f11b99bb-15a8-4120-b767-df879ba708d7,423f7268-1a7a-4930-bbea-cdc18a9f67fe,,split_by_subflow,1300;320
18,start_new_flow,16,,,,,,PLH - Content - Positive - Education - Timed intro,,,,,,,,,,,,,,77fc6ec8-4697-4616-88e4-60149dee837f,33bbdcc9-869e-4538-ae04-bf83f1a498c7,,split_by_subflow,80;960
19,split_by_value,15,12,@fields.next_tip_main,has_any_word,12,,@fields.age_group_for_tips,,,,,,,,,,,,,,,d3d2aac0-e537-485b-b9cc-b2d03bf210cc,,split_by_contact_field,40;1120
20,start_new_flow,19,baby,@fields.age_group_for_tips,has_any_word,Baby,,PLH - Content - Positive - Online adults - Timed intro,,,,,,,,,,,,,,b6b6dd4d-fe12-4458-b879-316b6a040f69,df79b140-64e5-4e71-b977-8193ad3003ae,,split_by_subflow,;1240
21,start_new_flow,19,,,,,,PLH - Content - Positive - Online children - Timed intro,,,,,,,,,,,,,,fb332ce0-4787-438a-b5a8-7727a9a15b28,d5c4d245-bfe6-41da-9f39-bb5f3779772d,,split_by_subflow,100;1380
22,split_by_value,15,13,@fields.next_tip_main,has_any_word,13,,@fields.age_group_for_tips,,,,,,,,,,,,,,,befe40e3-8f0a-4aa9-8089-ad4858ab7edb,,split_by_contact_field,540;980
23,start_new_flow,22,teen,@fields.age_group_for_tips,has_any_word,Teen,,PLH - Supportive - Share,,,,,,,,,,,,,,8fc0dab6-c0f8-4d6c-bd8d-51944d9505fc,7a1e8bb9-879e-4a1e-aebe-53de248becea,,split_by_subflow,560;1300
24,start_new_flow,22,,,,,,PLH - Content - Positive - Behave - Redirect - Timed intro,,,,,,,,,,,,,,221299f8-2b0e-41d7-a05a-e8e82305a56b,1c9674d6-5529-430c-8d19-6618f6757887,,split_by_subflow,560;1100
25,split_by_value,15,14,@fields.next_tip_main,has_any_word,14,,@fields.age_group_for_tips,,,,,,,,,,,,,,,0d9cb1ef-e3d6-4976-b669-ef9f6409ef4b,,split_by_contact_field,320;900
26,start_new_flow,25,baby,@fields.age_group_for_tips,has_any_word,Baby,,PLH - Content - Positive - Behave - Crying - Timed intro,,,,,,,,,,,,,,375ae513-10e5-48ec-a148-0398b5bb4cc1,7ff54557-299f-4717-9225-4e437cd4460c,,split_by_subflow,300;1200
