row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_value,start,,,,,last interaction,@(now()),,,,,,,,,,,,,,,2ede907b-39a4-4c6b-9c9e-94560ee70b22,,execute_actions,680;20
2,split_by_value,1,,,,,,@fields.next_flow_expired,,,,,,,,,,,,,,,19dcfbec-d033-4d1d-8c0c-4fe8d0add9f2,,split_by_contact_field,660;100
3,save_flow_result,2,main,@fields.next_flow_expired,has_any_word,Main,time of day,morning,,,,,,,,,,,,,,,079cdaf9-4000-477d-ab90-09445a489db0,,execute_actions,480;240
4,save_flow_result,2,,,,,time of day,evening,,,,,,,,,,,,,,,0b8220c3-19d4-4490-9ff6-d31e66de27b5,,execute_actions,900;280
5,split_by_value,3;4,,,,,,@fields.has_expired,,,,,,,,,,,,,,,1557e237-acb2-4a64-a3c2-3784a6926c89,,split_by_contact_field,260;400
6,split_by_value,5,tip,@fields.has_expired,has_any_word,Tip,,@fields.next_flow_expired,,,,,,,,,,,,,,,9c0fdeef-4de1-4da9-bd40-232522b5b9cd,,split_by_contact_field,80;580
7,start_new_flow,6,main,@fields.next_flow_expired,has_any_word,Main,,PLH - Handler - Content - Morning,,,,,,,,,,,,,,58c3d4b3-eff3-4850-942d-63f6c1bf95fe,ba77fa72-b5c5-4a63-adab-53caf2505ccc,,split_by_subflow,;740
8,start_new_flow,6,morning,@fields.next_flow_expired,has_any_word,Morning,,PLH - Handler - Content - Evening,,,,,,,,,,,,,,4629e28c-5336-4ebb-86b4-e60a99da0f13,2f659688-bbdf-45f3-b2a1-acb33c351d80,,split_by_subflow,100;920
9,start_new_flow,6,evening,@fields.next_flow_expired,has_any_word,Evening,,PLH - Handler - Content - Main,,,,,,,,,,,,,,95024eb9-1135-42cc-b129-3fb34b6c296b,7f312d9f-1c30-4cd9-9847-9010663b7782,,split_by_subflow,220;740
10,start_new_flow,5,praise,@fields.has_expired,has_any_word,Praise,,PLH - Supportive - Praise,,,,,,,,,,,,,,ca8f0488-a308-4475-8eae-f6a9ee04b828,449ff418-2cd4-4d11-9441-5ccc802125d6,,split_by_subflow,440;700
11,start_new_flow,5,calm,@fields.has_expired,has_any_word,Calm,,PLH - Supportive - Calm,,,,,,,,,,,,,,8adf0beb-24df-4563-a57a-95ed147fe629,e11c5500-e9fa-4d20-bc4e-743388e308f3,,split_by_subflow,580;560
12,start_new_flow,5,welcome,@fields.has_expired,has_beginning,Welcome,,PLH - Handler - Welcome,,,,,,,,,,,,,,dae65052-0f64-4a8f-b106-5a52da255a37,45b30a27-3864-4c41-9d14-cc1d2b4e55bd,,split_by_subflow,820;720
13,start_new_flow,5,survey_parenting,@fields.has_expired,has_any_word,Survey parenting,,PLH - Survey - Parenting,,,,,,,,,,,,,,8a394172-e4ff-4368-8cc8-1adf8c832afe,ea1320e2-5b8b-4045-8ed8-50793920fe40,,split_by_subflow,480;1180
14,start_new_flow,13;5,Complete;survey_behaviour,;@fields.has_expired,;has_any_word,Survey_behaviour,,PLH - Survey - Behaviour,,,,,,,,,,,,,,36a6e56b-04a9-4a8b-a27e-092decdadcad,dc84e552-8ffa-4244-8b5c-19cf697fad37,,split_by_subflow,900;1140
15,save_value,14,Expired,,,,has expired,survey_behaviour,,,,,,,,,,,,,,,3f0781b3-d63b-4861-afc8-91f9fe05d261,,execute_actions,940;1300
