row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,start_new_flow,start,,,,,,PLH - Internal - Create AB testing groups,,,,,,,,,,,,,,33d39b79-90e9-4557-9f83-73223a96a043,e9266737-8eda-4e6b-a44b-b4b36f342334,,split_by_subflow,200;
2,save_value,1;1,Complete;Expired,,,,deployment,Philippines,,,,,,,,,,,,,,,e64c371e-edf2-4144-bf4a-b1d3b23b2b19,,execute_actions,180;140
3,save_value,2,,,,,default deployment,Philippines,,,,,,,,,,,,,,,e64c371e-edf2-4144-bf4a-b1d3b23b2b19,,execute_actions,180;140
4,save_value,3,,,,,type of media,high,,,,,,,,,,,,,,,53349b3c-f029-4545-b8c2-d5a39665b488,,execute_actions,160;300
5,save_value,4,,,,,marital status,,,,,,,,,,,,,,,,eb6022ca-cdd0-4623-bd9c-191d0b826354,,execute_actions,160;400
6,save_value,5,,,,,child nickname,,,,,,,,,,,,,,,,eb6022ca-cdd0-4623-bd9c-191d0b826354,,execute_actions,160;400
7,save_value,6,,,,,age group for tips,child,,,,,,,,,,,,,,,eb6022ca-cdd0-4623-bd9c-191d0b826354,,execute_actions,160;400
8,save_value,7,,,,,enrollment,,,,,,,,,,,,,,,,eb6022ca-cdd0-4623-bd9c-191d0b826354,,execute_actions,160;400
9,save_value,8,,,,,know age group for tips,no,,,,,,,,,,,,,,,eb6022ca-cdd0-4623-bd9c-191d0b826354,,execute_actions,160;400
10,save_value,9,,,,,know difficult child,no,,,,,,,,,,,,,,,d815203d-8a0a-4abb-8b57-2491cb65db4b,,execute_actions,160;960
11,save_value,10,,,,,chatbot name male,blobbyM,,,,,,,,,,,,,,,23e159fc-9660-4140-9135-aec848f1c58a,,execute_actions,460;380
12,save_value,11,,,,,chatbot name female,blobbyF,,,,,,,,,,,,,,,15e722bf-4778-45c6-bfe9-b9e7ad7d9a59,,execute_actions,460;500
13,save_value,12,,,,,chatbot name,@fields.chatbot_name_female,,,,,,,,,,,,,,,1da4e79e-13ca-4bde-b589-af1dc52395e9,,execute_actions,460;600
