row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.parent_baby,,,,,,,,,,,,,,,39ed82ce-7344-4fb3-ad8f-ff431da92750,,split_by_contact_field,500;40
2,split_by_value,1,true,@fields.parent_baby,has_any_word,True,,@fields.parent_young_child,,,,,,,,,,,,,,,70c566ea-bf7e-40d1-9359-22c40d7ccbb3,,split_by_contact_field,240;120
3,split_by_value,2,true,@fields.parent_young_child,has_any_word,True,,@fields.parent_teenager,,,,,,,,,,,,,,,1e7a2a50-1794-45e5-86fe-aed7e09ea4dc,,split_by_contact_field,60;280
4,split_by_value,2,false,@fields.parent_young_child,has_any_word,False,,@fields.parent_teenager,,,,,,,,,,,,,,,0dc275f6-316f-4a97-ad7c-0cad6533dd80,,split_by_contact_field,340;280
5,split_by_value,1,false,@fields.parent_baby,has_any_word,False,,@fields.parent_young_child,,,,,,,,,,,,,,,5ee722bb-d621-4d8a-a185-f2ce59877ed0,,split_by_contact_field,700;180
6,split_by_value,5,true,@fields.parent_young_child,has_any_word,True,,@fields.parent_teenager,,,,,,,,,,,,,,,939ce0b6-3bfa-4389-a2dd-ec2b7ffdab50,,split_by_contact_field,820;380
7,split_by_value,5,false,@fields.parent_young_child,has_any_word,False,,@fields.parent_teenager,,,,,,,,,,,,,,,eeb842ad-c645-4388-b546-d6e611451db5,,split_by_contact_field,1060;300
8,send_message,3;7,true;false,@fields.parent_teenager;@fields.parent_teenager,has_any_word;has_any_word,True;False,,Gusto mo ng tips para sa aling bata?,Sanggol,Musmos na bata,Teenager,,,,,,,,,,,,46c048a4-3a75-48b2-9aa6-1934a16d2527,,execute_actions,40;860
9,wait_for_response,8,,,,,age_group,,,,,,,,,,,,,,,,7d0cd4c7-b2a9-4cb8-addf-38e1c411cd58,,wait_for_response,40;1040
10,send_message,9,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,3b21f268-25de-4163-b24c-22e3bc6d5094,,execute_actions,340;1240
11,go_to,10,,,,,,8,,,,,,,,,,,,,,,,,,
12,send_message,3,false,@fields.parent_teenager,has_any_word,False,,Gusto mo ng tips para sa aling bata?,Sanggol,Musmos na bata,Iba pa,,,,,,,,,,,,71b61f1d-975f-42c7-bf31-9a3fd298bf19,,execute_actions,300;940
13,wait_for_response,12,,,,,age_group,,,,,,,,,,,,,,,,d95d469a-1e63-4662-bcf0-786ec2720adf,,wait_for_response,360;1100
14,send_message,13,,,,,,"Paumanhin, hindi ko naiintindihan ang ibig mong sabihin.",,,,,,,,,,,,,,,a29fc059-9e0b-4582-a373-812049427dbd,,execute_actions,540;1360
15,go_to,14,,,,,,12,,,,,,,,,,,,,,,,,,
