row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,9d611fc3-76ae-4ea0-be00-d907a471ec16,,split_by_expression,1935;
2,send_message,1,,@fields.user_name,has_text,user_name,,Magandang araw @fields.user_name! Kumusta ang pakiramdam mo?,Mahusay,Okay lang,Hindi mabuti,,,,,,,,,,,,937a6c7f-7a96-44f0-b781-3e3658d818cd,,execute_actions,1810;200
3,send_message,1,,,,,,Magandang araw! Kumusta ang pakiramdam mo?,Mahusay,Okay lang,Hindi mabuti,,,,,,,,,,,,48135e82-5c3d-4741-8d72-9b495da83ba7,,execute_actions,2060;200
4,wait_for_response,2;3,,,,,calm_interaction,,,,,,,,,,,,,,,,8f9ec36a-a54a-4ac2-8ba0-b7fe47a83b25,,wait_for_response,1520;340
5,split_random,4,mahusay,,has_any_word,Great,,,,,,,,,,,,,,,,,24725871-4cfd-453a-a3c4-98bacb85d505,,split_by_random,600;460
6,split_random,5,1,,,,,,,,,,,,,,,,,,,,e2df705a-ccea-4b77-87a0-b1d353ab6715,,split_by_random,540;600
7,send_message,6,1,,,,,Natututuwa akong marinig na nasa mabuti kang kalagayan. Napakagandang pakiramdam!,,,,,,,,,,,,,,,a8fac695-184d-4830-b980-2e5218bf60cf,,execute_actions,560;1120
8,split_by_group,6,2,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,07857378-5398-4384-bf86-1092a6d3e55a,,split_by_expression,905;720
9,send_message,8,ABTest_test-first-person_alternative,,,,,Wow! Mahusay iyan! Natutuwa akong marinig na maganda ang inyong pakiramdam.  ,,,,,,,,,,,,,,,20f68100-2094-45ba-a2c1-53ea9c86132f,,execute_actions,1280;1120
10,send_message,8;8,ABTest_test-first-person_Default;,,,,,Wow! Mahusay iyan! Natutuwa kaming marinig na maganda ang iyong pakiramdam. ,,,,,,,,,,,,,,,a5ed359a-fe79-4b3a-8aa8-a76925b3d29f,,execute_actions,780;1120
11,split_by_group,6,3,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,3219d19b-26d0-4a83-b3b0-32ec06d9288d,,split_by_expression,415;1740
12,send_message,11,ABTest_test-first-person_alternative,,,,,Napakagandang pakiramdam! Sana ay patuloy mo itong maramdaman sa buong araw.,,,,,,,,,,,,,,,6b2a9ad2-8ace-4417-b1b6-47c471c0fff3,,execute_actions,540;1940
13,send_message,11;11,ABTest_test-first-person_Default;,,,,,Napakagandang pakiramdam! Sana ay patuloy mo itong maramdaman sa buong araw.,,,,,,,,,,,,,,,ab8c805f-0a17-49e3-a077-38f3ae98eaa5,,execute_actions,290;1940
14,send_message,6,4,,,,,"Magandang balita iyan. Kapag maganda ang inyong pakiramdam, nagiging maganda rin ang pakiramdam ng kapamilyang kasama mo!",,,,,,,,,,,,,,,97306abc-e6ec-4d9e-b0a2-9bfff5dcc9f8,,execute_actions,1300;1720
15,split_by_group,6,5,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,27b1cd36-70c1-4a8d-9f0f-b8ca0300bf41,,split_by_expression,145;2540
16,send_message,15,ABTest_test-first-person_alternative,,,,,Sobrang ikinatutuwa kong marinig na mabuti ang inyong pakiramdam! Ibahagi ang inyong positibong enerhiya at sigla sa ibang tao!,,,,,,,,,,,,,,,62c42d83-1b96-48a9-a6fe-fa21d3b7cc4c,,execute_actions,270;2740
17,send_message,15;15,ABTest_test-first-person_Default;,,,,,Sobrang ikinatutuwa naming marinig na mabuti ang inyong pakiramdam! Ibahagi ang iyong positibong enerhiya at sigla sa ibang tao!,,,,,,,,,,,,,,,9e3f0448-19a2-43b5-bcf9-d4a99f157d40,,execute_actions,20;2740
18,split_by_group,6,6,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,68daf456-bd4c-4f19-bffe-d5dc67daa6ad,,split_by_expression,1155;2320
19,send_message,18,ABTest_test-first-person_alternative,,,,,Napakagandang balita! Sana ay patuloy na maging maganda ang inyong pakiramdam buong araw.,,,,,,,,,,,,,,,ea32d0df-508d-4dea-8feb-e600d197e290,,execute_actions,1280;2520
20,send_message,18;18,ABTest_test-first-person_Default;,,,,,Napakagandang balita! Sana ay patuloy na maging maganda ang iyong pakiramdam buong araw.,,,,,,,,,,,,,,,cad6b93e-f161-45bd-b756-a95438804d03,,execute_actions,1030;2520
21,split_random,5,2,,,,,,,,,,,,,,,,,,,,33f26861-4803-405f-bfb3-0a6d550bc425,,split_by_random,2060;600
22,send_message,21,1,,,,,Mahusay! Huminga ka lang muna para pahalagahan ang sandaling ito.,,,,,,,,,,,,,,,fe9f2d33-3d9f-4bd0-899a-68ddcd7f9c70,,execute_actions,2060;1120
23,send_message,21,2,,,,,"Mahusay! Kapag maganda ang iyong pakiramdam, mas madaling maging positibo buong araw.",,,,,,,,,,,,,,,051bcf7e-f85c-4b2d-abb5-e7f08ba94bdb,,execute_actions,2800;1120
24,split_by_group,21,3,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,08faf891-6ca9-4e0e-b983-ded5adee9a3e,,split_by_expression,1665;1300
25,send_message,24,ABTest_test-first-person_alternative,,,,,Yehey! Nagagalak akong marinig na ikaw ay nasa mabuting sitwasyon.,,,,,,,,,,,,,,,5b5163e1-3091-4941-b18c-aa419c74d8af,,execute_actions,1790;1500
26,send_message,24;24,ABTest_test-first-person_Default;,,,,,Yehey! Nagagalak kaming marinig na ikaw ay nasa mabuting sitwasyon.,,,,,,,,,,,,,,,dd371c36-f1a1-4813-8053-1554664204cf,,execute_actions,1540;1500
27,split_by_group,21,4,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,4dcb000e-8b01-4e3d-86b4-e4ca33ea73f0,,split_by_expression,2655;1520
28,send_message,27,ABTest_test-first-person_alternative,,,,,Mahusay! Lubos akong natutuwa na marinig ito.,,,,,,,,,,,,,,,c940e365-d368-4a86-a152-53efd06cb411,,execute_actions,2780;1720
29,send_message,27;27,ABTest_test-first-person_Default;,,,,,Mahusay! Lubos kaming natutuwa na marinig ito.,,,,,,,,,,,,,,,1987d300-a781-4dba-826f-3710bcb95729,,execute_actions,2530;1720
30,split_by_group,21,5,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,de3d94de-a0a7-4340-b688-05c31e0f634d,c7e98e98-65a8-44c3-b32e-042596b2075e,,split_by_expression,2265;2100
31,send_message,30,ABTest_test-first-person_alternative,,,,,Natutuwa akong marinig ito! Sigurado akong natutuwa rin ang inyong pamilya na makita kang ganito.,,,,,,,,,,,,,,,87ceaf88-e335-4b97-9f18-c2442bf15b0d,,execute_actions,2390;2300
32,send_message,30;30,ABTest_test-first-person_Default;,,,,,Natutuwa kaming marinig ito! Sigurado kaming natutuwa rin ang inyong pamilya na makita kang ganito.,,,,,,,,,,,,,,,617103e5-92b4-4c9d-8439-061be2167240,,execute_actions,2140;2300
33,split_random,4,okay ok,,has_any_word,Okay,,,,,,,,,,,,,,,,,dec33c3c-fe11-48f1-b9c1-ab876bbc8f78,,split_by_random,3260;480
34,split_random,33,1,,,,,,,,,,,,,,,,,,,,07a8634f-9cbb-433f-bb3d-46fbf5832684,,split_by_random,3120;600
35,send_message,34,1,,,,,Minsan nasa taas tayo. Minsan nasa ibaba. At minsan wala ni isa dito...at okay lang yan!,,,,,,,,,,,,,,,571db9e5-12cf-43c7-bc41-acb26908ecec,,execute_actions,3100;1140
36,send_message,34,2,,,,,Normal na katamtaman lang ang inyong pakiramdam. Hindi kailangang maging napakaganda ang pakiramdam mo araw-araw. ,,,,,,,,,,,,,,,91a4a477-8acc-41ba-875c-2a9bd937c8bc,,execute_actions,3320;1140
