row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,"Mahirap humanap ng panahon upang magsaya kasama ng iyong mga anak. Sa nakaraang linggo, ilang araw kayo may ginawang masaya nang magkasama? (0, 1, 2, 3, 4, 5, 6, 7)

Kung ayaw mong sagutin, paki-type ang 99.",,,,,,,,,,,,,,,5c2a7ee9-ff22-4fad-9a11-b0cb97d81763,,execute_actions,2810;
2,wait_for_response,1,,,,,fun_activity,,,,,,,,,,,,,,,,852f2a89-3d71-4f3a-9078-57ff0f42e190,,wait_for_response,2540;260
3,save_value,2,"0,7",,has_number_between,0-7,surveytime,"@(fields.surveytime & results.fun_activity &"","")",,,,,,,,,,,,,,,c41c2404-fe83-416b-b7a3-6c4822c11ba9,,execute_actions,530;540
4,save_value,3,,,,,surveytime datetime,"@(fields.surveytime_datetime & results.fun_activity & "","" & fields.survey_number  & "","" & now() & ""|"")",,,,,,,,,,,,,,,c41c2404-fe83-416b-b7a3-6c4822c11ba9,,execute_actions,530;540
5,split_by_value,4,,,,,,@results.fun_activity,,,,,,,,,,,,,,,6eeefa7f-3883-4fa0-a9ba-741b22a847fe,,split_by_run_result,2150;720
6,save_flow_result,5,,,,,survey time,"@(replace(fields.surveytime, ""na,"",""""))",,,,,,,,,,,,,,,16d57cab-12c7-4806-98e9-d2cf4dd31846,,execute_actions,350;1220
7,save_flow_result,6,,,,,time diff,"@(if(count(split(results.survey_time,"",""))>=2, split(results.survey_time,"","")[count(split(results.survey_time,"",""))-1] - split(results.survey_time,"","")[count(split(results.survey_time,"",""))-2]   ,""NA""))",,,,,,,,,,,,,,,65befa3e-6e18-4331-a44e-eae1194c1579,,execute_actions,330;1580
8,split_by_value,7,,,,,,@results.time_diff,,,,,,,,,,,,,,,57669b37-64d8-4203-a975-acf511a1b8ca,,split_by_run_result,2230;1240
9,split_by_value,8,na,@results.time_diff,has_any_word,Na,,@results.fun_activity,,,,,,,,,,,,,,,e967bb49-f7fc-40c1-9b1b-7ffd594984ab,,split_by_run_result,430;1900
10,save_value,5;8;9,4;0;4,@results.fun_activity;@results.time_diff;@results.fun_activity,has_number_gte;has_number_gt;has_number_gte,>= 4;>0;>= 4,surveytime fb better,"@(if(fields.surveytime_fb_better<5, fields.surveytime_fb_better +1, 0))",,,,,,,,,,,,,,,f3844da8-d296-4889-a173-2ec1028b394e,,execute_actions,9040;540
11,split_by_value,10,,,,,,@fields.surveytime_fb_better,,,,,,,,,,,,,,,7367d0ea-a4b6-4a0f-88a3-1e1e5ad484ac,,split_by_contact_field,8250;640
12,split_by_value,11,1,@fields.surveytime_fb_better,has_any_word,1,,@fields.user_name,,,,,,,,,,,,,,,2832c7ab-ea34-4ef1-9cf2-7cc9f378ceaa,,split_by_expression,5945;1340
13,send_message,12,,@fields.user_name,has_text,user_name,,Magaling at nakapagbigay ka ng oras para gumawa ng masayang gawain kasama ang iyong anak! Malayo na ang iyong narating. Ipagpatuloy mo lang iyan @fields.user_name! ,,,,,,,,,,,,,,,41edb4ef-2a51-4050-9ea9-a775e32d5958,,execute_actions,5820;1540
14,send_message,12,,,,,,Magaling at nakapagbigay ka ng oras para gumawa ng masayang gawain kasama ang iyong anak! Malayo na ang iyong narating. Ipagpatuloy mo lang iyan! ,,,,,,,,,,,,,,,9f6e7b01-7214-4e0f-a075-3ccfd0b2862f,,execute_actions,6320;1540
15,send_message,11,2,@fields.surveytime_fb_better,has_any_word,2,,Mahusay na ikaw ay naglalaan ng oras kasama ng iyong anak – ito ang pundasyon ng isang masayang tahanan! ,,,,,,,,,,,,,,,8e322c65-59bc-445e-a9cc-f06658dc65fb,,execute_actions,9040;1560
16,send_message,11,3,@fields.surveytime_fb_better,has_any_word,3,,Kamangha-mangha na patuloy kang nagsasaya kasama ng iyong anak. Ikaw ang pinakamahusay na magulang na kanilang mahihiling! ,,,,,,,,,,,,,,,3ea0c28b-23c5-48fb-bb03-ba76309f7995,,execute_actions,13020;1160
17,split_by_value,11,4,@fields.surveytime_fb_better,has_any_word,4,,@fields.user_name,,,,,,,,,,,,,,,5b57c925-185b-4d19-b12e-d29eff3e8662,,split_by_expression,10575;960
