row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,"Maraming salamat! Bilang mga magulang, gusto natin ang pinakamabuti para sa ating mga anak.",,,,,,,,,,,,,,,13808433-c61b-4c59-bcb1-f17cf289499f,,execute_actions,5080;
2,send_message,1,,,,,,Maaari mo bang piliin mo ang pinakamahalagang layunin bilang magulang para sa iyo?,Pagbutihin ang aking relasyon sa aking anak,Ang aking anak na kumilos nang mas mahusay,Tulungang matuto ang aking anak,Pagbawas ng stress sa pamilya,Pagpapanatiling ligtas sa anak,Impormasyon tungkol sa child development,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/stressed_parent.jpg,,,,13808433-c61b-4c59-bcb1-f17cf289499f,,execute_actions,5080;
3,wait_for_response,2,,,,,parenting goal,,,,,,,,,,,,,,,,a61af7ac-7a58-40f0-9c36-4cd372a9a334,,wait_for_response,1270;400
4,split_by_value,3,pagbutihin ang aking relasyon sa aking anak,,has_only_phrase,1,,@fields.age_group_for_tips,,,,,,,,,,,,,,,da0bbcd0-fd2f-4d94-929f-c3385783042a,,split_by_contact_field,330;560
5,split_by_value,4,baby,@fields.age_group_for_tips,has_any_word,Baby,,@fields.child_nickname,,,,,,,,,,,,,,,515d89e2-5945-4540-bd9e-13c192d7c209,,split_by_expression,125;700
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,"Mabilisang tip: Kapag binibigay mo ang iyong buong atensyon sa iyong sanggol, nararamdaman niyang siya ay ligtas at minamahal. Subukang maglaan ng kahit na 20 minuto bawat araw para maglaro kasama si @fields.child_nickname. Patayin ang Tv at itabi ang mga cellphone. Gawin itong masaya!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/parent_and_baby.jpg,,,,46ca5da9-9e87-49b1-9c72-4e76344971fe,,execute_actions,;1500
7,send_message,5,,,,,,"Mabilisang tip: Kapag binibigay mo ang iyong buong atensyon sa iyong sanggol, nararamdaman niyang siya ay ligtas at minamahal. Subukang makipaglaro sa iyong sanggol ng hindi bababa sa 20 minuto kada araw. Patayin ang TV at itabi ang mga cellphone. Gawin itong masaya!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/parent_and_baby.jpg,,,,d5c07b9f-f759-4ffb-96f1-e5e2ceca3124,,execute_actions,250;1500
8,split_by_value,4,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,4d02df4a-ca63-44f1-a650-b9214a00033d,,split_by_expression,595;900
9,send_message,8,,@fields.child_nickname,has_text,child_nickname,,"Mabilisang tip: Libre lang ang paglaan ng oras para makasama ang iyong anak, at kahit na 5 minuto lang bawat araw ay makakagawa ng pagbabago. Subukang tanungin si @fields.child_nickname kung ano ang gusto niyang gawin nang magkasama. Pwede itong maging masaya at nakakarelax din para sa iyo!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/playing_family.jpg,,,,591234b5-a969-4613-a3ea-6b2976c37135,,execute_actions,470;1500
10,send_message,8,,,,,,"Mabilisang tip: Libre lang ang paglaan ng oras para makasama ang iyong anak, at kahit na 5 minuto lang bawat araw ay makakagawa ng pagbabago. Subukang tanungin ang iyong anak kung ano ang gusto niyang gawin nang magkasama. Pwede itong maging masaya at nakakarelax din para sa iyo!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/playing_family.jpg,,,,b2cdf3bf-2541-40b5-ae47-8ab6d40bb2ad,,execute_actions,720;1500
11,split_by_value,3,ang aking anak na kumilos nang mas mahusay,,has_only_phrase,2,,@fields.child_nickname,,,,,,,,,,,,,,,10c205d1-abae-42c2-8e90-2e12b9ce384f,,split_by_expression,1065;1100
12,send_message,11,,@fields.child_nickname,has_text,child_nickname,,"Mabilisang tip: Lahat ng bata ay nagpapakita ng hindi mabuting asal o kilos. Ang isang makakatulong ay ang pagpuri kay @fields.child_nickname kapag siya ay may nagawang mabuti, gaano man kaliit ito. Maaring mukhang hindi nila gusto ang iyong papuri, ngunit sa totoo lang ay gustong-gusto nila ito.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,b8064a1d-6e6b-4b24-a0a1-ef9b4269e4f2,,execute_actions,940;1500
13,send_message,11,,,,,,"Mabilisang tip: Lahat ng bata ay nagpapakita ng hindi mabuting asal o kilos. Ang isang makakatulong ay ang pagpuri sa iyong anak kapag siya ay may nagawang mabuti - gaano man kaliit ito. Maaring mukhang hindi nila gusto ang iyong papuri, ngunit sa totoo lang ay gustong-gusto nila ito.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/misbehaving_children.jpg,,,,fd70bb97-0765-49aa-82e7-b22956c86a75,,execute_actions,1190;1500
14,send_message,3,tulungang matuto ang aking anak,,has_only_phrase,3,,Mabilis na tip: Napakahirap matulungan ang ating mga anak na magpatuloy sa pag-aaral kapag ang mga paaralan ay sarado. Ang isang bagay na maaaring makatulong ay ang pag-set up ng isang pang-araw-araw na iskedyul na may kasamang oras para sa gawain sa paaralan at oras para sa kasiyahan.,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/Family_writing_together.jpg,,,,6c3b3d34-4133-4c51-8a58-23bb8aa85fdc,,execute_actions,5160;1500
15,send_message,3,pagbawas ng stress sa pamilya,,has_only_phrase,4,,"Mabilis na tip: Ito ay isang nakakastress na panahon para sa ating lahat. Kapag may dumating na problema, pag-usapan ito nang magkasama! Ano ang eksaktong problema? Ano ang iba't ibang mga solusyon doon at ano ang mga kahihinatnan ng bawat isa? Sa ganoong paraan, makakahanap ka ng isang solusyon na maaaring maging OK para sa lahat.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/two_parents_talking_together.jpg,,,,9ea498f0-63bf-409a-920c-84ffeaefe0df,,execute_actions,5400;1500
16,split_by_value,3,pagpapanatiling ligtas sa aking anak,,has_only_phrase,5,,@fields.child_nickname,,,,,,,,,,,,,,,10dc7654-533c-471f-9bd3-0dac83a395e3,,split_by_expression,5995;1300
17,send_message,16,,@fields.child_nickname,has_text,child_nickname,,Mabilisang tip: Subukang kausapin si @fields.child_nickname tungkol sa mga ligtas at hindi ligtas na lugar sa inyong komunidad at online. Maaaring may alam siyang hindi mo alam. Makakatulong ito sa pagpaplano ninyong dalawa kung paano manatiling ligtas.,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/parent_and_child_with_tablet.jpg,,,,da8adc41-75c3-479c-9e98-b9c44a27b547,,execute_actions,5870;1500
