row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.from_theme,,,,,,,,,,,,,,,99056b74-8b79-437d-93d3-63274dd76733,,split_by_contact_field,260;
2,split_by_group,1,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,957bb7da-afc8-4ac9-bbc1-9734a434e176,,split_by_expression,1005;160
3,send_message,2,ABTest_test-first-person_alternative,,,,,A lot of families are dealing with grief due to COVID-19. I am here to support you and your family through this difficult time.,,,,,,,,,,,,,,,dd70b85d-33c5-40c9-b3a7-0b9e7dd7fa3e,,execute_actions,1130;360
4,send_message,2;2,ABTest_test-first-person_Default;,,,,,A lot of families are dealing with grief due to COVID-19. We are here to support you and your family through this difficult time.,,,,,,,,,,,,,,,211f5cc2-5a65-403c-ac28-9c5d0929912d,,execute_actions,880;360
5,send_message,1,yes,@fields.from_theme,has_any_word,Yes,,"Here are 10 tips for coping with bereavement as a parent/caregiver:

1. Looking after yourself helps your child
2. Be honest and tell your children
3. Children grieve in different ways 
4. Be kind to yourself
5. Practical things you may need
6. Find a group or person to talk to
7. Grieving in your own way
8. Relaxing helps coping
9. Giving chances to say goodbye
10. One on one time with your child

Type ""1"" to ""10"" to learn more about  of these tips. Type ""N"" to stop this tip.",,,,,,,,,,,,,,,2e77e34c-31e2-4387-a9e2-fd76609e63dd,,execute_actions,400;1420
6,send_message,3;4,,,,,,Would you like some tips on coping with COVID-19 bereavement?,Yes,No,,,,,,,,,,,,,e30abf86-7dc9-4e01-b8b0-e860266afd30,,execute_actions,1150;540
7,wait_for_response,6,,,,,know_more,,,,,,,,,,,,,,,,a36e7873-48a7-4a69-9fdc-ed0c0c9002c3,900,wait_for_response,380;700
8,go_to,7,yes y,,has_any_word,Yes,,5,,,,,,,,,,,,,,,,,,
9,send_message,7,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,97c0fe41-2ec4-42b6-a0c4-f2e086a4e69b,,execute_actions,1230;700
10,go_to,9,,,,,,6,,,,,,,,,,,,,,,,,,
11,send_message,7;7,no n;No Response,,has_any_word;,No;,,"That's okay! You can always type ""Help"" if you want to learn more about how to cope with COVID-19 related loss.",,,,,,,,,,,,,,,058cc6ae-5758-482c-969a-108f98498594,,execute_actions,1290;1000
12,send_message,11,,,,,,"If you have any further questions about COVID-19, you can always check your local COVID-19 hotline:
##Local Covid-19 Hotline##",,,,,,,,,,,,,,,503895fa-4c7a-4110-956b-a5012ff5813b,,execute_actions,1310;1160
13,wait_for_response,5,,,,,list_of_tips,,,,,,,,,,,,,,,,9e055372-a90e-4e37-8adf-66c5dca307a3,,wait_for_response,280;2060
14,split_by_value,13,no n ,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,8b8f0328-bf45-42ba-b900-c3323d188332,,split_by_expression,1675;2520
15,send_message,14,,@fields.user_name,has_text,user_name,,Well done @fields.user_name! You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,,,,,a19e86e1-2cc1-4220-b2e9-095dbb1d07ee,,execute_actions,1550;2720
16,send_message,14,,,,,,Well done! You should be proud of yourself for exploring ways to get help for you and your family.,,,,,,,,,,,,,,,b7aad81d-1a5c-479d-99c3-83862afa926b,,execute_actions,1800;2720
17,send_message,15;16,,,,,,"If you have any further questions about COVID-19, you can always check your local COVID-19 hotline:
##Local Covid-19 Hotline##",,,,,,,,,,,,,,,f41e2553-1495-4f9b-a431-cb5e659ca14e,,execute_actions,1800;2880
18,save_value,17,,,,,current type assessed,tip,,,,,,,,,,,,,,,5cf476b8-2ac5-4930-99fb-4091b9c96c36,,execute_actions,1820;3080
19,save_value,18,,,,,current activity,covid_bereavement,,,,,,,,,,,,,,,5cf476b8-2ac5-4930-99fb-4091b9c96c36,,execute_actions,1820;3080
20,start_new_flow,19,,,,,,PLH - Feedback - Feedback for content,,,,,,,,,,,,,,2d088e4d-2c71-4480-9cac-0403ba3c5461,cd3bc521-f1d9-4bb0-af12-7de7140cc406,,split_by_subflow,2110;3260
21,split_by_value,20,Complete,,,,,@fields.user_name,,,,,,,,,,,,,,,5e7a1ea3-b446-443a-98fc-dbc4028d603b,,split_by_expression,1985;3400
