row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Child development,,,,,,,,,,,,,,,21a6b29a-83d7-4d6a-87dc-4493a86ef14f,,execute_actions,1070;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,d995dc6e-d514-4cee-9446-ec7613be3dcb,,split_by_subflow,1070;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,a6e7e7e2-c767-485d-bbbe-c987bd94bec7,,split_by_contact_field,1090;260
4,send_message,3,,,,,,Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for.,,,,,,,,,,,,,,,c83b3942-a821-483f-98ed-090a3e0c94f0,,execute_actions,1370;400
5,send_message,4,,,,,,Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,,,,,,,,,,,,,,,c8eae3a3-e5bb-45e0-99ce-d2a221d7337d,,execute_actions,1880;420
6,split_by_value,5,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,a85f9856-79b8-4e69-aff6-221f6c58b673,,split_by_expression,1370;620
7,split_by_value,3;6,yes;yes,@fields.from_theme;@parent.results.fromwelcome,has_any_word;has_any_word,Yes;Yes,,@fields.type_of_media,,,,,,,,,,,,,,,9d36e938-57e7-4e71-bd32-f868b5f7cdd7,,split_by_contact_field,1010;760
8,send_message,7,high,@fields.type_of_media,has_any_word,High,,All children develop at different rates. Here's a video to help you understand what to expect from your children.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Child_Development_Introduction.m4v,,292f38c7-ed43-4d74-b652-8deb84cf85cb,,execute_actions,;840
9,send_message,7,medium,@fields.type_of_media,has_any_word,Medium,,All children develop at different rates. Here's an audio message to help you understand what to expect from your children.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Child_Development_Introduction.mp3,,,b3489a62-f661-481d-80a1-ed5f3f4f0a75,,execute_actions,990;920
10,wait_for_response,8;9,,,,,Result 4,,,,,,,,,,,,,,,,4dafb720-650f-4cee-b928-fd78ddf0d933,120,wait_for_response,80;1100
11,send_message,10;10;7,;No Response;,,,,,All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,,,,,,,,,,,,,,,a995c38c-1b4f-4e6f-afec-c362876ea2dd,,execute_actions,1350;1040
