row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Coping with crying,,,,,,,,,,,,,,,71da445b-468e-4038-9c31-f51dbf707d6d,,execute_actions,1660;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,e1ab3d9e-5042-402e-a909-c90ec2358852,,split_by_subflow,1680;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,e1783d16-14eb-4c1d-88de-b20cb5633bd3,,split_by_expression,1330;280
4,send_message,3,man,@fields.gender_personalisation,has_any_word,man,,"The sound of a baby crying can be very distressing, especially for a father It is completely natural to want to make it stop. You might also think that you are not a good parent or that your baby is crying to spite you. But all babies cry. It is one of the main ways a baby can tell you that something is wrong.",,,,,,,,,,,,,,,991757d2-639e-4906-bb3d-0934271c34b1,,execute_actions,1080;480
5,send_message,3,woman,@fields.gender_personalisation,has_any_word,woman,,"The sound of a baby crying can be very distressing, especially for a mother. It is completely natural to want to make it stop. You might also think that you are not a good parent or that your baby is crying to spite you. But all babies cry. It is one of the main ways a baby can tell you that something is wrong.",,,,,,,,,,,,,,,2c62f51b-add7-4942-8ba7-b4ef423c63a2,,execute_actions,1330;480
6,send_message,3,,,,,,"The sound of a baby crying can be very distressing, especially for a parent. It is completely natural to want to make it stop. You might also think that you are not a good parent or that your baby is crying to spite you. But all babies cry. It is one of the main ways a baby can tell you that something is wrong.",,,,,,,,,,,,,,,01692f34-8dae-4f5d-ba44-36add796833c,,execute_actions,1580;480
7,split_by_value,4;5;6,,,,,,@fields.toolkit,,,,,,,,,,,,,,,958ebd8b-c6c1-42e1-92f8-a8cb1282dff7,,split_by_contact_field,590;820
8,split_by_group,7,@results.skill,@fields.toolkit,has_phrase,already completed,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,9dec88bf-7ca6-4518-bb16-3cce2cfd8596,,split_by_expression,345;920
9,send_message,8,ABTest_test-first-person_alternative,,,,,I know that you have already received this tip (well done!). Would you like to review it again?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,45a33e96-ab47-46cf-8453-92f86fe240eb,,execute_actions,470;1120
10,send_message,8;8,ABTest_test-first-person_Default;,,,,,We know that you have already received this tip (well done!). Would you like to review it again?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,372ec901-df5c-42b6-8285-44c25b62836c,,execute_actions,220;1120
11,send_message,7,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,6e050d5e-dc96-4718-82c1-c1bf2e3d8592,,execute_actions,1600;880
12,wait_for_response,10;11;9,,,,,know_more,,,,,,,,,,,,,,,,c7eb053b-cc65-422a-8e42-b7a7d4be9299,,wait_for_response,920;1320
13,save_value,12,yes y,,has_any_word,Yes,from theme,yes,,,,,,,,,,,,,,,260ed353-0fdd-459d-8141-5ad19713d87d,,execute_actions,60;1320
14,save_value,13,,,,,last interaction,@(now()),,,,,,,,,,,,,,,260ed353-0fdd-459d-8141-5ad19713d87d,,execute_actions,60;1320
15,start_new_flow,14,,,,,,PLH - Content - Positive - Behave - Crying,,,,,,,,,,,,,,42a695f9-813a-4cb3-927a-d642b1ddb916,2705b4e4-ef11-48f3-8c6a-ff1ea69bc600,,split_by_subflow,60;1700
16,save_value,15,Expired,,,,has expired,tip,,,,,,,,,,,,,,,ddddb496-6f41-40f2-8960-0414423a83ea,,execute_actions,490;1840
17,send_message,16,,,,,,"It looks like you are busy right now. You can always type ""GoBack"" to restart this parenting tip or ""Help"" for other support.",,,,,,,,,,,,,,,f6ff2c12-b969-4129-b6cc-2b3c33d168d1,,execute_actions,490;1940
18,save_value,15;17,Complete;,,,,from theme,no,,,,,,,,,,,,,,,3508f3cc-a8cb-4e2e-a78d-00faeb4d9e07,,execute_actions,;1840
19,split_by_value,12,no n,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,4e56b147-bfcc-428c-9173-d9e1b078aa4e,,split_by_expression,795;1460
20,send_message,19,,@fields.user_name,has_text,user_name,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later @fields.user_name!",,,,,,,,,,,,,,,696a5422-389a-424c-9aae-dcca28f00def,,execute_actions,670;1660
21,send_message,19,,,,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,,,,,b2d63d0b-d262-45dc-afbd-601d968f3509,,execute_actions,920;1660
22,save_value,20;21,,,,,last interaction,@(now()),,,,,,,,,,,,,,,715f71e7-f9f2-496d-b96f-2649fdce693c,,execute_actions,1020;1840
23,send_message,12,,,,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,,,,,c5585639-f2e8-498a-af87-d76458ce4242,,execute_actions,1740;1240
24,save_value,23,,,,,last interaction,@(now()),,,,,,,,,,,,,,,9ca57624-c7c2-4e84-9936-d7b780da5259,,execute_actions,1740;1380
25,go_to,24,,,,,,7,,,,,,,,,,,,,,,,,,
